,support,itemsets,length
316,0.09899569583931134,"frozenset({'tensor', 'input'})",2
361,0.0784313725490196,"frozenset({'output', 'tensor'})",2
185,0.05738880918220947,"frozenset({'SOME_DTYPE', 'tensor'})",2
376,0.053562888570062174,"frozenset({'returned', 'tensor'})",2
252,0.04878048780487805,"frozenset({'none', 'default'})",2
580,0.042085126733620276,"frozenset({'returned', 'desired', 'tensor'})",3
268,0.042085126733620276,"frozenset({'desired', 'tensor'})",2
267,0.042085126733620276,"frozenset({'returned', 'desired'})",2
399,0.030607364897178385,"frozenset({'type', 'tensor'})",2
247,0.029172644667623145,"frozenset({'default', 'false'})",2
168,0.028216164514586323,"frozenset({'SOME_DTYPE', 'default'})",2
258,0.027259684361549498,"frozenset({'torch', 'default'})",2
166,0.027259684361549498,"frozenset({'SOME_DTYPE', 'current'})",2
245,0.02582496413199426,"frozenset({'data', 'type'})",2
194,0.0234337637494022,"frozenset({'single', 'SOME_STRUCTURE'})",2
175,0.02295552367288379,"frozenset({'none', 'SOME_DTYPE'})",2
244,0.021999043519846963,"frozenset({'data', 'tensor'})",2
179,0.021999043519846963,"frozenset({'SOME_DTYPE', 'returned'})",2
746,0.021520803443328552,"frozenset({'SOME_DTYPE', 'returned', 'desired', 'tensor'})",4
440,0.021520803443328552,"frozenset({'SOME_DTYPE', 'desired', 'tensor'})",3
439,0.021520803443328552,"frozenset({'SOME_DTYPE', 'returned', 'desired'})",3
450,0.021520803443328552,"frozenset({'SOME_DTYPE', 'returned', 'tensor'})",3
432,0.021520803443328552,"frozenset({'none', 'SOME_DTYPE', 'default'})",3
170,0.021520803443328552,"frozenset({'SOME_DTYPE', 'desired'})",2
234,0.020564323290291727,"frozenset({'current', 'tensor'})",2
191,0.020564323290291727,"frozenset({'SOME_STRUCTURE', 'number'})",2
186,0.01912960306073649,"frozenset({'SOME_DTYPE', 'torch'})",2
423,0.01912960306073649,"frozenset({'SOME_DTYPE', 'current', 'tensor'})",3
196,0.018651362984218076,"frozenset({'SOME_STRUCTURE', 'tensor'})",2
546,0.018651362984218076,"frozenset({'data', 'type', 'tensor'})",3
468,0.018651362984218076,"frozenset({'single', 'number', 'SOME_STRUCTURE'})",3
381,0.018651362984218076,"frozenset({'torch', 'see'})",2
350,0.018651362984218076,"frozenset({'single', 'number'})",2
863,0.018173122907699665,"frozenset({'data', 'returned', 'type', 'desired'})",4
865,0.018173122907699665,"frozenset({'data', 'returned', 'type', 'tensor'})",4
242,0.018173122907699665,"frozenset({'data', 'desired'})",2
581,0.018173122907699665,"frozenset({'returned', 'type', 'desired'})",3
582,0.018173122907699665,"frozenset({'type', 'desired', 'tensor'})",3
243,0.018173122907699665,"frozenset({'data', 'returned'})",2
545,0.018173122907699665,"frozenset({'data', 'returned', 'type'})",3
544,0.018173122907699665,"frozenset({'data', 'returned', 'tensor'})",3
543,0.018173122907699665,"frozenset({'data', 'type', 'desired'})",3
657,0.018173122907699665,"frozenset({'returned', 'type', 'tensor'})",3
541,0.018173122907699665,"frozenset({'data', 'returned', 'desired'})",3
261,0.018173122907699665,"frozenset({'uses', 'default'})",2
542,0.018173122907699665,"frozenset({'data', 'desired', 'tensor'})",3
1184,0.018173122907699665,"frozenset({'data', 'tensor', 'desired', 'returned', 'type'})",5
377,0.018173122907699665,"frozenset({'returned', 'type'})",2
862,0.018173122907699665,"frozenset({'data', 'returned', 'desired', 'tensor'})",4
864,0.018173122907699665,"frozenset({'data', 'type', 'desired', 'tensor'})",4
269,0.018173122907699665,"frozenset({'type', 'desired'})",2
912,0.018173122907699665,"frozenset({'returned', 'type', 'desired', 'tensor'})",4
346,0.017694882831181254,"frozenset({'none', 'torch'})",2
418,0.017694882831181254,"frozenset({'SOME_DTYPE', 'current', 'default'})",3
229,0.017694882831181254,"frozenset({'default', 'current'})",2
348,0.017694882831181254,"frozenset({'none', 'uses'})",2
561,0.017694882831181254,"frozenset({'none', 'uses', 'default'})",3
314,0.01721664275466284,"frozenset({'size', 'input'})",2
559,0.01721664275466284,"frozenset({'none', 'torch', 'default'})",3
391,0.01721664275466284,"frozenset({'tensor', 'shape'})",2
398,0.01673840267814443,"frozenset({'torch', 'tensor'})",2
254,0.01673840267814443,"frozenset({'default', 'see'})",2
388,0.016260162601626018,"frozenset({'set_default_tensor_type', 'torch'})",2
343,0.016260162601626018,"frozenset({'none', 'set_default_tensor_type'})",2
383,0.016260162601626018,"frozenset({'uses', 'see'})",2
342,0.016260162601626018,"frozenset({'none', 'see'})",2
379,0.016260162601626018,"frozenset({'set_default_tensor_type', 'see'})",2
390,0.016260162601626018,"frozenset({'uses', 'set_default_tensor_type'})",2
407,0.016260162601626018,"frozenset({'uses', 'torch'})",2
556,0.016260162601626018,"frozenset({'none', 'default', 'see'})",3
557,0.016260162601626018,"frozenset({'none', 'set_default_tensor_type', 'default'})",3
255,0.016260162601626018,"frozenset({'set_default_tensor_type', 'default'})",2
1451,0.016260162601626018,"frozenset({'see', 'uses', 'set_default_tensor_type', 'torch', 'default', 'none'})",6
564,0.016260162601626018,"frozenset({'default', 'torch', 'see'})",3
562,0.016260162601626018,"frozenset({'set_default_tensor_type', 'default', 'see'})",3
939,0.016260162601626018,"frozenset({'none', 'uses', 'set_default_tensor_type', 'see'})",4
906,0.016260162601626018,"frozenset({'uses', 'set_default_tensor_type', 'default', 'torch'})",4
900,0.016260162601626018,"frozenset({'uses', 'default', 'torch', 'see'})",4
895,0.016260162601626018,"frozenset({'uses', 'set_default_tensor_type', 'default', 'see'})",4
893,0.016260162601626018,"frozenset({'set_default_tensor_type', 'see', 'torch', 'default'})",4
890,0.016260162601626018,"frozenset({'none', 'uses', 'torch', 'default'})",4
1241,0.016260162601626018,"frozenset({'see', 'uses', 'set_default_tensor_type', 'torch', 'none'})",5
885,0.016260162601626018,"frozenset({'none', 'uses', 'set_default_tensor_type', 'default'})",4
883,0.016260162601626018,"frozenset({'none', 'set_default_tensor_type', 'default', 'torch'})",4
881,0.016260162601626018,"frozenset({'none', 'uses', 'default', 'see'})",4
1219,0.016260162601626018,"frozenset({'see', 'uses', 'set_default_tensor_type', 'default', 'torch'})",5
1209,0.016260162601626018,"frozenset({'uses', 'set_default_tensor_type', 'torch', 'default', 'none'})",5
1203,0.016260162601626018,"frozenset({'see', 'uses', 'default', 'torch', 'none'})",5
1198,0.016260162601626018,"frozenset({'see', 'uses', 'set_default_tensor_type', 'default', 'none'})",5
879,0.016260162601626018,"frozenset({'none', 'default', 'torch', 'see'})",4
877,0.016260162601626018,"frozenset({'none', 'set_default_tensor_type', 'default', 'see'})",4
937,0.016260162601626018,"frozenset({'none', 'set_default_tensor_type', 'torch', 'see'})",4
672,0.016260162601626018,"frozenset({'uses', 'set_default_tensor_type', 'torch'})",3
1196,0.016260162601626018,"frozenset({'see', 'set_default_tensor_type', 'default', 'torch', 'none'})",5
944,0.016260162601626018,"frozenset({'none', 'uses', 'torch', 'see'})",4
566,0.016260162601626018,"frozenset({'uses', 'default', 'see'})",3
962,0.016260162601626018,"frozenset({'uses', 'set_default_tensor_type', 'torch', 'see'})",4
568,0.016260162601626018,"frozenset({'torch', 'set_default_tensor_type', 'default'})",3
