,idx,support,cnt,itemsets,sentence,api,len
0,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.std2.yaml,2
1,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the first input tensor,torch.bitwise_xor.yaml,2
2,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the second input tensor,torch.bitwise_xor.yaml,2
3,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.real.yaml,2
4,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.log1p.yaml,2
5,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.prod2.yaml,2
6,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.prod2.yaml,2
7,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor of probability values for the Bernoulli distribution,torch.bernoulli.yaml,2
8,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.pow.yaml,2
9,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.exp.yaml,2
10,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.cummax.yaml,2
11,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.mean2.yaml,2
12,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",This argument is optional when `func`'s input contains a single element and (if it is not provided) will be set as a Tensor containing a single `1`.,torch.autograd.functional.hvp.yaml,2
13,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","input tensor (minibatch , in _channels , iT  times iH , iW) ",torch.nn.functional.avg_pool3d.yaml,2
14,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","the input tensor A  of size (*, n, n)  where * is zero or more batch dimensions consisting of symmetric positive-definite matrices.",torch.cholesky.yaml,2
15,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","quantized input tensor (minibatch , in _channels , iH , iW) ",torch.nn.quantized.functional.avg_pool2d.yaml,2
16,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.ceil.yaml,2
17,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.sum2.yaml,2
18,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.sum2.yaml,2
19,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.min22.yaml,2
20,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the second input tensor,torch.min22.yaml,2
21,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.sum.yaml,2
22,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.sum.yaml,2
23,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","input tensor of shape (minibatch , in _channels , iH , iW) ",torch.nn.functional.conv_transpose2d.yaml,2
24,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.var_mean.yaml,2
25,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","input tensor of shape (minibatch , in _channels , iW) ",torch.nn.functional.avg_pool1d.yaml,2
26,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.as_strided.yaml,2
27,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.max22.yaml,2
28,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the second input tensor,torch.max22.yaml,2
29,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the size of `input` will determine size of the output tensor.,torch.ones_like.yaml,2
30,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.div.yaml,2
31,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.nonzero.yaml,2
32,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.sinh.yaml,2
33,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.var.yaml,2
34,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","input tensor of shape (minibatch , in _channels , iH , iW) ",torch.nn.functional.conv2d.yaml,2
35,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.std_mean.yaml,2
36,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",input tensor of shape N  times M .,torch.nn.functional.pdist.yaml,2
37,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",input tensor,torch.nn.functional.glu.yaml,2
38,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.erf.yaml,2
39,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})","the input tensor of size `(*, n, n)` where `*` is zero or more batch dimensions.",torch.det.yaml,2
40,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.neg.yaml,2
41,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",input tensor of any shape,torch.nn.functional.normalize.yaml,2
42,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the first input tensor,torch.add.yaml,2
43,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the second input tensor,torch.add.yaml,2
44,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.diag.yaml,2
45,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor.,torch.sigmoid.yaml,2
46,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",This argument is optional when `func`'s input contains a single element and (if it is not provided) will be set as a Tensor containing a single `1`.,torch.autograd.functional.jvp.yaml,2
47,129,0.09899569583931134,207,"frozenset({'tensor', 'input'})",the input tensor of at least `signal_ndim` `+ 1` dimensions,torch.irfft.yaml,2
