idx,freq,sequence,len,cat
0,757,"['output', 'SOME_STRUCTURE']",2,ds
1,745,"['output', 'result']",2,not useful
2,741,"['output', 'SOME_STRUCTURE', 'hold', 'result']",4,ds
3,245,"['input', 'array']",2,ds
4,129,"['input', 'data']",2,not useful
5,122,"['input', 'function']",2,not useful
6,106,"['clip_gradient', 'clip_gradient']",2,complex
7,106,"['grad', 'grad']",2,complex
8,98,"['first', 'input']",2,not useful
9,91,"['second', 'input']",2,not useful
10,80,"['load', 'pretrained', 'weights']",3,not useful
11,65,"['set', 'true']",2,dtype
12,63,"['clip', 'range']",2,validvalue
13,58,"['gradient', 'gradient']",2,not useful
14,57,"['max', 'min']",2,not useful
15,57,"['clip', 'range', 'clipping', 'turned']",4,validvalue
16,53,"['clip', 'gradient', 'range', 'clip_gradient', 'clip_gradient', 'clip_gradient', 'gradient', 'clipping', 'turned']",9,validvalue
17,53,"['grad', 'max', 'min', 'grad', 'clip_gradient', 'clip_gradient']",6,complex
18,53,"['rescale', 'gradient', 'grad', 'rescale_grad', 'grad']",5,complex
19,52,"['tensor', 'matrices']",2,ds
20,50,"['augmentation', 'param']",2,not useful
21,49,"['first', 'input', 'function']",3,not useful
22,49,"['second', 'input', 'function']",3,not useful
23,48,"['SOME_DTYPE', 'SOME_DTYPE']",2,dtype
24,48,"['h', 'w']",2,not useful
25,47,"['shape', 'shape']",2,not useful
26,45,"['data', 'type']",2,dtype
27,45,"['weight', 'decay']",2,dtype
28,44,"['dtype', 'output']",2,dtype
29,44,"['function', 'penalizes']",2,not useful
30,44,"['w', 'w']",2,not useful
31,43,"['maximum', 'value']",2,not useful
32,43,"['x', 'y']",2,not useful
33,42,"['weight', 'decay', 'augments', 'objective', 'function', 'regularization', 'term', 'penalizes', 'large', 'weights']",10,dtype
34,42,"['penalty', 'scales', 'square', 'magnitude', 'weight']",5,not useful
35,41,"['whether', 'model']",2,dtype
36,40,"['whether', 'load', 'pretrained', 'weights', 'model']",5,dtype
37,40,"['context', 'load', 'pretrained', 'weights']",4,complex
38,40,"['case', 'inferred']",2,not useful
39,40,"['defaults', 'none']",2,not useful
40,40,"['shape', 'output']",2,dtype+ds+validvalue
41,40,"['learning', 'rate']",2,dtype+shape+validvalue
42,39,"['output', 'type']",2,dtype
43,39,"['minimum', 'value']",2,not useful
44,39,"['decay', 'rate']",2,dtype+validvalue
45,38,"['dtype', 'output', 'case', 'inferred']",4,dtype
46,38,"['defaults', 'dtype']",2,not useful
47,37,"['input', 'SOME_STRUCTURE']",2,ds
48,37,"['y', 'x']",2,not useful
49,36,"['defaults', 'defined', 'dtype', 'none']",4,not useful
