idx,freq,sequence,len,cat
0,812,['kwargs'],1,not useful
1,709,['name'],1,dtype
2,550,['data'],1,not useful
3,123,['grad'],1,not useful
4,108,['SOME_DTYPE'],1,dtype
5,104,['axis'],1,dtype
6,103,['lhs'],1,not useful
7,103,['rhs'],1,not useful
8,96,['dtype'],1,dtype
9,89,['shape'],1,dtype+ds+validvalue
10,77,['weight'],1,dtype
11,76,['max'],1,not useful
12,69,['num'],1,dtype+validvalue
13,69,['clip'],1,not useful
14,67,['label'],1,not useful
15,65,['min'],1,not useful
16,64,['size'],1,dtype
17,55,"['rescale', 'grad']",2,not useful
18,51,"['clip', 'gradient']",2,not useful
19,50,['beta'],1,not useful
20,46,['alpha'],1,not useful
21,44,['use'],1,not useful
22,42,['scale'],1,not useful
23,40,['pretrained'],1,not useful
24,38,['bias'],1,not useful
25,37,['mean'],1,dtype
26,37,['lr'],1,not useful
27,37,['wd'],1,not useful
28,36,['keepdims'],1,not useful
29,35,['b'],1,not useful
30,35,['range'],1,not useful
31,33,['output'],1,not useful
32,32,['lengths'],1,dtype
33,32,['root'],1,not useful
34,32,['mode'],1,not useful
35,31,['transpose'],1,not useful
36,30,['type'],1,dtype
37,29,['dim'],1,dtype
38,27,['pad'],1,not useful
39,27,['length'],1,dtype
40,27,['momentum'],1,not useful
41,26,['cudnn'],1,not useful
42,26,['gamma'],1,not useful
43,25,['exclude'],1,not useful
44,24,['sample'],1,not useful
45,24,['calib'],1,not useful
46,23,['std'],1,not useful
47,23,['var'],1,not useful
48,23,['weights'],1,dtype
49,20,['stride'],1,dtype
50,20,['index'],1,dtype
51,20,['crop'],1,not useful
52,18,['SOME_STRUCTURE'],1,ds
53,18,['lower'],1,not useful
54,18,['random'],1,not useful
55,18,['state'],1,not useful
56,17,['eps'],1,dtype
57,17,['value'],1,not useful
58,17,['n'],1,not useful
59,17,['prob'],1,dtype+validvalue
60,17,['args'],1,not useful
61,16,['log'],1,not useful
62,16,"['data', 'lengths']",2,dtype+validvalue
63,16,"['label', 'lengths']",2,dtype+validvalue
