idx,freq,sequence,len,cat
0,200,"['input', 'tensor']",2,ds
1,163,"['output', 'tensor']",2,ds
2,112,"['returned', 'tensor']",2,not useful
3,108,"['SOME_DTYPE', 'tensor']",2,dtype+ds
4,88,"['desired', 'returned', 'tensor']",3,dtype
5,86,"['default', 'none']",2,not useful
6,74,"['SOME_DTYPE', 'SOME_DTYPE']",2,dtype
7,61,"['default', 'false']",2,dtype
8,57,"['default', 'torch']",2,not useful
9,57,"['current', 'SOME_DTYPE']",2,dtype
10,54,"['data', 'type']",2,dtype
11,51,"['none', 'default']",2,not useful
12,47,"['single', 'SOME_STRUCTURE']",2,not useful
13,46,"['default', 'SOME_DTYPE']",2,not useful
14,46,"['SOME_DTYPE', 'returned']",2,not useful
15,45,"['desired', 'SOME_DTYPE', 'returned', 'tensor']",4,dtype
16,43,"['tensor', 'tensor']",2,ds
17,43,"['number', 'SOME_STRUCTURE']",2,dtype+ds
18,42,"['data', 'tensor']",2,not useful
19,41,"['current', 'tensor']",2,not useful
20,40,"['current', 'SOME_DTYPE', 'tensor']",3,not useful
21,39,"['single', 'number', 'SOME_STRUCTURE']",3,dtype+ds
22,39,"['see', 'torch']",2,not useful
23,38,"['SOME_STRUCTURE', 'tensor']",2,ds
24,38,"['desired', 'data', 'type', 'returned', 'tensor']",5,dtype
25,37,"['SOME_DTYPE', 'default']",2,not useful
26,37,"['none', 'torch']",2,not useful
27,37,"['uses', 'default']",2,not useful
28,36,"['default', 'none', 'torch']",3,not useful
29,35,"['default', 'none', 'default']",3,not useful
30,35,"['default', 'uses']",2,not useful
31,35,"['default', 'see']",2,not useful
32,35,"['none', 'SOME_DTYPE']",2,not useful
33,34,"['default', 'none', 'uses', 'default', 'see', 'torch', 'set_default_tensor_type']",7,not useful
34,33,"['tensor', 'SOME_DTYPE']",2,dtype
35,33,"['current', 'SOME_DTYPE', 'default']",3,not useful
36,32,"['default', 'none', 'SOME_DTYPE']",3,not useful
37,32,"['default', 'true']",2,dtype
38,32,"['input', 'size']",2,shape
39,28,"['tensor', 'shape']",2,shape
40,27,"['SOME_STRUCTURE', 'SOME_DTYPE']",2,ds
41,26,"['tensor', 'type']",2,not useful
42,25,"['default', 'current', 'SOME_DTYPE']",3,not useful
43,25,"['SOME_DTYPE', 'types']",2,not useful
44,25,"['type', 'torch']",2,not useful
45,25,"['shape', '_channels']",2,shape
46,24,"['default', 'type']",2,not useful
47,24,"['SOME_DTYPE', 'current', 'SOME_DTYPE']",3,not useful
48,24,"['none', 'type']",2,not useful
49,24,"['cuda', 'SOME_DTYPE']",2,complex
50,23,"['default', 'none', 'type']",3,not useful
51,23,"['tensor', 'torch']",2,not useful
52,23,"['SOME_DTYPE', 'type']",2,not useful
53,23,"['SOME_DTYPE', 'cuda']",2,complex
54,23,"['none', 'tensor']",2,not useful
55,23,"['uses', 'current', 'SOME_DTYPE', 'default']",4,not useful
56,22,"['tensor', 'type', 'torch']",3,not useful
57,22,"['tensor', 'current']",2,not useful
58,22,"['tensor', 'size']",2,shape
59,22,"['SOME_DTYPE', 'current', 'cuda']",3,not useful
60,22,"['SOME_DTYPE', 'current', 'cuda', 'SOME_DTYPE']",4,not useful
61,22,"['SOME_DTYPE', 'cuda', 'cuda']",3,complex
62,22,"['none', 'SOME_DTYPE', 'tensor']",3,not useful
63,22,"['none', 'input']",2,not useful
64,22,"['cpu', 'tensor']",2,not useful
65,22,"['cuda', 'SOME_DTYPE', 'cuda']",3,complex
66,22,"['autograd', 'record', 'operations', 'returned', 'tensor']",5,not useful
67,22,"['process', 'group']",2,complex
68,21,"['default', 'current', 'SOME_DTYPE', 'default']",4,not useful
69,21,"['default', 'tensor', 'type']",3,not useful
70,21,"['input', 'dimensions']",2,not useful
71,21,"['tensor', 'SOME_DTYPE', 'tensor']",3,not useful
72,21,"['SOME_DTYPE', 'SOME_DTYPE', 'cuda']",3,complex
73,21,"['SOME_DTYPE', 'SOME_DTYPE', 'tensor']",3,not useful
74,21,"['SOME_DTYPE', 'tensor', 'SOME_DTYPE']",3,not useful
75,21,"['SOME_DTYPE', 'see', 'torch']",3,not useful
76,21,"['SOME_DTYPE', 'cpu', 'current', 'SOME_DTYPE']",4,complex
77,21,"['none', 'type', 'torch']",3,not useful
78,21,"['types', 'types']",2,not useful
79,21,"['n', 'n']",2,not useful
80,20,"['default', 'none', 'uses', 'current', 'SOME_DTYPE', 'default', 'tensor', 'type', 'see', 'torch', 'set_default_tensor_type']",11,not useful
81,20,"['input', '_channels']",2,not useful
82,20,"['SOME_DTYPE', 'cpu', 'cpu', 'tensor', 'types', 'current', 'cuda', 'SOME_DTYPE', 'cuda', 'tensor', 'types']",11,complex
83,19,"['whether', 'return']",2,dtype
84,19,"['SOME_DTYPE', 'prune']",2,dtype
85,19,"['torch', 'SOME_DTYPE']",2,dtype
86,18,"['default', 'input']",2,not useful
87,17,"['output', 'SOME_DTYPE']",2,dtype
88,17,"['true', 'input']",2,dtype
89,17,"['input', 'shape']",2,shape
90,17,"['input', 'm']",2,not useful
91,17,"['tensor', 'dim']",2,not useful
92,17,"['whether', 'output']",2,dtype
93,17,"['torch', 'strided']",2,not useful
94,17,"['process', 'group', 'work']",3,complex
95,17,"['deprecated', 'reduction']",2,not useful
96,16,"['dimension', 'reduce']",2,dtype
