idx,freq,sequence,len,cat
0,433,"['SOME_DTYPE', 'SOME_DTYPE']",2,dtype
1,432,"['name', 'operation']",2,dtype
2,406,"['name', 'optional']",2,dtype
3,382,"['name', 'operation', 'optional']",3,dtype
4,263,"['SOME_DTYPE', 'tensor']",2,dtype+ds
5,240,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",3,dtype
6,203,"['must', 'SOME_DTYPE']",2,dtype
7,193,"['tensor', 'SOME_DTYPE']",2,ds+dtype
8,190,"['tensor', 'type']",2,ds+dtype
9,184,"['optional', 'SOME_DTYPE']",2,dtype
10,184,"['must', 'SOME_DTYPE', 'SOME_DTYPE']",3,dtype
11,184,"['one', 'SOME_DTYPE']",2,not useful
12,182,"['must', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",4,dtype
13,180,"['must', 'one']",2,not useful
14,178,"['following', 'SOME_DTYPE']",2,not useful
15,177,"['one', 'following', 'SOME_DTYPE']",3,not useful
16,176,"['must', 'following']",2,not useful
17,176,"['one', 'SOME_DTYPE', 'SOME_DTYPE']",3,not useful
18,175,"['must', 'one', 'following', 'SOME_DTYPE']",4,dtype
19,175,"['d', 'tensor']",2,shape+ds
20,174,"['must', 'one', 'following', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",6,dtype
21,164,"['tensor', 'shape']",2,ds+shape
22,164,"['SOME_STRUCTURE', 'SOME_DTYPE']",2,ds+dtype
23,152,"['type', 'SOME_DTYPE']",2,dtype
24,146,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",4,dtype
25,135,"['tensor', 'type', 'SOME_DTYPE']",3,dtype+ds
26,119,"['must', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",5,dtype
27,112,"['must', 'one', 'following', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",7,dtype
