,freq,sequence,len
0,757,"['output', 'SOME_STRUCTURE']",2
1,745,"['output', 'result']",2
2,741,"['output', 'SOME_STRUCTURE', 'hold', 'result']",4
3,245,"['input', 'array']",2
4,129,"['input', 'data']",2
5,122,"['input', 'function']",2
6,106,"['clip_gradient', 'clip_gradient']",2
7,106,"['grad', 'grad']",2
8,98,"['first', 'input']",2
9,91,"['second', 'input']",2
10,80,"['load', 'pretrained', 'weights']",3
11,65,"['set', 'true']",2
12,63,"['clip', 'range']",2
13,58,"['gradient', 'gradient']",2
14,57,"['max', 'min']",2
15,57,"['clip', 'range', 'clipping', 'turned']",4
16,53,"['clip', 'gradient', 'range', 'clip_gradient', 'clip_gradient', 'clip_gradient', 'gradient', 'clipping', 'turned']",9
17,53,"['grad', 'max', 'min', 'grad', 'clip_gradient', 'clip_gradient']",6
18,53,"['rescale', 'gradient', 'grad', 'rescale_grad', 'grad']",5
19,52,"['tensor', 'matrices']",2
20,50,"['augmentation', 'param']",2
21,49,"['first', 'input', 'function']",3
22,49,"['second', 'input', 'function']",3
23,48,"['SOME_DTYPE', 'SOME_DTYPE']",2
24,48,"['h', 'w']",2
25,47,"['shape', 'shape']",2
26,45,"['data', 'type']",2
27,45,"['weight', 'decay']",2
28,44,"['dtype', 'output']",2
29,44,"['function', 'penalizes']",2
30,44,"['w', 'w']",2
31,43,"['maximum', 'value']",2
32,43,"['x', 'y']",2
33,42,"['weight', 'decay', 'augments', 'objective', 'function', 'regularization', 'term', 'penalizes', 'large', 'weights']",10
34,42,"['penalty', 'scales', 'square', 'magnitude', 'weight']",5
35,41,"['whether', 'model']",2
36,40,"['whether', 'load', 'pretrained', 'weights', 'model']",5
37,40,"['context', 'load', 'pretrained', 'weights']",4
38,40,"['case', 'inferred']",2
39,40,"['defaults', 'none']",2
40,40,"['shape', 'output']",2
41,40,"['learning', 'rate']",2
42,39,"['output', 'type']",2
43,39,"['minimum', 'value']",2
44,39,"['decay', 'rate']",2
45,38,"['dtype', 'output', 'case', 'inferred']",4
46,38,"['defaults', 'dtype']",2
47,37,"['input', 'SOME_STRUCTURE']",2
48,37,"['y', 'x']",2
49,36,"['defaults', 'defined', 'dtype', 'none']",4
50,36,"['h', 'w', 'd', 'h', 'w']",5
51,35,"['output', 'n']",2
52,35,"['value', 'SOME_DTYPE']",2
53,35,"['decay', 'rate', 'estimates']",3
54,34,"['size', 'one']",2
55,34,"['SOME_DTYPE', 'none']",2
56,34,"['SOME_DTYPE', 'value']",2
57,33,"['result', 'dimension']",2
58,33,"['width', 'height']",2
59,32,"['SOME_STRUCTURE', 'SOME_DTYPE']",2
60,32,"['true', 'left']",2
61,32,"['axis', 'along']",2
62,32,"['n', 'n']",2
63,32,"['defaults', 'SOME_DTYPE']",2
64,32,"['defaults', 'SOME_DTYPE', 'dtype']",3
65,32,"['location', 'keeping', 'model', 'parameters']",4
66,32,"['x', 'x']",2
67,31,"['true', 'size']",2
68,31,"['SOME_DTYPE', 'factor']",2
69,31,"['x', 'y', 'x']",3
70,31,"['y', 'x', 'y']",3
71,30,"['true', 'left', 'result', 'dimension', 'size', 'one']",6
72,30,"['default', 'SOME_DTYPE']",2
73,30,"['defaults', 'SOME_DTYPE', 'defined', 'dtype', 'none']",5
74,29,"['set', 'size']",2
75,29,"['whether', 'instead']",2
76,29,"['along', 'axis']",2
77,28,"['whether', 'axis']",2
78,28,"['value', 'data']",2
79,28,"['context', 'output']",2
80,28,"['convolution', 'h', 'w', 'd', 'h', 'w']",6
81,28,"['w', 'h', 'w', 'd', 'h', 'w']",6
82,27,"['set', 'true', 'size']",3
83,27,"['output', 'shape']",2
84,27,"['input', 'matrices']",2
85,27,"['diagonal', 'main', 'diagonal']",3
86,27,"['device', 'context']",2
87,26,"['set', 'true', 'reduced', 'left', 'result', 'dimension', 'size', 'one']",8
88,26,"['set', 'input']",2
89,26,"['perform', 'reduction']",2
90,26,"['whether', 'data']",2
91,26,"['whether', 'use']",2
92,26,"['axis', 'axis']",2
93,26,"['shape', 'n']",2
94,26,"['e', 'g']",2
95,25,"['input', 'operator']",2
96,25,"['default', 'context']",2
97,25,"['tensor', 'input', 'matrices']",3
98,25,"['supports', 'negative']",2
99,24,"['input', 'feature']",2
100,24,"['true', 'axis']",2
101,24,"['whether', 'perform']",2
102,24,"['axes', 'size']",2
103,24,"['label', 'reserved']",2
104,24,"['label', 'reserved', 'blank']",3
105,24,"['label', 'reserved', 'blank', 'label']",4
106,24,"['default', 'current']",2
107,24,"['SOME_DTYPE', 'value', 'SOME_DTYPE']",3
108,24,"['triangular', 'matrix']",2
109,24,"['current', 'context']",2
110,23,"['whether', 'axis', 'axis']",3
111,23,"['default', 'current', 'context']",3
112,23,"['shape', 'must']",2
113,23,"['decay', 'momentum']",2
114,22,"['set', 'true', 'reduced', 'axes', 'left', 'result', 'dimension', 'size', 'one']",9
115,22,"['parameters', 'distributions']",2
116,22,"['true', 'input']",2
117,22,"['whether', 'perform', 'reduction', 'axis', 'axis', 'instead']",6
118,22,"['value', 'values']",2
119,22,"['pooling', 'd']",2
120,21,"['type', 'SOME_DTYPE']",2
121,21,"['input', 'output']",2
122,21,"['lower', 'triangular']",2
123,21,"['shape', 'distribution']",2
124,21,"['shape', '!', 'shape', 'must', 'broadcastable', 'common', 'shape']",7
125,21,"['decay', 'rate', 'momentum', 'estimates']",4
126,20,"['output', 'data']",2
127,20,"['second', 'array']",2
128,20,"['n', 'm']",2
129,20,"['defaults', 'dimension']",2
130,20,"['SOME_DTYPE', 'value', 'form', 'SOME_DTYPE']",4
131,20,"['bias', 'parameter']",2
132,20,"['convolution', 'w', 'h', 'w', 'd', 'h', 'w']",7
133,20,"['kernel', 'size']",2
134,20,"['batch', 'norm']",2
135,20,"['lhs', 'shape', '!', 'rhs', 'shape', 'must', 'broadcastable', 'common', 'shape']",9
136,19,"['output', 'format']",2
137,19,"['type', 'output']",2
138,19,"['first', 'array']",2
139,19,"['index', 'along']",2
140,19,"['decay', 'rate', 'momentum', 'estimates', 'epoch']",5
141,19,"['e', 'g', 'shape']",3
142,19,"['optional', 'default']",2
143,19,"['x', 'y', 'x', 'y']",4
144,18,"['set', 'instead']",2
145,18,"['set', 'output']",2
146,18,"['log', 'probability']",2
147,18,"['storage', 'type']",2
148,18,"['input', 'd']",2
149,18,"['true', 'row_ssparse']",2
150,18,"['values', 'mask']",2
151,18,"['context', 'output', 'format', 'cpu|gpu|cpu_pinned', 'n']",5
152,18,"['used', 'imperative', 'calls']",3
153,18,"['shape', 'e', 'g']",3
154,18,"['shape', 'm', 'n']",3
155,18,"['shape', 'm', 'n', 'm', 'n']",5
156,18,"['d', 'y']",2
157,18,"['d', 'y', 'x']",3
158,18,"['tensor', 'square']",2
159,18,"['learning', 'rates']",2
160,17,"['output', 'data', 'type']",3
161,17,"['output', 'samples']",2
162,17,"['input', 'tensor']",2
163,17,"['true', 'gradient']",2
164,17,"['whether', 'bias']",2
165,17,"['label', 'padding']",2
166,17,"['data', 'samples']",2
167,17,"['shape', 'array']",2
168,17,"['shape', 'e', 'g', 'm', 'n', 'm', 'n']",7
169,17,"['shape', 'e', 'g', 'output', 'shape', 'm', 'n']",7
170,17,"['maximum', 'SOME_DTYPE']",2
171,17,"['minimum', 'SOME_DTYPE']",2
172,16,"['set', 'compute', 'density', 'log', 'probability', 'instead', 'probability']",7
173,16,"['samples', 'distributions']",2
174,16,"['input', 'label']",2
175,16,"['first', 'label', 'reserved']",3
176,16,"['first', 'label', 'reserved', 'label']",4
177,16,"['array', 'compared']",2
178,16,"['whether', 'lenghts', 'decided']",3
