,idx,freq,sequence,sentence,api,len
0,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.random_pdf_exponential.yaml,1
1,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.random_pdf_exponential.yaml,1
2,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.random_pdf_exponential.yaml,1
3,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.dot.yaml,1
4,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.dot.yaml,1
5,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.dot.yaml,1
6,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.all_finite.yaml,1
7,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.all_finite.yaml,1
8,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.max.yaml,1
9,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.max.yaml,1
10,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.ctc_loss.yaml,1
11,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.ctc_loss.yaml,1
12,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.ctc_loss.yaml,1
13,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.ctc_loss.yaml,1
14,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.ctc_loss.yaml,1
15,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.fix.yaml,1
16,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.fix.yaml,1
17,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.elemwise_add.yaml,1
18,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.elemwise_add.yaml,1
19,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.op.elemwise_add.yaml,1
20,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.image.normalize.yaml,1
21,2,2423,['SOME_STRUCTURE'],tuple of <float>,mxnet.ndarray.image.normalize.yaml,1
22,2,2423,['SOME_STRUCTURE'],NDArray,mxnet.ndarray.image.normalize.yaml,1
23,2,2423,['SOME_STRUCTURE'],tuple of <float>,mxnet.ndarray.image.normalize.yaml,1
