,idx,freq,sequence,sentence,api,len
0,2,812,['kwargs'],**kwargs,mxnet.ndarray.random_pdf_exponential.yaml,1
1,2,812,['kwargs'],**kwargs,mxnet.ndarray.dot.yaml,1
2,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.all_finite.yaml,1
3,2,812,['kwargs'],**kwargs,mxnet.ndarray.max.yaml,1
4,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.ctc_loss.yaml,1
5,2,812,['kwargs'],**kwargs,mxnet.ndarray.fix.yaml,1
6,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.elemwise_add.yaml,1
7,2,812,['kwargs'],**kwargs,mxnet.ndarray.image.normalize.yaml,1
8,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.min.yaml,1
9,2,812,['kwargs'],**kwargs,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25.yaml,1
10,2,812,['kwargs'],**kwargs,mxnet.ndarray.random_uniform.yaml,1
11,2,812,['kwargs'],**kwargs,mxnet.ndarray.contrib.interleaved_matmul_selfatt_qk.yaml,1
12,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.broadcast_add.yaml,1
13,2,812,['kwargs'],**kwargs,mxnet.ndarray.contrib.quantized_conv.yaml,1
14,2,812,['kwargs'],**kwargs,mxnet.ndarray.contrib.interleaved_matmul_encdec_qk.yaml,1
15,2,812,['kwargs'],**kwargs,mxnet.ndarray.arcsinh.yaml,1
16,2,812,['kwargs'],**kwargs,mxnet.ndarray.contrib.dequantize.yaml,1
17,2,812,['kwargs'],**kwargs,mxnet.gluon.model_zoo.vision.vgg16_bn.yaml,1
18,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.sum_axis.yaml,1
19,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.l2normalization.yaml,1
20,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.sequencereverse.yaml,1
21,2,812,['kwargs'],**kwargs,mxnet.contrib.ndarray.index_copy.yaml,1
22,2,812,['kwargs'],**kwargs,mxnet.ndarray.sparse.sgd_mom_update.yaml,1
23,2,812,['kwargs'],**kwargs,mxnet.ndarray.image.crop.yaml,1
24,2,812,['kwargs'],**kwargs,mxnet.contrib.ndarray.group_adagrad_update.yaml,1
25,2,812,['kwargs'],**kwargs,mxnet.ndarray.batchnorm.yaml,1
26,2,812,['kwargs'],**kwargs,mxnet.ndarray.linalg.extracttrian.yaml,1
27,2,812,['kwargs'],**kwargs,mxnet.ndarray.linalg.makediag.yaml,1
28,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.abs.yaml,1
29,2,812,['kwargs'],**kwargs,mxnet.ndarray.sparse.sigmoid.yaml,1
30,2,812,['kwargs'],**kwargs,mxnet.gluon.model_zoo.vision.resnet101_v1.yaml,1
31,2,812,['kwargs'],**kwargs,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_5.yaml,1
32,2,812,['kwargs'],**kwargs,mxnet.contrib.ndarray.calibrate_entropy.yaml,1
33,2,812,['kwargs'],**kwargs,mxnet.ndarray.contrib.box_non_maximum_suppression.yaml,1
34,2,812,['kwargs'],**kwargs,mxnet.ndarray.stack.yaml,1
35,2,812,['kwargs'],**kwargs,mxnet.ndarray.swapaxis.yaml,1
36,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.mp_lamb_update_phase1.yaml,1
37,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.broadcast_axes.yaml,1
38,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.linalg_trsm.yaml,1
39,2,812,['kwargs'],**kwargs,mxnet.ndarray.sparse.arctanh.yaml,1
40,2,812,['kwargs'],**kwargs,mxnet.ndarray.degrees.yaml,1
41,2,812,['kwargs'],**kwargs,mxnet.ndarray.diag.yaml,1
42,2,812,['kwargs'],**kwargs,mxnet.ndarray.random_exponential.yaml,1
43,2,812,['kwargs'],**kwargs,mxnet.ndarray.sparse.clip.yaml,1
44,2,812,['kwargs'],**kwargs,mxnet.ndarray.random_gamma.yaml,1
45,2,812,['kwargs'],**kwargs,mxnet.contrib.ndarray.quantized_batch_norm.yaml,1
46,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.fill_element_0index.yaml,1
47,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.negative.yaml,1
48,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.log.yaml,1
49,2,812,['kwargs'],**kwargs,mxnet.ndarray.signum_update.yaml,1
50,2,812,['kwargs'],**kwargs,mxnet.ndarray.op.sequencemask.yaml,1
51,2,812,['kwargs'],**kwargs,mxnet.ndarray.sparse.sgd_update.yaml,1
52,2,812,['kwargs'],**kwargs,mxnet.contrib.ndarray.sign_ste.yaml,1
53,2,812,['kwargs'],**kwargs,mxnet.ndarray.linalg_det.yaml,1
54,2,812,['kwargs'],**kwargs,mxnet.ndarray.ftrl_update.yaml,1
55,2,812,['kwargs'],**kwargs,mxnet.ndarray.multi_sgd_update.yaml,1
