,freq,sequence,len
0,433,"['SOME_DTYPE', 'SOME_DTYPE']",2
1,432,"['name', 'operation']",2
2,406,"['name', 'optional']",2
3,382,"['name', 'operation', 'optional']",3
4,263,"['SOME_DTYPE', 'tensor']",2
5,240,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",3
6,203,"['must', 'SOME_DTYPE']",2
7,193,"['tensor', 'SOME_DTYPE']",2
8,190,"['tensor', 'type']",2
9,184,"['optional', 'SOME_DTYPE']",2
10,184,"['must', 'SOME_DTYPE', 'SOME_DTYPE']",3
11,184,"['one', 'SOME_DTYPE']",2
12,182,"['must', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",4
13,180,"['must', 'one']",2
14,178,"['following', 'SOME_DTYPE']",2
15,177,"['one', 'following', 'SOME_DTYPE']",3
16,176,"['must', 'following']",2
17,176,"['one', 'SOME_DTYPE', 'SOME_DTYPE']",3
18,175,"['must', 'one', 'following', 'SOME_DTYPE']",4
19,175,"['d', 'tensor']",2
20,174,"['must', 'one', 'following', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",6
21,164,"['tensor', 'shape']",2
22,164,"['SOME_STRUCTURE', 'SOME_DTYPE']",2
23,152,"['type', 'SOME_DTYPE']",2
24,146,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",4
25,135,"['tensor', 'type', 'SOME_DTYPE']",3
26,119,"['must', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",5
27,112,"['must', 'one', 'following', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",7
28,107,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",5
29,100,"['tensor', 'tensor']",2
30,98,"['input', 'tensor']",2
31,97,"['SOME_STRUCTURE', 'tensor']",2
32,93,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",6
33,88,"['tensor', 'variable']",2
34,88,"['d', 'shape']",2
35,85,"['SOME_DTYPE', 'bfloat']",2
36,85,"['must', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",6
37,85,"['bfloat', 'SOME_DTYPE']",2
38,84,"['must', 'one', 'following', 'SOME_DTYPE', 'bfloat', 'SOME_DTYPE']",6
39,84,"['bfloat', 'SOME_DTYPE', 'SOME_DTYPE']",3
40,83,"['must', 'one', 'following', 'SOME_DTYPE', 'bfloat', 'SOME_DTYPE', 'SOME_DTYPE']",7
41,81,"['d', 'SOME_DTYPE']",2
42,80,"['must', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",7
43,80,"['must', 'one', 'following', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",8
44,78,"['must', 'one', 'following', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",9
45,77,"['SOME_DTYPE', 'SOME_DTYPE', 'tensor']",3
46,75,"['SOME_DTYPE', 'shape']",2
47,72,"['optional', 'name']",2
48,72,"['bfloat', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",4
49,71,"['must', 'one', 'following', 'SOME_DTYPE', 'bfloat', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",8
50,69,"['SOME_DTYPE', 'SOME_STRUCTURE']",2
51,62,"['tf', 'SOME_DTYPE']",2
52,61,"['must', 'type']",2
53,61,"['shape', 'batch']",2
54,60,"['d', 'tensor', 'shape']",3
55,58,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",7
56,56,"['SOME_DTYPE', 'SOME_STRUCTURE', 'SOME_DTYPE']",3
57,56,"['SOME_DTYPE', 'length']",2
58,56,"['height', 'width']",2
59,55,"['bfloat', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",5
60,54,"['must', 'one', 'following', 'SOME_DTYPE', 'bfloat', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",9
61,54,"['shape', 'shape']",2
62,54,"['python', 'SOME_DTYPE']",2
63,53,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",8
64,53,"['SOME_DTYPE', 'specifying']",2
65,52,"['dimension', 'input']",2
66,50,"['SOME_STRUCTURE', 'length']",2
67,49,"['SOME_DTYPE', 'representing']",2
68,49,"['must', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",9
69,49,"['d', 'SOME_DTYPE', 'tensor']",3
70,49,"['returned', 'tensor']",2
71,47,"['SOME_DTYPE', 'default']",2
72,47,"['SOME_DTYPE', 'number']",2
73,47,"['SOME_DTYPE', 'whether']",2
74,47,"['must', 'one', 'following', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",11
75,47,"['channels_last', 'channels_first']",2
76,47,"['tf', 'tf']",2
77,46,"['optional', 'tensor']",2
78,46,"['shape', 'tensor']",2
79,45,"['SOME_DTYPE', 'type']",2
80,44,"['SOME_STRUCTURE', 'SOME_DTYPE', 'length']",3
81,43,"['SOME_DTYPE', 'value']",2
82,43,"['SOME_STRUCTURE', 'objects']",2
83,43,"['SOME_STRUCTURE', 'SOME_STRUCTURE']",2
84,42,"['tensor', 'representing']",2
85,42,"['tensor', 'batch']",2
86,42,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",9
87,42,"['bfloat', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE']",6
88,41,"['name', 'tensor']",2
