,freq,sequence,len
0,544,['name'],1
1,241,['x'],1
2,151,['input'],1
3,98,['axis'],1
4,91,['data'],1
5,83,['num'],1
6,80,['dtype'],1
7,73,['y'],1
8,72,['format'],1
9,65,['size'],1
10,64,"['data', 'format']",2
11,61,['shape'],1
12,57,['padding'],1
13,53,['value'],1
14,51,['seed'],1
15,48,['tensor'],1
16,47,['strides'],1
17,43,['max'],1
18,42,['kwargs'],1
19,36,['inputs'],1
20,31,['type'],1
21,29,['image'],1
22,28,['keepdims'],1
23,28,['output'],1
24,25,['range'],1
25,25,['kernel'],1
26,24,['message'],1
27,24,['true'],1
28,23,['bias'],1
29,23,['initializer'],1
30,23,['sp'],1
31,22,['indices'],1
32,21,['features'],1
33,20,['filters'],1
34,20,['batch'],1
35,20,['ids'],1
36,20,['default'],1
37,20,['fn'],1
38,20,['regularizer'],1
39,19,['path'],1
40,19,['key'],1
41,19,['values'],1
42,19,['length'],1
43,18,['min'],1
44,18,['rate'],1
45,18,['b'],1
46,17,['step'],1
47,16,"['segment', 'ids']",2
48,16,['mode'],1
49,16,"['sp', 'input']",2
50,15,['dilations'],1
51,15,['dir'],1
52,15,['constraint'],1
53,15,['threshold'],1
54,15,['summarize'],1
55,14,['label'],1
56,14,['target'],1
57,14,['logits'],1
58,14,['device'],1
59,13,['images'],1
60,13,['func'],1
61,13,['width'],1
62,12,"['input', 'tensor']",2
63,12,['axes'],1
64,12,['use'],1
65,12,['mean'],1
66,12,"['dilation', 'rate']",2
67,12,['pred'],1
68,12,['labels'],1
69,12,['encoding'],1
70,11,"['num', 'segments']",2
71,11,['lower'],1
72,11,"['batch', 'size']",2
73,11,['file'],1
74,11,['classes'],1
75,11,['steps'],1
76,11,['run'],1
77,11,['validate'],1
78,11,['buckets'],1
79,11,['ssparse'],1
80,10,"['y', 'pred']",2
81,10,"['num', 'buckets']",2
82,10,['mask'],1
83,10,"['default', 'value']",2
84,10,['char'],1
85,10,['k'],1
86,10,['sampled'],1
87,10,['pool'],1
88,10,['filter'],1
89,10,"['run', 'every']",2
90,10,['norm'],1
91,10,['contents'],1
92,10,['args'],1
93,10,['window'],1
94,9,['weights'],1
95,9,"['y', 'true']",2
96,9,['row'],1
97,9,"['narrow', 'range']",2
98,9,['hash'],1
99,9,['rhs'],1
100,9,['ksize'],1
101,9,['depthwise'],1
102,9,['height'],1
103,9,['scale'],1
104,9,['boxes'],1
105,8,"['num', 'true']",2
106,8,['pattern'],1
107,8,['column'],1
108,8,['names'],1
109,8,['columns'],1
110,8,"['max', 'size']",2
111,8,['index'],1
112,8,['beta'],1
113,8,"['pool', 'size']",2
114,8,['adjoint'],1
115,8,['frame'],1
116,8,['SOME_DTYPE'],1
117,8,['pointwise'],1
118,8,['pad'],1
119,8,['factor'],1
120,8,['model'],1
121,8,['elems'],1
122,7,"['num', 'sampled']",2
123,7,"['num', 'bits']",2
124,7,['upper'],1
125,7,['errors'],1
126,7,['parallel'],1
127,7,['shuffle'],1
128,7,"['output', 'shape']",2
129,7,['start'],1
130,7,['alpha'],1
131,7,"['kernel', 'size']",2
132,7,['ckpt'],1
133,7,"['channel', 'axis']",2
134,7,['estimator'],1
135,7,['gamma'],1
136,7,['method'],1
137,7,['vocabulary'],1
138,7,['sequence'],1
139,7,['config'],1
140,7,"['custom', 'objects']",2
141,7,['gradients'],1
142,6,"['buffer', 'size']",2
143,6,['op'],1
144,6,['SOME_STRUCTURE'],1
145,6,['block'],1
146,6,['filename'],1
147,6,"['max', 'output', 'size']",3
148,6,['oov'],1
149,6,['stddev'],1
150,6,['activation'],1
151,6,['delta'],1
152,6,"['true', 'classes']",2
153,6,['fill'],1
154,6,['order'],1
155,6,['unique'],1
156,6,['bucket'],1
157,6,['n'],1
158,6,['split'],1
159,6,['text'],1
160,6,['secs'],1
161,6,"['validate', 'indices']",2
162,6,['epsilon'],1
163,6,['ratio'],1
164,6,['expand'],1
165,6,['feature'],1
166,6,['channels'],1
167,6,['interpolation'],1
168,6,['serialized'],1
169,6,['experimental'],1
170,6,['sizes'],1
171,6,['variance'],1
172,6,"['replacement', 'char']",2
173,6,['iterations'],1
174,5,"['input', 'encoding']",2
175,5,"['num', 'threads']",2
176,5,"['num', 'classes']",2
177,5,"['parallel', 'iterations']",2
178,5,"['use', 'bias']",2
179,5,"['row', 'axis']",2
180,5,['splits'],1
181,5,"['max', 'norm']",2
182,5,['top'],1
183,5,"['bias', 'constraint']",2
184,5,"['bias', 'initializer']",2
185,5,"['bias', 'regularizer']",2
186,5,['depth'],1
187,5,['updates'],1
188,5,"['activity', 'regularizer']",2
189,5,['control'],1
190,5,"['col', 'axis']",2
191,5,['cval'],1
192,5,"['fill', 'mode']",2
193,5,['dims'],1
194,5,['matrix'],1
195,5,"['score', 'threshold']",2
196,5,['scores'],1
197,5,"['frame', 'step']",2
198,5,['eval'],1
199,5,['metric'],1
200,5,"['run', 'every', 'secs']",3
201,5,"['run', 'every', 'steps']",3
202,5,"['validate', 'args']",2
203,5,['dataset'],1
204,5,['trainable'],1
205,5,['clip'],1
206,5,['shapes'],1
207,5,['loss'],1
208,5,['options'],1
209,5,['weight'],1
210,5,['l'],1
211,5,['img'],1
212,5,['end'],1
213,5,['perm'],1
214,5,['params'],1
215,5,['categorical'],1
216,5,['offset'],1
217,5,['example'],1
218,5,['description'],1
219,5,"['back', 'prop']",2
220,5,"['swap', 'memory']",2
221,5,['bytes'],1
