,idx,freq,sequence,sentence,api,len
0,2,544,['name'],name,tf.group.yaml,1
1,2,544,['name'],name,tf.nn.conv1d.yaml,1
2,2,544,['name'],name,tf.math.reduce_std.yaml,1
3,2,544,['name'],name,tf.nn.weighted_moments.yaml,1
4,2,544,['name'],name,tf.math.zero_fraction.yaml,1
5,2,544,['name'],name,tf.keras.backend.ones_like.yaml,1
6,2,544,['name'],name,tf.linalg.band_part.yaml,1
7,2,544,['name'],name,tf.sparse.mask.yaml,1
8,2,544,['name'],name,tf.io.match_filenames_once.yaml,1
9,2,544,['name'],name,tf.math.reciprocal.yaml,1
10,2,544,['name'],name,tf.math.xlogy.yaml,1
11,2,544,['name'],label_name,tf.data.experimental.make_csv_dataset.yaml,1
12,2,544,['name'],name,tf.graph_util.import_graph_def.yaml,1
13,2,544,['name'],name,tf.math.unsorted_segment_max.yaml,1
14,2,544,['name'],name,tf.nn.space_to_depth.yaml,1
15,2,544,['name'],name,tf.keras.backend.random_uniform_variable.yaml,1
16,2,544,['name'],name,tf.image.encode_png.yaml,1
17,2,544,['name'],name,tf.math.reduce_max.yaml,1
18,2,544,['name'],name,tf.nn.conv2d_transpose.yaml,1
19,2,544,['name'],name,tf.math.bessel_i0e.yaml,1
20,2,544,['name'],name,tf.sparse.eye.yaml,1
21,2,544,['name'],name,tf.quantization.dequantize.yaml,1
22,2,544,['name'],name,tf.split.yaml,1
23,2,544,['name'],name,tf.debugging.assert_rank_at_least.yaml,1
24,2,544,['name'],name,tf.nn.local_response_normalization.yaml,1
25,2,544,['name'],name,tf.tensor_scatter_nd_add.yaml,1
26,2,544,['name'],name,tf.random.stateless_truncated_normal.yaml,1
27,2,544,['name'],name,tf.bitcast.yaml,1
28,2,544,['name'],name,tf.tuple.yaml,1
29,2,544,['name'],name,tf.linalg.diag_part.yaml,1
30,2,544,['name'],name,tf.concat.yaml,1
31,2,544,['name'],name,tf.random.fixed_unigram_candidate_sampler.yaml,1
32,2,544,['name'],name,tf.sparse.cross.yaml,1
33,2,544,['name'],name,tf.math.zeta.yaml,1
34,2,544,['name'],name,tf.linalg.adjoint.yaml,1
35,2,544,['name'],name,tf.linalg.solve.yaml,1
36,2,544,['name'],name,tf.nn.max_pool_with_argmax.yaml,1
37,2,544,['name'],job_name,tf.config.experimental_connect_to_host.yaml,1
38,2,544,['name'],name,tf.math.tanh.yaml,1
39,2,544,['name'],name,tf.image.non_max_suppression_overlaps.yaml,1
40,2,544,['name'],name,tf.nn.nce_loss.yaml,1
41,2,544,['name'],name,tf.signal.overlap_and_add.yaml,1
42,2,544,['name'],name,tf.nn.avg_pool2d.yaml,1
43,2,544,['name'],name,tf.random.shuffle.yaml,1
44,2,544,['name'],name,tf.math.reciprocal_no_nan.yaml,1
45,2,544,['name'],name,tf.linalg.cholesky_solve.yaml,1
46,2,544,['name'],metric_name,tf.estimator.experimental.stop_if_no_increase_hook.yaml,1
47,2,544,['name'],name,tf.math.lbeta.yaml,1
