,freq,sequence,len
0,200,"['input', 'tensor']",2
1,163,"['output', 'tensor']",2
2,112,"['returned', 'tensor']",2
3,108,"['SOME_DTYPE', 'tensor']",2
4,88,"['desired', 'returned', 'tensor']",3
5,86,"['default', 'none']",2
6,74,"['SOME_DTYPE', 'SOME_DTYPE']",2
7,61,"['default', 'false']",2
8,57,"['default', 'torch']",2
9,57,"['current', 'SOME_DTYPE']",2
10,54,"['data', 'type']",2
11,51,"['none', 'default']",2
12,47,"['single', 'SOME_STRUCTURE']",2
13,46,"['default', 'SOME_DTYPE']",2
14,46,"['SOME_DTYPE', 'returned']",2
15,45,"['desired', 'SOME_DTYPE', 'returned', 'tensor']",4
16,43,"['tensor', 'tensor']",2
17,43,"['number', 'SOME_STRUCTURE']",2
18,42,"['data', 'tensor']",2
19,41,"['current', 'tensor']",2
20,40,"['current', 'SOME_DTYPE', 'tensor']",3
21,39,"['single', 'number', 'SOME_STRUCTURE']",3
22,39,"['see', 'torch']",2
23,38,"['SOME_STRUCTURE', 'tensor']",2
24,38,"['desired', 'data', 'type', 'returned', 'tensor']",5
25,37,"['SOME_DTYPE', 'default']",2
26,37,"['none', 'torch']",2
27,37,"['uses', 'default']",2
28,36,"['default', 'none', 'torch']",3
29,35,"['default', 'none', 'default']",3
30,35,"['default', 'uses']",2
31,35,"['default', 'see']",2
32,35,"['none', 'SOME_DTYPE']",2
33,34,"['default', 'none', 'uses', 'default', 'see', 'torch', 'set_default_tensor_type']",7
34,33,"['tensor', 'SOME_DTYPE']",2
35,33,"['current', 'SOME_DTYPE', 'default']",3
36,32,"['default', 'none', 'SOME_DTYPE']",3
37,32,"['default', 'true']",2
38,32,"['input', 'size']",2
39,28,"['tensor', 'shape']",2
40,27,"['SOME_STRUCTURE', 'SOME_DTYPE']",2
41,26,"['tensor', 'type']",2
42,25,"['default', 'current', 'SOME_DTYPE']",3
43,25,"['SOME_DTYPE', 'types']",2
44,25,"['type', 'torch']",2
45,25,"['shape', '_channels']",2
46,24,"['default', 'type']",2
47,24,"['SOME_DTYPE', 'current', 'SOME_DTYPE']",3
48,24,"['none', 'type']",2
49,24,"['cuda', 'SOME_DTYPE']",2
50,23,"['default', 'none', 'type']",3
51,23,"['tensor', 'torch']",2
52,23,"['SOME_DTYPE', 'type']",2
53,23,"['SOME_DTYPE', 'cuda']",2
54,23,"['none', 'tensor']",2
55,23,"['uses', 'current', 'SOME_DTYPE', 'default']",4
56,22,"['tensor', 'type', 'torch']",3
57,22,"['tensor', 'current']",2
58,22,"['tensor', 'size']",2
59,22,"['SOME_DTYPE', 'current', 'cuda']",3
60,22,"['SOME_DTYPE', 'current', 'cuda', 'SOME_DTYPE']",4
61,22,"['SOME_DTYPE', 'cuda', 'cuda']",3
62,22,"['none', 'SOME_DTYPE', 'tensor']",3
63,22,"['none', 'input']",2
64,22,"['cpu', 'tensor']",2
65,22,"['cuda', 'SOME_DTYPE', 'cuda']",3
66,22,"['autograd', 'record', 'operations', 'returned', 'tensor']",5
67,22,"['process', 'group']",2
68,21,"['default', 'current', 'SOME_DTYPE', 'default']",4
69,21,"['default', 'tensor', 'type']",3
70,21,"['input', 'dimensions']",2
71,21,"['tensor', 'SOME_DTYPE', 'tensor']",3
72,21,"['SOME_DTYPE', 'SOME_DTYPE', 'cuda']",3
73,21,"['SOME_DTYPE', 'SOME_DTYPE', 'tensor']",3
74,21,"['SOME_DTYPE', 'tensor', 'SOME_DTYPE']",3
75,21,"['SOME_DTYPE', 'see', 'torch']",3
76,21,"['SOME_DTYPE', 'cpu', 'current', 'SOME_DTYPE']",4
77,21,"['none', 'type', 'torch']",3
78,21,"['types', 'types']",2
79,21,"['n', 'n']",2
80,20,"['default', 'none', 'uses', 'current', 'SOME_DTYPE', 'default', 'tensor', 'type', 'see', 'torch', 'set_default_tensor_type']",11
81,20,"['input', '_channels']",2
82,20,"['SOME_DTYPE', 'cpu', 'cpu', 'tensor', 'types', 'current', 'cuda', 'SOME_DTYPE', 'cuda', 'tensor', 'types']",11
83,19,"['whether', 'return']",2
84,19,"['SOME_DTYPE', 'prune']",2
85,19,"['torch', 'SOME_DTYPE']",2
86,18,"['default', 'input']",2
87,17,"['output', 'SOME_DTYPE']",2
88,17,"['true', 'input']",2
89,17,"['input', 'shape']",2
90,17,"['input', 'm']",2
91,17,"['tensor', 'dim']",2
92,17,"['whether', 'output']",2
93,17,"['torch', 'strided']",2
94,17,"['process', 'group', 'work']",3
95,17,"['deprecated', 'reduction']",2
96,16,"['dimension', 'reduce']",2
97,16,"['dimension', 'along']",2
98,16,"['input', 'tensor', 'size']",3
99,16,"['input', 'batch']",2
100,16,"['tensor', '_channels']",2
101,16,"['tensor', 'dimensions']",2
102,16,"['whether', 'output', 'tensor', 'dim', 'retained']",5
103,16,"['size', 'zero']",2
104,16,"['size', 'batch']",2
105,16,"['SOME_DTYPE', 'given']",2
106,16,"['given', 'SOME_DTYPE']",2
107,16,"['zero', 'dimensions']",2
108,16,"['_channels', 'groups']",2
109,16,"['parameters', 'prune']",2
110,15,"['default', 'none', 'defaults', 'input']",4
111,15,"['default', 'uses', 'global']",3
112,15,"['SOME_STRUCTURE', 'output']",2
113,15,"['input', 'tensor', 'dimensions']",3
114,15,"['input', 'tensor', 'shape']",3
115,15,"['input', 'n']",2
116,15,"['tensor', 'input']",2
117,15,"['tensor', 'inputs']",2
118,15,"['size', 'zero', 'batch', 'dimensions']",4
119,15,"['size', 'm']",2
120,15,"['SOME_DTYPE', 'containing']",2
121,14,"['output', 'SOME_STRUCTURE']",2
122,14,"['default', 'none', 'uses', 'global', 'default', 'see', 'torch', 'set_default_tensor_type']",8
123,14,"['SOME_STRUCTURE', 'SOME_STRUCTURE']",2
124,14,"['input', 'size', 'zero', 'batch', 'dimensions']",5
125,14,"['input', 'output']",2
126,14,"['tensor', 'value']",2
127,14,"['tensor', 'n']",2
128,14,"['tensor', 'compare']",2
129,14,"['SOME_DTYPE', 'SOME_DTYPE', 'default']",3
130,14,"['false', 'inputs']",2
131,14,"['none', 'mean']",2
132,14,"['none', 'sum']",2
133,14,"['specified', 'tensor']",2
134,14,"['defaults', 'false']",2
135,14,"['n', 'dimensional']",2
136,14,"['dimensional', 'tensor']",2
137,14,"['reduction', 'output']",2
138,14,"['reduction', 'output', 'sum']",3
139,14,"['reduction', 'mean']",2
140,14,"['controls', 'whether']",2
141,13,"['default', 'losses']",2
142,13,"['input', 'size', 'm']",3
143,13,"['tensor', 'shape', '_channels']",3
144,13,"['false', 'instead']",2
145,13,"['current', 'SOME_DTYPE', 'given', 'current_device', 'SOME_DTYPE', 'none', 'default']",7
146,13,"['losses', 'summed']",2
147,12,"['output', 'size']",2
148,12,"['true', 'output']",2
149,12,"['default', 'losses', 'averaged']",3
150,12,"['SOME_STRUCTURE', 'output', 'tensor']",3
151,12,"['reduce', 'false']",2
152,12,"['input', 'tensor', 'minibatch', '_channels', 'iw']",5
153,12,"['input', 'tensor', 'n']",3
154,12,"['tensor', 'size', 'n']",3
155,12,"['tensor', 'm']",2
156,12,"['single', 'number', 'SOME_STRUCTURE', 'padw']",4
157,12,"['single', 'number', 'SOME_STRUCTURE', 'sw']",4
158,12,"['SOME_DTYPE', 'input']",2
159,12,"['SOME_DTYPE', 'parameters']",2
160,12,"['selected', 'SOME_DTYPE']",2
161,12,"['none', 'mean', 'sum']",3
162,12,"['torch', 'tensor']",2
163,12,"['set', 'points']",2
164,12,"['set', 'false']",2
165,12,"['sides', 'input']",2
166,12,"['reduction', 'mean', 'sum']",3
167,12,"['losses', 'summed', 'minibatch']",3
168,12,"['deprecated', 'see', 'reduction']",3
169,12,"['loss', 'batch']",2
170,12,"['loss', 'element']",2
171,11,"['default', 'torch', 'strided']",3
172,11,"['input', 'tensor', 'size', 'n']",4
173,11,"['input', 'tensor', 'm']",3
174,11,"['input', 'n', 'n']",3
175,11,"['size', 'input']",2
176,11,"['SOME_DTYPE', 'SOME_STRUCTURE']",2
177,11,"['SOME_DTYPE', 'parameters', 'prune']",3
178,11,"['second', 'tensor']",2
179,11,"['specified', 'input']",2
180,11,"['set', 'tensor']",2
181,11,"['set', 'true']",2
182,11,"['returns', 'SOME_DTYPE']",2
183,11,"['floating', 'point']",2
184,11,"['batch', 'matrices']",2
185,11,"['matrix', 'multiplied']",2
186,11,"['dimensional', 'torch', 'tensor']",3
187,11,"['m', 'm']",2
188,10,"['output', 'output']",2
189,10,"['default', 'none', 'defaults', 'SOME_DTYPE', 'input']",5
190,10,"['input', 'n', 'batch']",3
191,10,"['input', 'number']",2
192,10,"['input', 'output', 'tensor']",3
193,10,"['tensor', 'zero']",2
194,10,"['tensor', 'must']",2
195,10,"['whether', 'op', 'async', 'op']",4
196,10,"['size', 'output']",2
197,10,"['single', 'element']",2
198,10,"['SOME_DTYPE', 'output']",2
199,10,"['false', 'return']",2
200,10,"['second', 'input']",2
201,10,"['specified', 'input', 'tensor', 'casted', 'dtype']",5
202,10,"['number', 'tensor']",2
203,10,"['inputs', 'function']",2
204,10,"['returns', 'current', 'SOME_DTYPE', 'given', 'current_device', 'SOME_DTYPE', 'none', 'default']",8
205,10,"['must', 'SOME_DTYPE']",2
206,10,"['n', 'dimensional', 'tensor']",3
207,10,"['n', 'torch']",2
208,10,"['per', 'element']",2
209,10,"['m', 'dimensions']",2
210,9,"['split', 'input']",2
211,9,"['true', 'computed']",2
212,9,"['SOME_STRUCTURE', 'SOME_DTYPE', 'output']",3
213,9,"['dimension', 'dimensions']",2
214,9,"['input', 'tensor', 'minibatch', '_channels', 'ih', 'iw']",6
215,9,"['input', 'tensor', 'size', 'n', 'n']",5
216,9,"['input', 'tensor', 'size', 'n', 'zero', 'batch', 'dimensions']",7
217,9,"['input', 'tensor', 'shape', 'minibatch', '_channels', 'iw']",6
218,9,"['input', 'size', 'm', 'm']",4
219,9,"['tensor', 'values']",2
220,9,"['tensor', 'single']",2
221,9,"['tensor', 'containing']",2
222,9,"['tensor', 'size', 'm']",3
223,9,"['tensor', 'operation']",2
224,9,"['target', 'output']",2
225,9,"['size', 'm', 'zero', 'batch', 'dimensions']",5
226,9,"['single', 'SOME_DTYPE']",2
227,9,"['single', 'number', 'SOME_STRUCTURE', 'padh', 'padw']",5
228,9,"['single', 'number', 'SOME_STRUCTURE', 'sh', 'sw']",5
229,9,"['SOME_DTYPE', 'name']",2
230,9,"['false', 'tensor']",2
231,9,"['first', 'tensor']",2
232,9,"['specified', 'input', 'tensor', 'casted', 'dtype', 'performed']",6
233,9,"['useful', 'preventing', 'data', 'type', 'overflows']",5
234,9,"['number', 'default']",2
235,9,"['number', 'groups']",2
236,9,"['number', 'dimensions']",2
237,9,"['number', 'elements']",2
238,9,"['python', 'function']",2
239,9,"['python', 'tensor']",2
240,9,"['function', 'takes']",2
241,9,"['function', 'SOME_STRUCTURE']",2
242,9,"['returns', 'tensor']",2
243,9,"['returns', 'element']",2
244,9,"['kh', 'kw']",2
245,9,"['implicit', 'paddings', 'sides', 'input']",4
246,9,"['n', 'dimensional', 'torch', 'tensor']",4
247,9,"['|', '|']",2
248,9,"['name', 'SOME_DTYPE']",2
249,9,"['reduction', 'output', 'mean']",3
250,9,"['m', 'n']",2
251,9,"['controls', 'whether', 'return']",3
252,8,"['split', 'input', 'groups', '_channels', 'divisible', 'number', 'groups']",7
253,8,"['output', 'tensor', 'SOME_DTYPE']",3
