,idx,freq,sequence,sentence,api,len
0,2,200,"['input', 'tensor']",the input tensor.,torch.std2.yaml,2
1,2,200,"['input', 'tensor']",the first input tensor,torch.bitwise_xor.yaml,2
2,2,200,"['input', 'tensor']",the second input tensor,torch.bitwise_xor.yaml,2
3,2,200,"['input', 'tensor']",the input tensor.,torch.real.yaml,2
4,2,200,"['input', 'tensor']",the input tensor.,torch.log1p.yaml,2
5,2,200,"['input', 'tensor']","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.prod2.yaml,2
6,2,200,"['input', 'tensor']",the input tensor.,torch.prod2.yaml,2
7,2,200,"['input', 'tensor']",the input tensor of probability values for the Bernoulli distribution,torch.bernoulli.yaml,2
8,2,200,"['input', 'tensor']",the input tensor.,torch.pow.yaml,2
9,2,200,"['input', 'tensor']",the input tensor.,torch.exp.yaml,2
10,2,200,"['input', 'tensor']",the input tensor.,torch.cummax.yaml,2
11,2,200,"['input', 'tensor']",the input tensor.,torch.mean2.yaml,2
12,2,200,"['input', 'tensor']",This argument is optional when `func`'s input contains a single element and (if it is not provided) will be set as a Tensor containing a single `1`.,torch.autograd.functional.hvp.yaml,2
13,2,200,"['input', 'tensor']","input tensor (minibatch , in _channels , iT  times iH , iW) ",torch.nn.functional.avg_pool3d.yaml,2
14,2,200,"['input', 'tensor']","the input tensor A  of size (*, n, n)  where * is zero or more batch dimensions consisting of symmetric positive-definite matrices.",torch.cholesky.yaml,2
15,2,200,"['input', 'tensor']","quantized input tensor (minibatch , in _channels , iH , iW) ",torch.nn.quantized.functional.avg_pool2d.yaml,2
16,2,200,"['input', 'tensor']",the input tensor.,torch.ceil.yaml,2
17,2,200,"['input', 'tensor']","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.sum2.yaml,2
18,2,200,"['input', 'tensor']",the input tensor.,torch.sum2.yaml,2
19,2,200,"['input', 'tensor']",the input tensor.,torch.min22.yaml,2
20,2,200,"['input', 'tensor']",the second input tensor,torch.min22.yaml,2
21,2,200,"['input', 'tensor']","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.sum.yaml,2
22,2,200,"['input', 'tensor']",the input tensor.,torch.sum.yaml,2
23,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iH , iW) ",torch.nn.functional.conv_transpose2d.yaml,2
24,2,200,"['input', 'tensor']",the input tensor.,torch.var_mean.yaml,2
25,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iW) ",torch.nn.functional.avg_pool1d.yaml,2
26,2,200,"['input', 'tensor']",the input tensor.,torch.as_strided.yaml,2
27,2,200,"['input', 'tensor']",the input tensor.,torch.max22.yaml,2
28,2,200,"['input', 'tensor']",the second input tensor,torch.max22.yaml,2
29,2,200,"['input', 'tensor']",the size of `input` will determine size of the output tensor.,torch.ones_like.yaml,2
30,2,200,"['input', 'tensor']",the input tensor.,torch.div.yaml,2
31,2,200,"['input', 'tensor']",the input tensor.,torch.nonzero.yaml,2
32,2,200,"['input', 'tensor']",the input tensor.,torch.sinh.yaml,2
33,2,200,"['input', 'tensor']",the input tensor.,torch.var.yaml,2
34,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iH , iW) ",torch.nn.functional.conv2d.yaml,2
