,freq,sequence,len
0,609,['SOME_DTYPE'],1
1,470,['tensor'],1
2,124,['torch'],1
3,111,['SOME_STRUCTURE'],1
4,72,"['torch', 'SOME_DTYPE']",2
5,41,"['torch', 'dtype']",2
6,36,"['SOME_STRUCTURE', 'tensor']",2
7,34,"['SOME_STRUCTURE', 'SOME_DTYPE']",2
8,23,['number'],1
9,19,"['SOME_STRUCTURE', 'python', 'SOME_DTYPE']",3
10,17,['processgroup'],1
11,15,['default'],1
12,12,"['nn', 'SOME_DTYPE']",2
13,9,['function'],1
14,5,"['torch', 'memory_format']",2
15,5,['type'],1
16,5,"['default', 'false']",2
17,4,['inf'],1
18,4,"['default', 'true']",2
19,3,"['torch', 'generator']",2
20,3,"['torch', 'size']",2
21,3,"['default', 'empty', 'SOME_STRUCTURE']",3
22,2,"['SOME_STRUCTURE', 'cuda', 'ids']",3
23,2,"['SOME_STRUCTURE', 'SOME_STRUCTURE']",2
24,2,"['SOME_DTYPE', 'SOME_STRUCTURE']",2
25,2,"['SOME_DTYPE', 'SOME_STRUCTURE', 'SOME_DTYPE']",3
26,2,"['torch', 'nn', 'SOME_DTYPE']",3
27,2,['distribution'],1
28,2,['fro'],1
29,2,['nuc'],1
30,2,['none'],1
31,2,"['dpython', 'type']",2
32,2,['object'],1
33,2,['ortho_iparams'],1
34,2,['backend'],1
35,2,['ssparsetensor'],1
