,freq,sequence,len
0,231,['input'],1
1,105,['SOME_DTYPE'],1
2,63,['dim'],1
3,47,['tensor'],1
4,40,['dtype'],1
5,32,['size'],1
6,29,['grad'],1
7,22,"['requires', 'grad']",2
8,21,['padding'],1
9,18,['group'],1
10,16,['keepdim'],1
11,16,['mode'],1
12,16,['weight'],1
13,15,['inputs'],1
14,15,['name'],1
15,14,['stride'],1
16,13,['output'],1
17,13,['op'],1
18,12,['p'],1
19,10,['args'],1
20,10,['graph'],1
21,10,['func'],1
22,10,"['async', 'op']",2
23,10,['extra'],1
24,10,['inplace'],1
25,10,['mat'],1
26,9,['kwargs'],1
27,9,['bias'],1
28,9,['groups'],1
29,9,['SOME_STRUCTURE'],1
30,8,['unbiased'],1
31,8,"['create', 'graph']",2
32,8,['dilation'],1
33,8,['alpha'],1
34,8,['n'],1
35,8,['length'],1
36,8,['scale'],1
37,7,['batch'],1
38,7,['value'],1
39,7,"['output', 'size']",2
40,7,['return'],1
41,7,['memory'],1
42,7,['x'],1
43,7,['type'],1
44,7,['dst'],1
45,7,['reduction'],1
46,7,['target'],1
47,7,['eps'],1
48,7,['beta'],1
49,6,"['size', 'average']",2
50,6,['strict'],1
51,6,['include'],1
52,6,['pad'],1
53,6,['offset'],1
54,6,['format'],1
55,6,['cuda'],1
56,6,['zero'],1
57,6,['state'],1
58,6,['vec'],1
59,6,['reduce'],1
60,6,['src'],1
61,6,['std'],1
62,6,['check'],1
63,5,"['memory', 'format']",2
64,5,['end'],1
65,5,['start'],1
66,5,['upper'],1
67,5,['new'],1
68,5,['f'],1
69,5,['outputs'],1
70,5,['normalized'],1
71,5,['signal'],1
72,5,['parameters'],1
73,5,['window'],1
74,5,['data'],1
75,5,['seed'],1
76,5,['mean'],1
