,idx,freq,sequence,sentence,api,len,cat,pattern
0,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.random_pdf_exponential.yaml,1,dtype,^(.*)$
1,2,4017,['SOME_DTYPE'],boolean,mxnet.symbol.nansum.yaml,1,dtype,^(.*)$
2,2,4017,['SOME_DTYPE'],boolean,mxnet.symbol.nansum.yaml,1,dtype,^(.*)$
3,2,4017,['SOME_DTYPE'],string,mxnet.symbol.nansum.yaml,1,dtype,^(.*)$
4,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.dot.yaml,1,dtype,^(.*)$
5,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.dot.yaml,1,dtype,^(.*)$
6,2,4017,['SOME_DTYPE'],string,mxnet.symbol.contrib.sign_ste.yaml,1,dtype,^(.*)$
7,2,4017,['SOME_DTYPE'],string,mxnet.symbol.sparse.zeros_like.yaml,1,dtype,^(.*)$
8,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.op.all_finite.yaml,1,dtype,^(.*)$
9,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.max.yaml,1,dtype,^(.*)$
10,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.max.yaml,1,dtype,^(.*)$
11,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.op.ctc_loss.yaml,1,dtype,^(.*)$
12,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.op.ctc_loss.yaml,1,dtype,^(.*)$
13,2,4017,['SOME_DTYPE'],string,mxnet.symbol.op.reset_arrays.yaml,1,dtype,^(.*)$
14,2,4017,['SOME_DTYPE'],int,mxnet.symbol.op.reset_arrays.yaml,1,dtype,^(.*)$
15,2,4017,['SOME_DTYPE'],string,mxnet.symbol.op.broadcast_to.yaml,1,dtype,^(.*)$
16,2,4017,['SOME_DTYPE'],boolean,mxnet.symbol.op.bilinearsampler.yaml,1,dtype,^(.*)$
17,2,4017,['SOME_DTYPE'],string,mxnet.symbol.op.bilinearsampler.yaml,1,dtype,^(.*)$
1227,2,4017,['SOME_DTYPE'],tuple of <double>,mxnet.image.copymakeborder.yaml,1,structure,tuple of <>
20,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.op.min.yaml,1,dtype,^(.*)$
21,2,4017,['SOME_DTYPE'],boolean,mxnet.ndarray.op.min.yaml,1,dtype,^(.*)$
22,2,4017,['SOME_DTYPE'],float,mxnet.contrib.symbol.quadratic.yaml,1,dtype,^(.*)$
23,2,4017,['SOME_DTYPE'],float,mxnet.contrib.symbol.quadratic.yaml,1,dtype,^(.*)$
24,2,4017,['SOME_DTYPE'],float,mxnet.contrib.symbol.quadratic.yaml,1,dtype,"^(.*),*$"
25,2,4017,['SOME_DTYPE'],string,mxnet.contrib.symbol.quadratic.yaml,1,dtype,"^(.*),*$"
26,2,4017,['SOME_DTYPE'],boolean,mxnet.symbol.mean.yaml,1,dtype,"^(.*),*$"
27,2,4017,['SOME_DTYPE'],boolean,mxnet.symbol.mean.yaml,1,dtype,"^(.*),*$"
28,2,4017,['SOME_DTYPE'],string,mxnet.symbol.mean.yaml,1,dtype,"^(.*),*$"
29,2,4017,['SOME_DTYPE'],int,mxnet.symbol.op.sequencelast.yaml,1,dtype,"^(.*),*$"
30,2,4017,['SOME_DTYPE'],string,mxnet.symbol.op.sequencelast.yaml,1,dtype,"^(.*),*$"
31,2,4017,['SOME_DTYPE'],boolean,mxnet.symbol.op.sequencelast.yaml,1,dtype,"^(.*),*$"
32,2,4017,['SOME_DTYPE'],int,mxnet.symbol.op.diag.yaml,1,dtype,"^(.*),*$"
33,2,4017,['SOME_DTYPE'],int,mxnet.symbol.op.diag.yaml,1,dtype,"^(.*),*$"
34,2,4017,['SOME_DTYPE'],int,mxnet.symbol.op.diag.yaml,1,dtype,"^(.*),*$"
35,2,4017,['SOME_DTYPE'],string,mxnet.symbol.op.diag.yaml,1,dtype,"^(.*),*$"
36,2,4017,['SOME_DTYPE'],int,mxnet.symbol.sort.yaml,1,dtype,"^(.*),*$"
37,2,4017,['SOME_DTYPE'],boolean,mxnet.symbol.sort.yaml,1,dtype,"^(.*),*$"
38,2,4017,['SOME_DTYPE'],string,mxnet.symbol.sort.yaml,1,dtype,"^(.*),*$"
39,2,4017,['SOME_DTYPE'],float,mxnet.symbol.op.signsgd_update.yaml,1,dtype,"^(.*),*$"
40,2,4017,['SOME_DTYPE'],float,mxnet.symbol.op.signsgd_update.yaml,1,dtype,"^(.*),*$"
41,2,4017,['SOME_DTYPE'],string,mxnet.symbol.op.signsgd_update.yaml,1,dtype,"^(.*),*$"
42,2,4017,['SOME_DTYPE'],float,mxnet.symbol.op.signsgd_update.yaml,1,dtype,"^(.*),*$"
43,2,4017,['SOME_DTYPE'],float,mxnet.symbol.op.signsgd_update.yaml,1,dtype,"^(.*),*$"
44,2,4017,['SOME_DTYPE'],bool,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25.yaml,1,dtype,"^(.*),*$"
