,,TF,,,PT,,,MX,,
,,#subseq,#exclude,# left,#subseq,#exclude,# left,#subseq,#exclude,# left
Descp,doc_dtype,0,0,0,554,201,353,919,488,431
,descp,2200,985,1215,36,19,17,144,24,120
,Total,2200,985,1215,590,220,370,1063,512,551
Name,name,221,142,79,77,53,24,234,172,62
Total,,2421,1127,1294,667,273,394,1297,684,613
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descp: ,Total subseq for descp: ,,3853,,,,,,,
,Total subseq for descp excluded: ,,1717,0.445626784,,,,,,
,Total subseq left:  ,,2136,,,,,,,
,,,,,,,,,,
Name,Total subseq for name,,532,,,,,,,
,Total subseq for name excluded: ,,367,0.689849624,,,,,,
,Total subseq left:  ,,165,,,,,,,
,,,,,,,,,,
Total,Total subseq : ,,4385,,,,,,,
,Total subseq  excluded: ,,2084,0.475256556,,,,,,
,Total subseq left:  ,,2301,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Rules,,239,,,,,,,
,Merging : ,,9.627615063,,,,,,,
