,idx,freq,sequence,sentence,api,len,cat
0,2,1571,['kwargs'],**kwargs,mxnet.ndarray.random_pdf_exponential.yaml,1,not useful
1,2,1571,['kwargs'],**kwargs,mxnet.symbol.nansum.yaml,1,not useful
2,2,1571,['kwargs'],**kwargs,mxnet.ndarray.dot.yaml,1,not useful
3,2,1571,['kwargs'],**kwargs,mxnet.symbol.contrib.sign_ste.yaml,1,not useful
4,2,1571,['kwargs'],**kwargs,mxnet.symbol.sparse.zeros_like.yaml,1,not useful
5,2,1571,['kwargs'],**kwargs,mxnet.ndarray.op.all_finite.yaml,1,not useful
6,2,1571,['kwargs'],**kwargs,mxnet.ndarray.max.yaml,1,not useful
7,2,1571,['kwargs'],**kwargs,mxnet.ndarray.op.ctc_loss.yaml,1,not useful
8,2,1571,['kwargs'],**kwargs,mxnet.symbol.op.reset_arrays.yaml,1,not useful
9,2,1571,['kwargs'],**kwargs,mxnet.ndarray.fix.yaml,1,not useful
10,2,1571,['kwargs'],**kwargs,mxnet.ndarray.op.elemwise_add.yaml,1,not useful
11,2,1571,['kwargs'],**kwargs,mxnet.symbol.op.broadcast_to.yaml,1,not useful
12,2,1571,['kwargs'],**kwargs,mxnet.symbol.op.bilinearsampler.yaml,1,not useful
13,2,1571,['kwargs'],**kwargs,mxnet.ndarray.image.normalize.yaml,1,not useful
14,2,1571,['kwargs'],**kwargs,mxnet.ndarray.op.min.yaml,1,not useful
15,2,1571,['kwargs'],**kwargs,mxnet.contrib.symbol.quadratic.yaml,1,not useful
16,2,1571,['kwargs'],**kwargs,mxnet.symbol.mean.yaml,1,not useful
17,2,1571,['kwargs'],**kwargs,mxnet.symbol.op.sequencelast.yaml,1,not useful
18,2,1571,['kwargs'],**kwargs,mxnet.symbol.op.diag.yaml,1,not useful
19,2,1571,['kwargs'],**kwargs,mxnet.symbol.sort.yaml,1,not useful
20,2,1571,['kwargs'],**kwargs,mxnet.symbol.op.signsgd_update.yaml,1,not useful
21,2,1571,['kwargs'],**kwargs,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25.yaml,1,not useful
22,2,1571,['kwargs'],**kwargs,mxnet.ndarray.random_uniform.yaml,1,not useful
23,2,1571,['kwargs'],**kwargs,mxnet.symbol.sparse.elemwise_mul.yaml,1,not useful
24,2,1571,['kwargs'],**kwargs,mxnet.symbol.op.shape_array.yaml,1,not useful
25,2,1571,['kwargs'],**kwargs,mxnet.ndarray.contrib.interleaved_matmul_selfatt_qk.yaml,1,not useful
26,2,1571,['kwargs'],**kwargs,mxnet.symbol.linalg_potrf.yaml,1,not useful
27,2,1571,['kwargs'],**kwargs,mxnet.ndarray.op.broadcast_add.yaml,1,not useful
28,2,1571,['kwargs'],**kwargs,mxnet.ndarray.contrib.quantized_conv.yaml,1,not useful
29,2,1571,['kwargs'],**kwargs,mxnet.symbol.linalg_det.yaml,1,not useful
30,2,1571,['kwargs'],**kwargs,mxnet.ndarray.contrib.interleaved_matmul_encdec_qk.yaml,1,not useful
31,2,1571,['kwargs'],**kwargs,mxnet.symbol.contrib.backward_hawkesll.yaml,1,not useful
32,2,1571,['kwargs'],**kwargs,mxnet.symbol.contrib.ifft.yaml,1,not useful
33,2,1571,['kwargs'],**kwargs,mxnet.ndarray.arcsinh.yaml,1,not useful
34,2,1571,['kwargs'],**kwargs,mxnet.symbol.sample_normal.yaml,1,not useful
