,idx,freq,sequence,sentence,api,len,cat,pat
0,2,200,"['input', 'tensor']",the input tensor.,torch.std2.yaml,2,tensor_t,^the (first/second) input/output tensor
1,2,200,"['input', 'tensor']",the first input tensor,torch.bitwise_xor.yaml,2,tensor_t,^the (first/second) input/output tensor
2,2,200,"['input', 'tensor']",the second input tensor,torch.bitwise_xor.yaml,2,tensor_t,^the (first/second) input/output tensor
3,2,200,"['input', 'tensor']",the input tensor.,torch.real.yaml,2,tensor_t,^the (first/second) input/output tensor
4,2,200,"['input', 'tensor']",the input tensor.,torch.log1p.yaml,2,tensor_t,^the (first/second) input/output tensor
5,2,200,"['input', 'tensor']","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.prod2.yaml,2,dtype (dtype),
6,2,200,"['input', 'tensor']",the input tensor.,torch.prod2.yaml,2,tensor_t,^the (first/second) input/output tensor
7,2,200,"['input', 'tensor']",the input tensor of probability values for the Bernoulli distribution,torch.bernoulli.yaml,2,tensor_t,^the (first/second) input/output tensor
8,2,200,"['input', 'tensor']",the input tensor.,torch.pow.yaml,2,tensor_t,^the (first/second) input/output tensor
9,2,200,"['input', 'tensor']",the input tensor.,torch.exp.yaml,2,tensor_t,^the (first/second) input/output tensor
10,2,200,"['input', 'tensor']",the input tensor.,torch.cummax.yaml,2,tensor_t,^the (first/second) input/output tensor
11,2,200,"['input', 'tensor']",the input tensor.,torch.mean2.yaml,2,tensor_t,^the (first/second) input/output tensor
12,2,200,"['input', 'tensor']",This argument is optional when `func`'s input contains a single element and (if it is not provided) will be set as a Tensor containing a single `1`.,torch.autograd.functional.hvp.yaml,2,not useful,
13,2,200,"['input', 'tensor']","input tensor (minibatch , in _channels , iT times iH , iW)",torch.nn.functional.avg_pool3d.yaml,2,shape,
14,2,200,"['input', 'tensor']","the input tensor A of size (*, n, n) where * is zero or more batch dimensions consisting of symmetric positive-definite matrices.",torch.cholesky.yaml,2,shape,
15,2,200,"['input', 'tensor']","quantized input tensor (minibatch , in _channels , iH , iW)",torch.nn.quantized.functional.avg_pool2d.yaml,2,shape,
16,2,200,"['input', 'tensor']",the input tensor.,torch.ceil.yaml,2,tensor_t,^the (first/second) input/output tensor
17,2,200,"['input', 'tensor']","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.sum2.yaml,2,dtype,
18,2,200,"['input', 'tensor']",the input tensor.,torch.sum2.yaml,2,tensor_t,^the (first/second) input/output tensor
19,2,200,"['input', 'tensor']",the input tensor.,torch.min22.yaml,2,tensor_t,^the (first/second) input/output tensor
20,2,200,"['input', 'tensor']",the second input tensor,torch.min22.yaml,2,tensor_t,^the (first/second) input/output tensor
21,2,200,"['input', 'tensor']","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.sum.yaml,2,dtype,
22,2,200,"['input', 'tensor']",the input tensor.,torch.sum.yaml,2,tensor_t,^the (first/second) input/output tensor
23,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iH , iW)",torch.nn.functional.conv_transpose2d.yaml,2,shape,
24,2,200,"['input', 'tensor']",the input tensor.,torch.var_mean.yaml,2,tensor_t,^the (first/second) input/output tensor
25,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iW)",torch.nn.functional.avg_pool1d.yaml,2,shape,
26,2,200,"['input', 'tensor']",the input tensor.,torch.as_strided.yaml,2,tensor_t,^the (first/second) input/output tensor
27,2,200,"['input', 'tensor']",the input tensor.,torch.max22.yaml,2,tensor_t,^the (first/second) input/output tensor
28,2,200,"['input', 'tensor']",the second input tensor,torch.max22.yaml,2,tensor_t,^the (first/second) input/output tensor
29,2,200,"['input', 'tensor']",the size of `input` will determine size of the output tensor.,torch.ones_like.yaml,2,not useful,
30,2,200,"['input', 'tensor']",the input tensor.,torch.div.yaml,2,tensor_t,^the (first/second) input/output tensor
31,2,200,"['input', 'tensor']",the input tensor.,torch.nonzero.yaml,2,tensor_t,^the (first/second) input/output tensor
32,2,200,"['input', 'tensor']",the input tensor.,torch.sinh.yaml,2,tensor_t,^the (first/second) input/output tensor
33,2,200,"['input', 'tensor']",the input tensor.,torch.var.yaml,2,tensor_t,^the (first/second) input/output tensor
34,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iH , iW)",torch.nn.functional.conv2d.yaml,2,shape,
35,2,200,"['input', 'tensor']",the input tensor.,torch.std_mean.yaml,2,tensor_t,^the (first/second) input/output tensor
50,2,200,"['input', 'tensor']",input tensor of shape B times P times M .,torch.cdist.yaml,2,shape,
37,2,200,"['input', 'tensor']",input tensor,torch.nn.functional.glu.yaml,2,tensor_t,
38,2,200,"['input', 'tensor']",the input tensor.,torch.erf.yaml,2,tensor_t,^the (first/second) input/output tensor
39,2,200,"['input', 'tensor']","the input tensor of size `(*, n, n)` where `*` is zero or more batch dimensions.",torch.det.yaml,2,shape,
40,2,200,"['input', 'tensor']",the input tensor.,torch.neg.yaml,2,tensor_t,^the (first/second) input/output tensor
42,2,200,"['input', 'tensor']",the first input tensor,torch.add.yaml,2,tensor_t,^the (first/second) input/output tensor
43,2,200,"['input', 'tensor']",the second input tensor,torch.add.yaml,2,tensor_t,^the (first/second) input/output tensor
44,2,200,"['input', 'tensor']",the input tensor.,torch.diag.yaml,2,tensor_t,^the (first/second) input/output tensor
45,2,200,"['input', 'tensor']",the input tensor.,torch.sigmoid.yaml,2,tensor_t,^the (first/second) input/output tensor
47,2,200,"['input', 'tensor']",the input tensor of at least `signal_ndim` `+ 1` dimensions,torch.irfft.yaml,2,ndim,
46,2,200,"['input', 'tensor']",This argument is optional when `func`'s input contains a single element and (if it is not provided) will be set as a Tensor containing a single `1`.,torch.autograd.functional.jvp.yaml,2,not useful,
49,2,200,"['input', 'tensor']",the input tensor.,torch.erfinv.yaml,2,tensor_t,^the (first/second) input/output tensor
48,2,200,"['input', 'tensor']",the size of `input` will determine size of the output tensor.,torch.empty_like.yaml,2,not useful,
51,2,200,"['input', 'tensor']",input tensor of shape B times R times M .,torch.cdist.yaml,2,shape,
52,2,200,"['input', 'tensor']",the input tensor.,torch.cummin.yaml,2,tensor_t,^the (first/second) input/output tensor
54,2,200,"['input', 'tensor']",the first input tensor,torch.bitwise_and.yaml,2,tensor_t,^the (first/second) input/output tensor
55,2,200,"['input', 'tensor']",the second input tensor,torch.bitwise_and.yaml,2,tensor_t,^the (first/second) input/output tensor
53,2,200,"['input', 'tensor']",This argument is optional when `func`'s input contains a single element and (if it is not provided) will be set as a Tensor containing a single `1`.,torch.autograd.functional.vhp.yaml,2,not useful,
56,2,200,"['input', 'tensor']","The input tensor of size (*, m, n) where * is zero or more batch dimensions",torch.pinverse.yaml,2,shape,
57,2,200,"['input', 'tensor']",Input tensor.,torch.distributed.gather.yaml,2,tensor_t,
58,2,200,"['input', 'tensor']",the input tensor.,torch.topk.yaml,2,tensor_t,^the (first/second) input/output tensor
59,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iT , iH , iW)",torch.nn.functional.conv_transpose3d.yaml,2,shape,
60,2,200,"['input', 'tensor']",the input tensor.,torch.reciprocal.yaml,2,tensor_t,^the (first/second) input/output tensor
62,2,200,"['input', 'tensor']",the input tensor.,torch.cos.yaml,2,tensor_t,^the (first/second) input/output tensor
63,2,200,"['input', 'tensor']",the input tensor.,torch.masked_select.yaml,2,tensor_t,^the (first/second) input/output tensor
61,2,200,"['input', 'tensor']",the size of `input` will determine size of the output tensor.,torch.zeros_like.yaml,2,not useful,
64,2,200,"['input', 'tensor']",the input tensor.,torch.matrix_power.yaml,2,tensor_t,^the (first/second) input/output tensor
65,2,200,"['input', 'tensor']",the input tensor.,torch.min2.yaml,2,tensor_t,^the (first/second) input/output tensor
66,2,200,"['input', 'tensor']",the input tensor.,torch.angle.yaml,2,tensor_t,^the (first/second) input/output tensor
67,2,200,"['input', 'tensor']",the input tensor.,torch.erfc.yaml,2,tensor_t,^the (first/second) input/output tensor
68,2,200,"['input', 'tensor']",the input tensor.,torch.round.yaml,2,tensor_t,^the (first/second) input/output tensor
69,2,200,"['input', 'tensor']",the input tensor.,torch.polygamma.yaml,2,tensor_t,^the (first/second) input/output tensor
70,2,200,"['input', 'tensor']",the input tensor of at least `signal_ndim` `+ 1` dimensions,torch.fft.yaml,2,ndim,
71,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iW)",torch.nn.functional.conv_transpose1d.yaml,2,shape,
72,2,200,"['input', 'tensor']",the input tensor.,torch.cross.yaml,2,tensor_t,^the (first/second) input/output tensor
73,2,200,"['input', 'tensor']",the second input tensor,torch.cross.yaml,2,tensor_t,^the (first/second) input/output tensor
