,idx,freq,sequence,sentence,api,len,cat,
0,2,231,['input'],input,torch.std2.yaml,1,not useful,
1,2,231,['input'],input,torch.bitwise_xor.yaml,1,not useful,
2,2,231,['input'],input,torch.real.yaml,1,not useful,
3,2,231,['input'],input,torch.addcdiv.yaml,1,not useful,
4,2,231,['input'],input,torch.log1p.yaml,1,not useful,
5,2,231,['input'],input,torch.prod2.yaml,1,not useful,
6,2,231,['input'],input,torch.bernoulli.yaml,1,not useful,
7,2,231,['input'],input,torch.pow.yaml,1,not useful,
8,2,231,['input'],input,torch.exp.yaml,1,not useful,
9,2,231,['input'],input,torch.cummax.yaml,1,not useful,
10,2,231,['input'],input,torch.mean2.yaml,1,not useful,
11,2,231,['input'],input,torch.reshape.yaml,1,not useful,
12,2,231,['input'],input,torch.div2.yaml,1,not useful,
13,2,231,['input'],input,torch.nn.functional.avg_pool3d.yaml,1,not useful,
14,2,231,['input'],input,torch.cholesky.yaml,1,not useful,
15,2,231,['input'],input,torch.nn.quantized.functional.avg_pool2d.yaml,1,not useful,
16,2,231,['input'],input,torch.ceil.yaml,1,not useful,
17,2,231,['input'],input,torch.sum2.yaml,1,not useful,
18,2,231,['input'],input,torch.min22.yaml,1,not useful,
19,2,231,['input'],input,torch.nn.functional.grid_sample.yaml,1,not useful,
20,2,231,['input'],input,torch.lerp.yaml,1,not useful,
21,2,231,['input'],input,torch.sum.yaml,1,not useful,
22,2,231,['input'],input,torch.nn.functional.conv_transpose2d.yaml,1,not useful,
23,2,231,['input'],input,torch.var_mean.yaml,1,not useful,
24,2,231,['input'],input,torch.nn.functional.avg_pool1d.yaml,1,not useful,
25,2,231,['input'],input,torch.as_strided.yaml,1,not useful,
26,2,231,['input'],input,torch.max22.yaml,1,not useful,
27,2,231,['input'],input,torch.ones_like.yaml,1,not useful,
28,2,231,['input'],input,torch.div.yaml,1,not useful,
30,2,231,['input'],input,torch.nonzero.yaml,1,not useful,
31,2,231,['input'],input,torch.sinh.yaml,1,not useful,
32,2,231,['input'],input,torch.eig.yaml,1,not useful,
33,2,231,['input'],input,torch.var.yaml,1,not useful,
34,2,231,['input'],input,torch.nn.functional.conv2d.yaml,1,not useful,
35,2,231,['input'],input,torch.std_mean.yaml,1,not useful,
36,2,231,['input'],input,torch.nn.functional.pdist.yaml,1,not useful,
37,2,231,['input'],input,torch.nn.functional.glu.yaml,1,not useful,
38,2,231,['input'],input,torch.erf.yaml,1,not useful,
39,2,231,['input'],input,torch.det.yaml,1,not useful,
40,2,231,['input'],input,torch.neg.yaml,1,not useful,
41,2,231,['input'],input,torch.baddbmm.yaml,1,not useful,
42,2,231,['input'],input,torch.le.yaml,1,not useful,
43,2,231,['input'],input,torch.nn.functional.normalize.yaml,1,not useful,
44,2,231,['input'],input,torch.nn.utils.rnn.pack_padded_sequence.yaml,1,not useful,
45,2,231,['input'],input,torch.add.yaml,1,not useful,
46,2,231,['input'],input,torch.diag.yaml,1,not useful,
47,2,231,['input'],input,torch.is_floating_point.yaml,1,not useful,
48,2,231,['input'],input,torch.mv.yaml,1,not useful,
49,2,231,['input'],input,torch.addr.yaml,1,not useful,
50,2,231,['input'],input,torch.nn.functional.adaptive_avg_pool3d.yaml,1,not useful,
51,2,231,['input'],input,torch.sigmoid.yaml,1,not useful,
52,2,231,['input'],input,torch.irfft.yaml,1,not useful,
53,2,231,['input'],input,torch.fmod.yaml,1,not useful,
54,2,231,['input'],input,torch.nn.functional.adaptive_avg_pool1d.yaml,1,not useful,
55,2,231,['input'],input,torch.empty_like.yaml,1,not useful,
56,2,231,['input'],input,torch.combinations.yaml,1,not useful,
57,2,231,['input'],input,torch.gt.yaml,1,not useful,
58,2,231,['input'],input,torch.ormqr.yaml,1,not useful,
59,2,231,['input'],input2,torch.ormqr.yaml,1,not useful,
60,2,231,['input'],input3,torch.ormqr.yaml,1,not useful,
61,2,231,['input'],input,torch.ne.yaml,1,not useful,
62,2,231,['input'],input,torch.erfinv.yaml,1,not useful,
63,2,231,['input'],input,torch.addbmm.yaml,1,not useful,
64,2,231,['input'],input,torch.cummin.yaml,1,not useful,
65,2,231,['input'],input,torch.bitwise_and.yaml,1,not useful,
66,2,231,['input'],input,torch.nn.functional.embedding.yaml,1,not useful,
67,2,231,['input'],input,torch.nn.quantized.functional.adaptive_avg_pool2d.yaml,1,not useful,
68,2,231,['input'],input,torch.pinverse.yaml,1,not useful,
69,2,231,['input'],input,torch.topk.yaml,1,not useful,
70,2,231,['input'],input,torch.nn.functional.conv_transpose3d.yaml,1,not useful,
71,2,231,['input'],input,torch.sparse.sum.yaml,1,not useful,
72,2,231,['input'],input,torch.reciprocal.yaml,1,not useful,
73,2,231,['input'],input,torch.quantize_per_channel.yaml,1,not useful,
74,2,231,['input'],input,torch.zeros_like.yaml,1,not useful,
75,2,231,['input'],input_names,torch.onnx.export.yaml,1,,
76,2,231,['input'],input,torch.cos.yaml,1,not useful,
77,2,231,['input'],input,torch.masked_select.yaml,1,not useful,
78,2,231,['input'],input,torch.matrix_power.yaml,1,not useful,
79,2,231,['input'],input,torch.min2.yaml,1,not useful,
80,2,231,['input'],input,torch.angle.yaml,1,not useful,
81,2,231,['input'],input,torch.erfc.yaml,1,not useful,
82,2,231,['input'],input,torch.round.yaml,1,not useful,
83,2,231,['input'],input,torch.polygamma.yaml,1,not useful,
84,2,231,['input'],input,torch.fft.yaml,1,not useful,
85,2,231,['input'],input,torch.nn.functional.conv_transpose1d.yaml,1,not useful,
86,2,231,['input'],input,torch.cross.yaml,1,not useful,
87,2,231,['input'],input,torch.triangular_solve.yaml,1,not useful,
88,2,231,['input'],input,torch.argmin2.yaml,1,not useful,
89,2,231,['input'],input,torch.acos.yaml,1,not useful,
90,2,231,['input'],input,torch.nn.functional.kl_div.yaml,1,not useful,
91,2,231,['input'],input,torch.nn.functional.avg_pool2d.yaml,1,not useful,
92,2,231,['input'],input,torch.nn.functional.dropout.yaml,1,not useful,
93,2,231,['input'],input,torch.numel.yaml,1,not useful,
94,2,231,['input'],input,torch.addmm.yaml,1,not useful,
95,2,231,['input'],input,torch.randn_like.yaml,1,not useful,
96,2,231,['input'],input,torch.nn.functional.binary_cross_entropy.yaml,1,not useful,
97,2,231,['input'],input,torch.orgqr.yaml,1,not useful,
98,2,231,['input'],input2,torch.orgqr.yaml,1,not useful,
99,2,231,['input'],input,torch.nn.functional.conv1d.yaml,1,not useful,
100,2,231,['input'],input,torch.addcmul.yaml,1,not useful,
101,2,231,['input'],input,torch.nn.functional.log_softmax.yaml,1,not useful,
102,2,231,['input'],input,torch.bitwise_not.yaml,1,not useful,
103,2,231,['input'],input,torch.ifft.yaml,1,not useful,
104,2,231,['input'],input,torch.var_mean2.yaml,1,not useful,
105,2,231,['input'],input,torch.trunc.yaml,1,not useful,
106,2,231,['input'],input,torch.nn.functional.conv3d.yaml,1,not useful,
107,2,231,['input'],input,torch.conj.yaml,1,not useful,
108,2,231,['input'],input,torch.repeat_interleave.yaml,1,not useful,
