,idx,freq,sequence,sentence,api,len,cat,pat
0,2,807,['name'],name,tf.group.yaml,1,string,^(\w+_)?names*$
1,2,807,['name'],name,tf.nn.conv1d.yaml,1,string,^(\w+_)?names*$
2,2,807,['name'],name,tf.math.reduce_std.yaml,1,string,^(\w+_)?names*$
3,2,807,['name'],name,tf.nn.weighted_moments.yaml,1,string,^(\w+_)?names*$
4,2,807,['name'],name,tf.math.zero_fraction.yaml,1,string,^(\w+_)?names*$
5,2,807,['name'],name,tf.keras.backend.ones_like.yaml,1,string,^(\w+_)?names*$
6,2,807,['name'],name,tf.compat.v1.tpu.replicate.yaml,1,string,^(\w+_)?names*$
7,2,807,['name'],name,tf.compat.v1.confusion_matrix.yaml,1,string,^(\w+_)?names*$
8,2,807,['name'],name,tf.linalg.band_part.yaml,1,string,^(\w+_)?names*$
9,2,807,['name'],name,tf.compat.v1.add_to_collection.yaml,1,string,^(\w+_)?names*$
10,2,807,['name'],name,tf.compat.v1.nn.xw_plus_b.yaml,1,string,^(\w+_)?names*$
11,2,807,['name'],name,tf.sparse.mask.yaml,1,string,^(\w+_)?names*$
12,2,807,['name'],name,tf.io.match_filenames_once.yaml,1,string,^(\w+_)?names*$
13,2,807,['name'],name,tf.compat.v1.image.extract_glimpse.yaml,1,string,^(\w+_)?names*$
14,2,807,['name'],name,tf.compat.v1.nn.fused_batch_norm.yaml,1,string,^(\w+_)?names*$
15,2,807,['name'],name,tf.compat.v1.ragged.placeholder.yaml,1,string,^(\w+_)?names*$
16,2,807,['name'],name,tf.compat.v1.depth_to_space.yaml,1,string,^(\w+_)?names*$
17,2,807,['name'],name,tf.math.reciprocal.yaml,1,string,^(\w+_)?names*$
18,2,807,['name'],name,tf.math.xlogy.yaml,1,string,^(\w+_)?names*$
19,2,807,['name'],label_name,tf.data.experimental.make_csv_dataset.yaml,1,string,^(\w+_)?names*$
20,2,807,['name'],name,tf.graph_util.import_graph_def.yaml,1,string,^(\w+_)?names*$
21,2,807,['name'],name,tf.compat.v1.metrics.false_positives_at_thresholds.yaml,1,string,^(\w+_)?names*$
22,2,807,['name'],name,tf.math.unsorted_segment_max.yaml,1,string,^(\w+_)?names*$
23,2,807,['name'],name,tf.nn.space_to_depth.yaml,1,string,^(\w+_)?names*$
24,2,807,['name'],name,tf.compat.v1.keras.layers.DenseFeatures.yaml,1,string,^(\w+_)?names*$
25,2,807,['name'],name,tf.keras.backend.random_uniform_variable.yaml,1,string,^(\w+_)?names*$
26,2,807,['name'],name,tf.image.encode_png.yaml,1,string,^(\w+_)?names*$
27,2,807,['name'],name,tf.math.reduce_max.yaml,1,string,^(\w+_)?names*$
28,2,807,['name'],name,tf.nn.conv2d_transpose.yaml,1,string,^(\w+_)?names*$
29,2,807,['name'],name,tf.math.bessel_i0e.yaml,1,string,^(\w+_)?names*$
30,2,807,['name'],name,tf.sparse.eye.yaml,1,string,^(\w+_)?names*$
31,2,807,['name'],name,tf.quantization.dequantize.yaml,1,string,^(\w+_)?names*$
32,2,807,['name'],name,tf.split.yaml,1,string,^(\w+_)?names*$
33,2,807,['name'],name,tf.debugging.assert_rank_at_least.yaml,1,string,^(\w+_)?names*$
34,2,807,['name'],name,tf.nn.local_response_normalization.yaml,1,string,^(\w+_)?names*$
35,2,807,['name'],name,tf.tensor_scatter_nd_add.yaml,1,string,^(\w+_)?names*$
36,2,807,['name'],name,tf.random.stateless_truncated_normal.yaml,1,string,^(\w+_)?names*$
37,2,807,['name'],name,tf.compat.v1.delete_session_tensor.yaml,1,string,^(\w+_)?names*$
38,2,807,['name'],name,tf.bitcast.yaml,1,string,^(\w+_)?names*$
39,2,807,['name'],name,tf.tuple.yaml,1,string,^(\w+_)?names*$
40,2,807,['name'],name,tf.compat.v1.scatter_nd_update.yaml,1,string,^(\w+_)?names*$
41,2,807,['name'],name,tf.compat.v1.nn.conv1d.yaml,1,string,^(\w+_)?names*$
42,2,807,['name'],name,tf.linalg.diag_part.yaml,1,string,^(\w+_)?names*$
43,2,807,['name'],name,tf.concat.yaml,1,string,^(\w+_)?names*$
44,2,807,['name'],name,tf.random.fixed_unigram_candidate_sampler.yaml,1,string,^(\w+_)?names*$
45,2,807,['name'],name,tf.sparse.cross.yaml,1,string,^(\w+_)?names*$
46,2,807,['name'],name,tf.math.zeta.yaml,1,string,^(\w+_)?names*$
47,2,807,['name'],name,tf.compat.v1.nn.conv3d.yaml,1,string,^(\w+_)?names*$
48,2,807,['name'],name,tf.linalg.adjoint.yaml,1,string,^(\w+_)?names*$
49,2,807,['name'],name,tf.linalg.solve.yaml,1,string,^(\w+_)?names*$
50,2,807,['name'],name,tf.nn.max_pool_with_argmax.yaml,1,string,^(\w+_)?names*$
51,2,807,['name'],name,tf.compat.v1.nn.conv2d_transpose.yaml,1,string,^(\w+_)?names*$
52,2,807,['name'],job_name,tf.config.experimental_connect_to_host.yaml,1,string,^(\w+_)?names*$
53,2,807,['name'],name,tf.math.tanh.yaml,1,string,^(\w+_)?names*$
54,2,807,['name'],name,tf.image.non_max_suppression_overlaps.yaml,1,string,^(\w+_)?names*$
55,2,807,['name'],name,tf.nn.nce_loss.yaml,1,string,^(\w+_)?names*$
56,2,807,['name'],name,tf.compat.v1.train.inverse_time_decay.yaml,1,string,^(\w+_)?names*$
57,2,807,['name'],name,tf.signal.overlap_and_add.yaml,1,string,^(\w+_)?names*$
58,2,807,['name'],name,tf.compat.v1.nn.moments.yaml,1,string,^(\w+_)?names*$
59,2,807,['name'],name,tf.compat.v1.nn.crelu.yaml,1,string,^(\w+_)?names*$
60,2,807,['name'],name,tf.nn.avg_pool2d.yaml,1,string,^(\w+_)?names*$
61,2,807,['name'],name,tf.random.shuffle.yaml,1,string,^(\w+_)?names*$
62,2,807,['name'],name,tf.math.reciprocal_no_nan.yaml,1,string,^(\w+_)?names*$
63,2,807,['name'],name,tf.linalg.cholesky_solve.yaml,1,string,^(\w+_)?names*$
64,2,807,['name'],metric_name,tf.estimator.experimental.stop_if_no_increase_hook.yaml,1,string,^(\w+_)?names*$
65,2,807,['name'],name,tf.compat.v1.summary.merge_all.yaml,1,string,^(\w+_)?names*$
66,2,807,['name'],name,tf.math.lbeta.yaml,1,string,^(\w+_)?names*$
67,2,807,['name'],name,tf.compat.v1.sparse_segment_sum.yaml,1,string,^(\w+_)?names*$
68,2,807,['name'],name,tf.signal.idct.yaml,1,string,^(\w+_)?names*$
69,2,807,['name'],name,tf.linalg.normalize.yaml,1,string,^(\w+_)?names*$
70,2,807,['name'],name,tf.math.polyval.yaml,1,string,^(\w+_)?names*$
71,2,807,['name'],name,tf.nn.relu6.yaml,1,string,^(\w+_)?names*$
72,2,807,['name'],name,tf.random.stateless_normal.yaml,1,string,^(\w+_)?names*$
73,2,807,['name'],name,tf.nn.ctc_unique_labels.yaml,1,string,^(\w+_)?names*$
74,2,807,['name'],name,tf.compat.v1.train.noisy_linear_cosine_decay.yaml,1,string,^(\w+_)?names*$
75,2,807,['name'],name,tf.math.scalar_mul.yaml,1,string,^(\w+_)?names*$
76,2,807,['name'],name,tf.image.resize.yaml,1,string,^(\w+_)?names*$
77,2,807,['name'],name,tf.compat.v1.nn.weighted_moments.yaml,1,string,^(\w+_)?names*$
78,2,807,['name'],name,tf.sparse.reorder.yaml,1,string,^(\w+_)?names*$
79,2,807,['name'],name,tf.math.multiply_no_nan.yaml,1,string,^(\w+_)?names*$
80,2,807,['name'],name,tf.eig.yaml,1,string,^(\w+_)?names*$
81,2,807,['name'],name,tf.compat.v1.scatter_nd_sub.yaml,1,string,^(\w+_)?names*$
82,2,807,['name'],name,tf.linalg.tridiagonal_solve.yaml,1,string,^(\w+_)?names*$
83,2,807,['name'],name,tf.sparse.cross_hashed.yaml,1,string,^(\w+_)?names*$
84,2,807,['name'],name,tf.io.serialize_tensor.yaml,1,string,^(\w+_)?names*$
85,2,807,['name'],name,tf.nn.conv3d.yaml,1,string,^(\w+_)?names*$
86,2,807,['name'],name,tf.compat.v1.metrics.true_negatives.yaml,1,string,^(\w+_)?names*$
87,2,807,['name'],name,tf.strings.substr.yaml,1,string,^(\w+_)?names*$
88,2,807,['name'],name,tf.sparse.split.yaml,1,string,^(\w+_)?names*$
89,2,807,['name'],name,tf.cast.yaml,1,string,^(\w+_)?names*$
90,2,807,['name'],name,tf.ragged.boolean_mask.yaml,1,string,^(\w+_)?names*$
91,2,807,['name'],name,tf.nn.fractional_avg_pool.yaml,1,string,^(\w+_)?names*$
92,2,807,['name'],name,tf.keras.layers.SeparableConv1D.yaml,1,string,^(\w+_)?names*$
93,2,807,['name'],name,tf.broadcast_to.yaml,1,string,^(\w+_)?names*$
94,2,807,['name'],name,tf.strings.ngrams.yaml,1,string,^(\w+_)?names*$
95,2,807,['name'],name,tf.image.total_variation.yaml,1,string,^(\w+_)?names*$
96,2,807,['name'],name,tf.math.sigmoid.yaml,1,string,^(\w+_)?names*$
97,2,807,['name'],method_name,tf.compat.v1.saved_model.build_signature_def.yaml,1,string,^(\w+_)?names*$
98,2,807,['name'],name,tf.math.is_nan.yaml,1,string,^(\w+_)?names*$
