,freq,sequence,len
0,807,['name'],1
1,272,['x'],1
2,221,['input'],1
3,131,['axis'],1
4,130,['data'],1
5,118,['num'],1
6,106,['dtype'],1
7,92,['format'],1
8,84,['size'],1
9,84,['y'],1
10,84,['shape'],1
11,83,"['data', 'format']",2
12,79,['padding'],1
13,78,['tensor'],1
14,74,['value'],1
15,71,['collections'],1
16,68,['strides'],1
17,65,['weights'],1
18,64,['max'],1
19,63,['seed'],1
20,58,['labels'],1
21,57,['values'],1
22,53,['indices'],1
23,52,['inputs'],1
24,49,['kwargs'],1
25,49,['type'],1
26,46,['keepdims'],1
27,46,['message'],1
28,45,['updates'],1
29,41,['rate'],1
30,40,['default'],1
31,39,['predictions'],1
32,37,['output'],1
33,35,['use'],1
34,35,['flag'],1
35,33,['features'],1
36,33,['sp'],1
37,32,['initializer'],1
38,31,['image'],1
39,31,['fn'],1
40,30,['dilations'],1
41,30,['batch'],1
42,30,"['metrics', 'collections']",2
43,30,"['updates', 'collections']",2
44,30,['step'],1
45,30,['summarize'],1
46,29,['args'],1
47,28,['filters'],1
48,27,['scope'],1
49,27,['min'],1
50,27,['true'],1
51,27,['dims'],1
52,26,['key'],1
53,26,['device'],1
54,26,['ids'],1
55,26,['kernel'],1
56,26,['filter'],1
57,25,['path'],1
58,25,['label'],1
59,25,['reduction'],1
60,25,['range'],1
61,25,['logits'],1
62,25,"['flag', 'values']",2
63,24,['regularizer'],1
64,24,['length'],1
65,23,['bias'],1
66,23,"['sp', 'input']",2
67,22,['dir'],1
68,22,['loss'],1
69,22,['ssparse'],1
70,22,['steps'],1
71,22,['b'],1
72,21,"['input', 'tensor']",2
73,21,['axes'],1
74,20,['target'],1
75,19,['columns'],1
76,19,"['segment', 'ids']",2
77,19,['constraint'],1
78,19,['keep'],1
79,18,['mode'],1
80,18,"['keep', 'dims']",2
81,17,['classes'],1
82,17,['names'],1
83,17,['collection'],1
84,17,['threshold'],1
85,17,['images'],1
86,17,['func'],1
87,16,['file'],1
88,16,['feature'],1
89,16,['weight'],1
90,16,"['batch', 'size']",2
91,16,['graph'],1
92,16,['beta'],1
93,16,['k'],1
94,16,['validate'],1
95,15,['lower'],1
96,15,['mean'],1
97,15,['shuffle'],1
98,15,['norm'],1
99,15,['SOME_DTYPE'],1
100,15,['width'],1
101,14,"['num', 'segments']",2
102,14,['column'],1
103,14,"['dilation', 'rate']",2
104,14,['pred'],1
105,14,['sampled'],1
106,14,['ksize'],1
107,14,"['learning', 'rate']",2
108,14,['run'],1
109,14,['model'],1
110,14,['help'],1
111,13,['buckets'],1
112,13,['scale'],1
113,13,['block'],1
114,13,"['use', 'locking']",2
115,13,"['loss', 'collection']",2
116,13,['ref'],1
117,13,['method'],1
118,13,['gradients'],1
119,12,"['num', 'buckets']",2
120,12,"['feature', 'columns']",2
121,12,['trainable'],1
122,12,['epsilon'],1
123,12,['variance'],1
