py_class,py_type,py_api,cpp_api,cpp_type,cpp_link
,function,torch.is_tensor,,,
,function,torch.is_storage,,,
,function,torch.is_floating_point,at::is_floating_point,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1acf997a7a3a7746c7283a5536e667659f.html
,function,torch.set_default_dtype,,,
,function,torch.get_default_dtype,,,
,function,torch.set_default_tensor_type,,,
,function,torch.numel,at::numel,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a95ad385710d6fe9c085e58fe1c9dcd00.html
,function,torch.set_printoptions,,,
,function,torch.set_flush_denormal,,,
,function,torch.tensor,torch::tensor,Function,https://pytorch.org/cppdocs/api/function_namespacetorch_1abd1bdb34b2ec311bca5c2bb674a742f3.html
,function,torch.sparse_coo_tensor,"at::sparse_coo_tensor(IntArrayRef, const TensorOptions&)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1aa4d6cebf0d2b32fd2fec9a8b62cffc6c.html
,function,torch.as_tensor,,,
,function,torch.as_strided,at::as_strided,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a99fe464c6f1d119437a087d1a135679c.html
,function,torch.from_numpy,,,
,function,torch.zeros,"at::zeros(IntArrayRef, c10::optional<DimnameList>, const TensorOptions&)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1afb5adc121238fe29f8d6e3b50b8ec490.html
,function,torch.zeros_like,"at::zeros_like(const Tensor&, c10::optional<MemoryFormat>)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a555baa1b9e3ea7ca6644536c65e35abc.html
,function,torch.ones,"at::ones(IntArrayRef, c10::optional<DimnameList>, const TensorOptions&)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a6078b5edc7f285e6d7106a72cf7eda8f.html
,function,torch.ones_like,"at::ones_like(const Tensor&, c10::optional<MemoryFormat>)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a7d968813252171fdab3e32c9cf0a3385.html
,function,torch.arange,"at::arange(Scalar, const TensorOptions&)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a50793f4e667cd88f636870fc4b57e5ba.html
,function,torch.range,"at::range(Scalar, Scalar, Scalar, const TensorOptions&)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a647b9d9ed73557c0a99ca0c1640d094a.html
,function,torch.linspace,at::linspace,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1afeae1b0c7b874f28fe2d16fa36064f97.html
,function,torch.logspace,at::logspace,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a13f32439cbfae0a4ad19d2414ebfb70f.html
,function,torch.eye,"at::eye(int64_t, const TensorOptions&)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a3b527f085c232949879495d846b1ac21.html
,function,torch.empty,"at::empty(IntArrayRef, c10::optional<DimnameList>, const TensorOptions&, c10::optional<MemoryFormat>)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1aa6196937e855007d42ea0b60a168296a.html
,function,torch.empty_like,"at::empty_like(const Tensor&, c10::optional<MemoryFormat>)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1adbd006fb2494b4415cf9e161763ba88b.html
,function,torch.empty_strided,at::empty_strided,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1ab349b3d0bfbea0ee83366c1cff1cea83.html
,function,torch.full,"at::full(IntArrayRef, Scalar, c10::optional<DimnameList>, const TensorOptions&)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a1feb859c5393a0381925b3599af13692.html
,function,torch.full_like,"at::full_like(const Tensor&, Scalar, c10::optional<MemoryFormat>)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a26662dc046ba8ca9b1238583a6009cc3.html
,function,torch.quantize_per_tensor,at::quantize_per_tensor,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a85f64a4c64ff8aab2ce778a305c698a1.html
,function,torch.quantize_per_channel,at::quantize_per_channel,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a51b54d558c6fee601ba525f8ef35f52b.html
,function,torch.cat,"at::cat(TensorList, int64_t)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1af839d613b74129cfea41b6591d1706fd.html
,function,torch.chunk,at::chunk,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1af9736d4f1a4249746eb5df4e8ccbafab.html
,function,torch.gather,"at::gather(const Tensor&, int64_t, const Tensor&, bool)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a9a3bcd1e7e99541cd0a4fa754be8b7b1.html
,function,torch.index_select,"at::index_select(const Tensor&, int64_t, const Tensor&)",Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a21648eb998143e628e52a19d14aca245.html
,function,torch.masked_select,at::masked_select,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1ac20a9c145c606f17d15f81f385a2bc51.html
,function,torch.narrow,at::narrow,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1acfb19b2b79f81e1faf67d55e801eee62.html
,function,torch.nonzero,at::nonzero,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1ad0dc1795ec3f591843ea50ba0acb29d7.html
,function,torch.reshape,at::reshape,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a0c053c8caac9dad2fdecb850103bbfd1.html
,function,torch.split,at::split,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a65d4a187bbd41b53ce0b86d1c2c13617.html
,function,torch.squeeze,at::squeeze(const Tensor&),Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a0fbe4fcca6f027b352f3b2084eaca6fe.html
,function,torch.stack,at::stack,Function,https://pytorch.org/cppdocs/api/function_namespaceat_1a57b6b565a9a8318d4452e11f307e8725.html
