class,Type,name,input,link,source_code
,function,torch.is_tensor,obj,https://pytorch.org/docs/stable/torch.html#torch.is_tensor,https://pytorch.org/docs/stable/_modules/torch.html#is_tensor
,function,torch.is_storage,obj,https://pytorch.org/docs/stable/torch.html#torch.is_storage,https://pytorch.org/docs/stable/_modules/torch.html#is_storage
,function,torch.is_floating_point,input) -> (bool,https://pytorch.org/docs/stable/torch.html#torch.is_floating_point,
,function,torch.set_default_dtype,d,https://pytorch.org/docs/stable/torch.html#torch.set_default_dtype,https://pytorch.org/docs/stable/_modules/torch.html#set_default_dtype
,function,torch.get_default_dtype,,https://pytorch.org/docs/stable/torch.html#torch.get_default_dtype,
,function,torch.set_default_tensor_type,t,https://pytorch.org/docs/stable/torch.html#torch.set_default_tensor_type,https://pytorch.org/docs/stable/_modules/torch.html#set_default_tensor_type
,function,torch.numel,input,https://pytorch.org/docs/stable/torch.html#torch.numel,
,function,torch.set_printoptions,"precision=None,threshold=None,edgeitems=None,linewidth=None,profile=None,sci_mode=None",https://pytorch.org/docs/stable/torch.html#torch.set_printoptions,https://pytorch.org/docs/stable/_modules/torch/_tensor_str.html#set_printoptions
,function,torch.set_flush_denormal,mode,https://pytorch.org/docs/stable/torch.html#torch.set_flush_denormal,
,function,torch.tensor,"data,dtype=None,device=None,requires_grad=False,pin_memory=False",https://pytorch.org/docs/stable/torch.html#torch.tensor,
,function,torch.sparse_coo_tensor,"indices,values,size=None,dtype=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.sparse_coo_tensor,
,function,torch.as_tensor,"data,dtype=None,device=None",https://pytorch.org/docs/stable/torch.html#torch.as_tensor,
,function,torch.as_strided,"input,size,stride,storage_offset=0",https://pytorch.org/docs/stable/torch.html#torch.as_strided,
,function,torch.from_numpy,ndarray,https://pytorch.org/docs/stable/torch.html#torch.from_numpy,
,function,torch.zeros,"*size,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.zeros,
,function,torch.zeros_like,"input,dtype=None,layout=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.zeros_like,
,function,torch.ones,"*size,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.ones,
,function,torch.ones_like,"input,dtype=None,layout=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.ones_like,
,function,torch.arange,"start=0,end,step=1,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.arange,
,function,torch.range,"start=0,end,step=1,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.range,
,function,torch.linspace,"start,end,steps=100,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.linspace,
,function,torch.logspace,"start,end,steps=100,base=10.0,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.logspace,
,function,torch.eye,"n,m=None,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.eye,
,function,torch.empty,"*size,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False,pin_memory=False",https://pytorch.org/docs/stable/torch.html#torch.empty,
,function,torch.empty_like,"input,dtype=None,layout=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.empty_like,
,function,torch.empty_strided,"size,stride,dtype=None,layout=None,device=None,requires_grad=False,pin_memory=False",https://pytorch.org/docs/stable/torch.html#torch.empty_strided,
,function,torch.full,"size,fill_value,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.full,
,function,torch.full_like,"input,fill_value,out=None,dtype=None,layout=torch.strided,device=None,requires_grad=False",https://pytorch.org/docs/stable/torch.html#torch.full_like,
,function,torch.quantize_per_tensor,"input,scale,zero_point,dtype",https://pytorch.org/docs/stable/torch.html#torch.quantize_per_tensor,
,function,torch.quantize_per_channel,"input,scales,zero_points,axis,dtype",https://pytorch.org/docs/stable/torch.html#torch.quantize_per_channel,
,function,torch.cat,"tensors,dim=0,out=None",https://pytorch.org/docs/stable/torch.html#torch.cat,
,function,torch.chunk,"input,chunks,dim=0",https://pytorch.org/docs/stable/torch.html#torch.chunk,
,function,torch.gather,"input,dim,index,out=None,sparse_grad=False",https://pytorch.org/docs/stable/torch.html#torch.gather,
,function,torch.index_select,"input,dim,index,out=None",https://pytorch.org/docs/stable/torch.html#torch.index_select,
