class,Type,name,input,link,source_code
,function,torch.autograd.backward,"tensors,grad_tensors=None,retain_graph=None,create_graph=False,grad_variables=None",https://pytorch.org/docs/stable/autograd.html#torch.autograd.backward,https://pytorch.org/docs/stable/_modules/torch/autograd.html#backward
,function,torch.autograd.grad,"outputs,inputs,grad_outputs=None,retain_graph=None,create_graph=False,only_inputs=True,allow_unused=False",https://pytorch.org/docs/stable/autograd.html#torch.autograd.grad,https://pytorch.org/docs/stable/_modules/torch/autograd.html#grad
,function,torch.autograd.gradcheck,"func,inputs,eps=1e-06,atol=1e-05,rtol=0.001,raise_exception=True,check_sparse_nnz=False,nondet_tol=0.0",https://pytorch.org/docs/stable/autograd.html#torch.autograd.gradcheck,https://pytorch.org/docs/stable/_modules/torch/autograd/gradcheck.html#gradcheck
,function,torch.autograd.gradgradcheck,"func,inputs,grad_outputs=None,eps=1e-06,atol=1e-05,rtol=0.001,gen_non_contig_grad_outputs=False,raise_exception=True,nondet_tol=0.0",https://pytorch.org/docs/stable/autograd.html#torch.autograd.gradgradcheck,https://pytorch.org/docs/stable/_modules/torch/autograd/gradcheck.html#gradgradcheck
,function,torch.autograd.profiler.load_nvprof,path,https://pytorch.org/docs/stable/autograd.html#torch.autograd.profiler.load_nvprof,https://pytorch.org/docs/stable/_modules/torch/autograd/profiler.html#load_nvprof
torch.autograd.no_grad,class,,,https://pytorch.org/docs/stable/autograd.html#torch.autograd.no_grad,https://pytorch.org/docs/stable/_modules/torch/autograd/grad_mode.html#no_grad
torch.autograd.enable_grad,class,,,https://pytorch.org/docs/stable/autograd.html#torch.autograd.enable_grad,https://pytorch.org/docs/stable/_modules/torch/autograd/grad_mode.html#enable_grad
torch.autograd.set_grad_enabled,class,,mode,https://pytorch.org/docs/stable/autograd.html#torch.autograd.set_grad_enabled,https://pytorch.org/docs/stable/_modules/torch/autograd/grad_mode.html#set_grad_enabled
,class,,,,
,attribute,grad,,https://pytorch.org/docs/stable/autograd.html#torch.Tensor.grad,
,attribute,requires_grad,,https://pytorch.org/docs/stable/autograd.html#torch.Tensor.requires_grad,
,attribute,is_leaf,,https://pytorch.org/docs/stable/autograd.html#torch.Tensor.is_leaf,
,method,backward,"gradient=None,retain_graph=None,create_graph=False",https://pytorch.org/docs/stable/autograd.html#torch.Tensor.backward,https://pytorch.org/docs/stable/_modules/torch/tensor.html#Tensor.backward
,method,detach,,https://pytorch.org/docs/stable/autograd.html#torch.Tensor.detach,
,method,detach_,,https://pytorch.org/docs/stable/autograd.html#torch.Tensor.detach_,
,method,register_hook,hook,https://pytorch.org/docs/stable/autograd.html#torch.Tensor.register_hook,https://pytorch.org/docs/stable/_modules/torch/tensor.html#Tensor.register_hook
,method,retain_grad,,https://pytorch.org/docs/stable/autograd.html#torch.Tensor.retain_grad,https://pytorch.org/docs/stable/_modules/torch/tensor.html#Tensor.retain_grad
torch.autograd.Function,class,,,https://pytorch.org/docs/stable/autograd.html#torch.autograd.Function,https://pytorch.org/docs/stable/_modules/torch/autograd/function.html#Function
torch.autograd.Function,method,backward,"ctx,*grad_outputs",https://pytorch.org/docs/stable/autograd.html#torch.autograd.Function.backward,https://pytorch.org/docs/stable/_modules/torch/autograd/function.html#Function.backward
torch.autograd.Function,method,forward,"ctx,*args,**kwargs",https://pytorch.org/docs/stable/autograd.html#torch.autograd.Function.forward,https://pytorch.org/docs/stable/_modules/torch/autograd/function.html#Function.forward
torch.autograd.function._ContextMethodMixin,class,,,https://pytorch.org/docs/stable/autograd.html#torch.autograd.function._ContextMethodMixin,https://pytorch.org/docs/stable/_modules/torch/autograd/function.html#_ContextMethodMixin
torch.autograd.function._ContextMethodMixin,method,mark_dirty,*args,https://pytorch.org/docs/stable/autograd.html#torch.autograd.function._ContextMethodMixin.mark_dirty,https://pytorch.org/docs/stable/_modules/torch/autograd/function.html#_ContextMethodMixin.mark_dirty
