class,Type,name,input,link,source_code
,function,torch.cuda.current_blas_handle,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.current_blas_handle,https://pytorch.org/docs/stable/_modules/torch/cuda.html#current_blas_handle
,function,torch.cuda.current_device,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.current_device,https://pytorch.org/docs/stable/_modules/torch/cuda.html#current_device
,function,torch.cuda.current_stream,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.current_stream,https://pytorch.org/docs/stable/_modules/torch/cuda.html#current_stream
,function,torch.cuda.default_stream,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.default_stream,https://pytorch.org/docs/stable/_modules/torch/cuda.html#default_stream
,function,torch.cuda.device_count,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.device_count,https://pytorch.org/docs/stable/_modules/torch/cuda.html#device_count
,function,torch.cuda.get_device_capability,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.get_device_capability,https://pytorch.org/docs/stable/_modules/torch/cuda.html#get_device_capability
,function,torch.cuda.get_device_name,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.get_device_name,https://pytorch.org/docs/stable/_modules/torch/cuda.html#get_device_name
,function,torch.cuda.init,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.init,https://pytorch.org/docs/stable/_modules/torch/cuda.html#init
,function,torch.cuda.ipc_collect,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.ipc_collect,https://pytorch.org/docs/stable/_modules/torch/cuda.html#ipc_collect
,function,torch.cuda.is_available,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.is_available,https://pytorch.org/docs/stable/_modules/torch/cuda.html#is_available
,function,torch.cuda.is_initialized,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.is_initialized,https://pytorch.org/docs/stable/_modules/torch/cuda.html#is_initialized
,function,torch.cuda.set_device,device,https://pytorch.org/docs/stable/cuda.html#torch.cuda.set_device,https://pytorch.org/docs/stable/_modules/torch/cuda.html#set_device
,function,torch.cuda.stream,stream,https://pytorch.org/docs/stable/cuda.html#torch.cuda.stream,https://pytorch.org/docs/stable/_modules/torch/cuda.html#stream
,function,torch.cuda.synchronize,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.synchronize,https://pytorch.org/docs/stable/_modules/torch/cuda.html#synchronize
,function,torch.cuda.get_rng_state,device='cuda',https://pytorch.org/docs/stable/cuda.html#torch.cuda.get_rng_state,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#get_rng_state
,function,torch.cuda.get_rng_state_all,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.get_rng_state_all,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#get_rng_state_all
,function,torch.cuda.set_rng_state,"new_state,device='cuda'",https://pytorch.org/docs/stable/cuda.html#torch.cuda.set_rng_state,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#set_rng_state
,function,torch.cuda.set_rng_state_all,new_states,https://pytorch.org/docs/stable/cuda.html#torch.cuda.set_rng_state_all,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#set_rng_state_all
,function,torch.cuda.manual_seed,seed,https://pytorch.org/docs/stable/cuda.html#torch.cuda.manual_seed,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#manual_seed
,function,torch.cuda.manual_seed_all,seed,https://pytorch.org/docs/stable/cuda.html#torch.cuda.manual_seed_all,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#manual_seed_all
,function,torch.cuda.seed,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.seed,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#seed
,function,torch.cuda.seed_all,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.seed_all,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#seed_all
,function,torch.cuda.initial_seed,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.initial_seed,https://pytorch.org/docs/stable/_modules/torch/cuda/random.html#initial_seed
,function,torch.cuda.comm.broadcast,"tensor,devices",https://pytorch.org/docs/stable/cuda.html#torch.cuda.comm.broadcast,https://pytorch.org/docs/stable/_modules/torch/cuda/comm.html#broadcast
,function,torch.cuda.comm.broadcast_coalesced,"tensors,devices,buffer_size=10485760",https://pytorch.org/docs/stable/cuda.html#torch.cuda.comm.broadcast_coalesced,https://pytorch.org/docs/stable/_modules/torch/cuda/comm.html#broadcast_coalesced
,function,torch.cuda.comm.reduce_add,"inputs,destination=None",https://pytorch.org/docs/stable/cuda.html#torch.cuda.comm.reduce_add,https://pytorch.org/docs/stable/_modules/torch/cuda/comm.html#reduce_add
,function,torch.cuda.comm.scatter,"tensor,devices,chunk_sizes=None,dim=0,streams=None",https://pytorch.org/docs/stable/cuda.html#torch.cuda.comm.scatter,https://pytorch.org/docs/stable/_modules/torch/cuda/comm.html#scatter
,function,torch.cuda.comm.gather,"tensors,dim=0,destination=None",https://pytorch.org/docs/stable/cuda.html#torch.cuda.comm.gather,https://pytorch.org/docs/stable/_modules/torch/cuda/comm.html#gather
,function,torch.cuda.empty_cache,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.empty_cache,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#empty_cache
,function,torch.cuda.memory_stats,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.memory_stats,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#memory_stats
,function,torch.cuda.memory_summary,"device=None,abbreviated=False",https://pytorch.org/docs/stable/cuda.html#torch.cuda.memory_summary,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#memory_summary
,function,torch.cuda.memory_snapshot,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.memory_snapshot,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#memory_snapshot
,function,torch.cuda.memory_allocated,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.memory_allocated,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#memory_allocated
,function,torch.cuda.max_memory_allocated,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.max_memory_allocated,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#max_memory_allocated
,function,torch.cuda.reset_max_memory_allocated,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.reset_max_memory_allocated,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#reset_max_memory_allocated
,function,torch.cuda.memory_reserved,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.memory_reserved,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#memory_reserved
,function,torch.cuda.max_memory_reserved,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.max_memory_reserved,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#max_memory_reserved
,function,torch.cuda.memory_cached,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.memory_cached,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#memory_cached
,function,torch.cuda.max_memory_cached,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.max_memory_cached,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#max_memory_cached
,function,torch.cuda.reset_max_memory_cached,device=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.reset_max_memory_cached,https://pytorch.org/docs/stable/_modules/torch/cuda/memory.html#reset_max_memory_cached
,function,torch.cuda.nvtx.mark,msg,https://pytorch.org/docs/stable/cuda.html#torch.cuda.nvtx.mark,https://pytorch.org/docs/stable/_modules/torch/cuda/nvtx.html#mark
,function,torch.cuda.nvtx.range_push,msg,https://pytorch.org/docs/stable/cuda.html#torch.cuda.nvtx.range_push,https://pytorch.org/docs/stable/_modules/torch/cuda/nvtx.html#range_push
,function,torch.cuda.nvtx.range_pop,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.nvtx.range_pop,https://pytorch.org/docs/stable/_modules/torch/cuda/nvtx.html#range_pop
torch.cuda.device,class,,device,https://pytorch.org/docs/stable/cuda.html#torch.cuda.device,https://pytorch.org/docs/stable/_modules/torch/cuda.html#device
torch.cuda.device_of,class,,obj,https://pytorch.org/docs/stable/cuda.html#torch.cuda.device_of,https://pytorch.org/docs/stable/_modules/torch/cuda.html#device_of
torch.cuda.Stream,class,,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Stream,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Stream
torch.cuda.Stream,method,query,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Stream.query,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Stream.query
torch.cuda.Stream,method,record_event,event=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Stream.record_event,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Stream.record_event
torch.cuda.Stream,method,synchronize,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Stream.synchronize,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Stream.synchronize
torch.cuda.Stream,method,wait_event,event,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Stream.wait_event,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Stream.wait_event
torch.cuda.Stream,method,wait_stream,stream,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Stream.wait_stream,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Stream.wait_stream
torch.cuda.Event,class,,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Event,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Event
torch.cuda.Event,method,elapsed_time,end_event,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Event.elapsed_time,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Event.elapsed_time
torch.cuda.Event,method,from_ipc_handle,"device,handle",https://pytorch.org/docs/stable/cuda.html#torch.cuda.Event.from_ipc_handle,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Event.from_ipc_handle
torch.cuda.Event,method,ipc_handle,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Event.ipc_handle,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Event.ipc_handle
torch.cuda.Event,method,query,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Event.query,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Event.query
torch.cuda.Event,method,record,stream=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Event.record,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Event.record
torch.cuda.Event,method,synchronize,,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Event.synchronize,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Event.synchronize
torch.cuda.Event,method,wait,stream=None,https://pytorch.org/docs/stable/cuda.html#torch.cuda.Event.wait,https://pytorch.org/docs/stable/_modules/torch/cuda/streams.html#Event.wait
