class,Type,name,input,link,source_code
,function,torch.utils.data.get_worker_info,,https://pytorch.org/docs/stable/data.html#torch.utils.data.get_worker_info,https://pytorch.org/docs/stable/_modules/torch/utils/data/_utils/worker.html#get_worker_info
,function,torch.utils.data.random_split,"dataset,lengths",https://pytorch.org/docs/stable/data.html#torch.utils.data.random_split,https://pytorch.org/docs/stable/_modules/torch/utils/data/dataset.html#random_split
torch.utils.data.DataLoader,class,,"dataset,batch_size=1,shuffle=False,sampler=None,batch_sampler=None,num_workers=0,collate_fn=None,pin_memory=False,drop_last=False,timeout=0,worker_init_fn=None,multiprocessing_context=None",https://pytorch.org/docs/stable/data.html#torch.utils.data.DataLoader,https://pytorch.org/docs/stable/_modules/torch/utils/data/dataloader.html#DataLoader
torch.utils.data.Dataset,class,,,https://pytorch.org/docs/stable/data.html#torch.utils.data.Dataset,https://pytorch.org/docs/stable/_modules/torch/utils/data/dataset.html#Dataset
torch.utils.data.IterableDataset,class,,,https://pytorch.org/docs/stable/data.html#torch.utils.data.IterableDataset,https://pytorch.org/docs/stable/_modules/torch/utils/data/dataset.html#IterableDataset
torch.utils.data.TensorDataset,class,,*tensors,https://pytorch.org/docs/stable/data.html#torch.utils.data.TensorDataset,https://pytorch.org/docs/stable/_modules/torch/utils/data/dataset.html#TensorDataset
torch.utils.data.ConcatDataset,class,,datasets,https://pytorch.org/docs/stable/data.html#torch.utils.data.ConcatDataset,https://pytorch.org/docs/stable/_modules/torch/utils/data/dataset.html#ConcatDataset
torch.utils.data.ChainDataset,class,,datasets,https://pytorch.org/docs/stable/data.html#torch.utils.data.ChainDataset,https://pytorch.org/docs/stable/_modules/torch/utils/data/dataset.html#ChainDataset
torch.utils.data.Subset,class,,"dataset,indices",https://pytorch.org/docs/stable/data.html#torch.utils.data.Subset,https://pytorch.org/docs/stable/_modules/torch/utils/data/dataset.html#Subset
torch.utils.data.Sampler,class,,data_source,https://pytorch.org/docs/stable/data.html#torch.utils.data.Sampler,https://pytorch.org/docs/stable/_modules/torch/utils/data/sampler.html#Sampler
torch.utils.data.SequentialSampler,class,,data_source,https://pytorch.org/docs/stable/data.html#torch.utils.data.SequentialSampler,https://pytorch.org/docs/stable/_modules/torch/utils/data/sampler.html#SequentialSampler
torch.utils.data.RandomSampler,class,,"data_source,replacement=False,num_samples=None",https://pytorch.org/docs/stable/data.html#torch.utils.data.RandomSampler,https://pytorch.org/docs/stable/_modules/torch/utils/data/sampler.html#RandomSampler
torch.utils.data.SubsetRandomSampler,class,,indices,https://pytorch.org/docs/stable/data.html#torch.utils.data.SubsetRandomSampler,https://pytorch.org/docs/stable/_modules/torch/utils/data/sampler.html#SubsetRandomSampler
torch.utils.data.WeightedRandomSampler,class,,"weights,num_samples,replacement=True",https://pytorch.org/docs/stable/data.html#torch.utils.data.WeightedRandomSampler,https://pytorch.org/docs/stable/_modules/torch/utils/data/sampler.html#WeightedRandomSampler
torch.utils.data.BatchSampler,class,,"sampler,batch_size,drop_last",https://pytorch.org/docs/stable/data.html#torch.utils.data.BatchSampler,https://pytorch.org/docs/stable/_modules/torch/utils/data/sampler.html#BatchSampler
torch.utils.data.distributed.DistributedSampler,class,,"dataset,num_replicas=None,rank=None,shuffle=True",https://pytorch.org/docs/stable/data.html#torch.utils.data.distributed.DistributedSampler,https://pytorch.org/docs/stable/_modules/torch/utils/data/distributed.html#DistributedSampler
