class,Type,name,input,link,source_code
,function,torch.distributed.init_process_group,"backend,init_method=None,timeout=datetime.timedelta(0,1800),world_size=-1,rank=-1,store=None,group_name=''",https://pytorch.org/docs/stable/distributed.html#torch.distributed.init_process_group,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#init_process_group
,function,torch.distributed.get_backend,group=<object object>,https://pytorch.org/docs/stable/distributed.html#torch.distributed.get_backend,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#get_backend
,function,torch.distributed.get_rank,group=<object object>,https://pytorch.org/docs/stable/distributed.html#torch.distributed.get_rank,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#get_rank
,function,torch.distributed.get_world_size,group=<object object>,https://pytorch.org/docs/stable/distributed.html#torch.distributed.get_world_size,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#get_world_size
,function,torch.distributed.is_initialized,,https://pytorch.org/docs/stable/distributed.html#torch.distributed.is_initialized,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#is_initialized
,function,torch.distributed.is_mpi_available,,https://pytorch.org/docs/stable/distributed.html#torch.distributed.is_mpi_available,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#is_mpi_available
,function,torch.distributed.is_nccl_available,,https://pytorch.org/docs/stable/distributed.html#torch.distributed.is_nccl_available,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#is_nccl_available
,function,torch.distributed.new_group,"ranks=None,timeout=datetime.timedelta(0,1800),backend=None",https://pytorch.org/docs/stable/distributed.html#torch.distributed.new_group,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#new_group
,function,torch.distributed.send,"tensor,dst,group=<object object>,tag=0",https://pytorch.org/docs/stable/distributed.html#torch.distributed.send,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#send
,function,torch.distributed.recv,"tensor,src=None,group=<object object>,tag=0",https://pytorch.org/docs/stable/distributed.html#torch.distributed.recv,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#recv
,function,torch.distributed.isend,"tensor,dst,group=<object object>,tag=0",https://pytorch.org/docs/stable/distributed.html#torch.distributed.isend,https://pytorch.org/docs/stable/_modules/torch/distributed/distributed_c10d.html#isend
