class,Type,name,input,link,source_code
,function,torch.distributions.kl.kl_divergence,"p,q",https://pytorch.org/docs/stable/distributions.html#torch.distributions.kl.kl_divergence,https://pytorch.org/docs/stable/_modules/torch/distributions/kl.html#kl_divergence
,function,torch.distributions.kl.register_kl,"type_p,type_q",https://pytorch.org/docs/stable/distributions.html#torch.distributions.kl.register_kl,https://pytorch.org/docs/stable/_modules/torch/distributions/kl.html#register_kl
torch.distributions.distribution.Distribution,class,,"batch_shape=torch.Size([]),event_shape=torch.Size([]),validate_args=None",https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution
torch.distributions.distribution.Distribution,method,arg_constraints,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.arg_constraints,
torch.distributions.distribution.Distribution,method,batch_shape,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.batch_shape,
torch.distributions.distribution.Distribution,method,cdf,value,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.cdf,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.cdf
torch.distributions.distribution.Distribution,method,entropy,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.entropy,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.entropy
torch.distributions.distribution.Distribution,method,enumerate_support,expand=True,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.enumerate_support,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.enumerate_support
torch.distributions.distribution.Distribution,method,event_shape,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.event_shape,
torch.distributions.distribution.Distribution,method,expand,"batch_shape,_instance=None",https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.expand,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.expand
torch.distributions.distribution.Distribution,method,icdf,value,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.icdf,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.icdf
torch.distributions.distribution.Distribution,method,log_prob,value,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.log_prob,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.log_prob
torch.distributions.distribution.Distribution,method,mean,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.mean,
torch.distributions.distribution.Distribution,method,perplexity,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.perplexity,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.perplexity
torch.distributions.distribution.Distribution,method,rsample,sample_shape=torch.Size([]),https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.rsample,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.rsample
torch.distributions.distribution.Distribution,method,sample,sample_shape=torch.Size([]),https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.sample,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.sample
torch.distributions.distribution.Distribution,method,sample_n,n,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.sample_n,https://pytorch.org/docs/stable/_modules/torch/distributions/distribution.html#Distribution.sample_n
torch.distributions.distribution.Distribution,method,stddev,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.stddev,
torch.distributions.distribution.Distribution,method,support,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.support,
torch.distributions.distribution.Distribution,method,variance,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.distribution.Distribution.variance,
torch.distributions.exp_family.ExponentialFamily,class,,"batch_shape=torch.Size([]),event_shape=torch.Size([]),validate_args=None",https://pytorch.org/docs/stable/distributions.html#torch.distributions.exp_family.ExponentialFamily,https://pytorch.org/docs/stable/_modules/torch/distributions/exp_family.html#ExponentialFamily
torch.distributions.exp_family.ExponentialFamily,method,entropy,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.exp_family.ExponentialFamily.entropy,https://pytorch.org/docs/stable/_modules/torch/distributions/exp_family.html#ExponentialFamily.entropy
torch.distributions.bernoulli.Bernoulli,class,,"probs=None,logits=None,validate_args=None",https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli,https://pytorch.org/docs/stable/_modules/torch/distributions/bernoulli.html#Bernoulli
torch.distributions.bernoulli.Bernoulli,attribute,arg_constraints,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.arg_constraints,
torch.distributions.bernoulli.Bernoulli,method,entropy,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.entropy,https://pytorch.org/docs/stable/_modules/torch/distributions/bernoulli.html#Bernoulli.entropy
torch.distributions.bernoulli.Bernoulli,method,enumerate_support,expand=True,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.enumerate_support,https://pytorch.org/docs/stable/_modules/torch/distributions/bernoulli.html#Bernoulli.enumerate_support
torch.distributions.bernoulli.Bernoulli,method,expand,"batch_shape,_instance=None",https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.expand,https://pytorch.org/docs/stable/_modules/torch/distributions/bernoulli.html#Bernoulli.expand
torch.distributions.bernoulli.Bernoulli,attribute,has_enumerate_support,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.has_enumerate_support,
torch.distributions.bernoulli.Bernoulli,method,log_prob,value,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.log_prob,https://pytorch.org/docs/stable/_modules/torch/distributions/bernoulli.html#Bernoulli.log_prob
torch.distributions.bernoulli.Bernoulli,attribute,logits,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.logits,https://pytorch.org/docs/stable/_modules/torch/distributions/bernoulli.html#Bernoulli.logits
torch.distributions.bernoulli.Bernoulli,method,mean,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.mean,
torch.distributions.bernoulli.Bernoulli,method,param_shape,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.param_shape,
torch.distributions.bernoulli.Bernoulli,attribute,probs,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.probs,https://pytorch.org/docs/stable/_modules/torch/distributions/bernoulli.html#Bernoulli.probs
torch.distributions.bernoulli.Bernoulli,method,sample,sample_shape=torch.Size([]),https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.sample,https://pytorch.org/docs/stable/_modules/torch/distributions/bernoulli.html#Bernoulli.sample
torch.distributions.bernoulli.Bernoulli,attribute,support,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.support,
torch.distributions.bernoulli.Bernoulli,method,variance,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.bernoulli.Bernoulli.variance,
torch.distributions.beta.Beta,class,,"concentration1,concentration0,validate_args=None",https://pytorch.org/docs/stable/distributions.html#torch.distributions.beta.Beta,https://pytorch.org/docs/stable/_modules/torch/distributions/beta.html#Beta
torch.distributions.beta.Beta,attribute,arg_constraints,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.beta.Beta.arg_constraints,
torch.distributions.beta.Beta,method,concentration0,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.beta.Beta.concentration0,
torch.distributions.beta.Beta,method,concentration1,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.beta.Beta.concentration1,
torch.distributions.beta.Beta,method,entropy,,https://pytorch.org/docs/stable/distributions.html#torch.distributions.beta.Beta.entropy,https://pytorch.org/docs/stable/_modules/torch/distributions/beta.html#Beta.entropy
