class,Type,name,input,link,source_code
,function,to,"device=None,dtype=None,non_blocking=False",,https://pytorch.org/docs/stable/_modules/torch/nn/modules/module.html#Module.to
,function,to,"dtype,non_blocking=False",,https://pytorch.org/docs/stable/_modules/torch/nn/modules/module.html#Module.to
,function,to,"tensor,non_blocking=False",,https://pytorch.org/docs/stable/_modules/torch/nn/modules/module.html#Module.to
,function,torch.nn.utils.clip_grad_norm_,"parameters,max_norm,norm_type=2",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.clip_grad_norm_,https://pytorch.org/docs/stable/_modules/torch/nn/utils/clip_grad.html#clip_grad_norm_
,function,torch.nn.utils.clip_grad_value_,"parameters,clip_value",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.clip_grad_value_,https://pytorch.org/docs/stable/_modules/torch/nn/utils/clip_grad.html#clip_grad_value_
,function,torch.nn.utils.parameters_to_vector,parameters,https://pytorch.org/docs/stable/nn.html#torch.nn.utils.parameters_to_vector,https://pytorch.org/docs/stable/_modules/torch/nn/utils/convert_parameters.html#parameters_to_vector
,function,torch.nn.utils.vector_to_parameters,"vec,parameters",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.vector_to_parameters,https://pytorch.org/docs/stable/_modules/torch/nn/utils/convert_parameters.html#vector_to_parameters
,function,torch.nn.utils.prune.identity,"module,name",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.prune.identity,https://pytorch.org/docs/stable/_modules/torch/nn/utils/prune.html#identity
,function,torch.nn.utils.prune.random_unstructured,"module,name,amount",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.prune.random_unstructured,https://pytorch.org/docs/stable/_modules/torch/nn/utils/prune.html#random_unstructured
,function,torch.nn.utils.prune.l1_unstructured,"module,name,amount",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.prune.l1_unstructured,https://pytorch.org/docs/stable/_modules/torch/nn/utils/prune.html#l1_unstructured
,function,torch.nn.utils.prune.random_structured,"module,name,amount,dim",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.prune.random_structured,https://pytorch.org/docs/stable/_modules/torch/nn/utils/prune.html#random_structured
,function,torch.nn.utils.prune.ln_structured,"module,name,amount,n,dim",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.prune.ln_structured,https://pytorch.org/docs/stable/_modules/torch/nn/utils/prune.html#ln_structured
,function,torch.nn.utils.prune.global_unstructured,"parameters,pruning_method,**kwargs",https://pytorch.org/docs/stable/nn.html#torch.nn.utils.prune.global_unstructured,https://pytorch.org/docs/stable/_modules/torch/nn/utils/prune.html#global_unstructured
