class,Type,name,input,link,source_code
,function,torch.nn.functional.conv1d,"input,weight,bias=None,stride=1,padding=0,dilation=1,groups=1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.conv1d,
,function,torch.nn.functional.conv2d,"input,weight,bias=None,stride=1,padding=0,dilation=1,groups=1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.conv2d,
,function,torch.nn.functional.conv3d,"input,weight,bias=None,stride=1,padding=0,dilation=1,groups=1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.conv3d,
,function,torch.nn.functional.conv_transpose1d,"input,weight,bias=None,stride=1,padding=0,output_padding=0,groups=1,dilation=1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.conv_transpose1d,
,function,torch.nn.functional.conv_transpose2d,"input,weight,bias=None,stride=1,padding=0,output_padding=0,groups=1,dilation=1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.conv_transpose2d,
,function,torch.nn.functional.conv_transpose3d,"input,weight,bias=None,stride=1,padding=0,output_padding=0,groups=1,dilation=1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.conv_transpose3d,
,function,torch.nn.functional.unfold,"input,kernel_size,dilation=1,padding=0,stride=1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.unfold,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#unfold
,function,torch.nn.functional.fold,"input,output_size,kernel_size,dilation=1,padding=0,stride=1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.fold,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#fold
,function,torch.nn.functional.avg_pool1d,"input,kernel_size,stride=None,padding=0,ceil_mode=False,count_include_pad=True",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.avg_pool1d,
,function,torch.nn.functional.avg_pool2d,"input,kernel_size,stride=None,padding=0,ceil_mode=False,count_include_pad=True,divisor_override=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.avg_pool2d,
,function,torch.nn.functional.avg_pool3d,"input,kernel_size,stride=None,padding=0,ceil_mode=False,count_include_pad=True,divisor_override=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.avg_pool3d,
,function,torch.nn.functional.max_pool1d,"*args,**kwargs",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.max_pool1d,
,function,torch.nn.functional.max_pool2d,"*args,**kwargs",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.max_pool2d,
,function,torch.nn.functional.max_pool3d,"*args,**kwargs",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.max_pool3d,
,function,torch.nn.functional.max_unpool1d,"input,indices,kernel_size,stride=None,padding=0,output_size=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.max_unpool1d,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#max_unpool1d
,function,torch.nn.functional.max_unpool2d,"input,indices,kernel_size,stride=None,padding=0,output_size=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.max_unpool2d,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#max_unpool2d
,function,torch.nn.functional.max_unpool3d,"input,indices,kernel_size,stride=None,padding=0,output_size=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.max_unpool3d,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#max_unpool3d
