class,Type,name,input,link,source_code
torch.optim.Optimizer,class,,"params,defaults",https://pytorch.org/docs/stable/optim.html#torch.optim.Optimizer,https://pytorch.org/docs/stable/_modules/torch/optim/optimizer.html#Optimizer
torch.optim.Optimizer,method,add_param_group,param_group,https://pytorch.org/docs/stable/optim.html#torch.optim.Optimizer.add_param_group,https://pytorch.org/docs/stable/_modules/torch/optim/optimizer.html#Optimizer.add_param_group
torch.optim.Optimizer,method,load_state_dict,state_dict,https://pytorch.org/docs/stable/optim.html#torch.optim.Optimizer.load_state_dict,https://pytorch.org/docs/stable/_modules/torch/optim/optimizer.html#Optimizer.load_state_dict
torch.optim.Optimizer,method,state_dict,,https://pytorch.org/docs/stable/optim.html#torch.optim.Optimizer.state_dict,https://pytorch.org/docs/stable/_modules/torch/optim/optimizer.html#Optimizer.state_dict
torch.optim.Optimizer,method,step,closure,https://pytorch.org/docs/stable/optim.html#torch.optim.Optimizer.step,https://pytorch.org/docs/stable/_modules/torch/optim/optimizer.html#Optimizer.step
torch.optim.Optimizer,method,zero_grad,,https://pytorch.org/docs/stable/optim.html#torch.optim.Optimizer.zero_grad,https://pytorch.org/docs/stable/_modules/torch/optim/optimizer.html#Optimizer.zero_grad
torch.optim.Adadelta,class,,"params,lr=1.0,rho=0.9,eps=1e-06,weight_decay=0",https://pytorch.org/docs/stable/optim.html#torch.optim.Adadelta,https://pytorch.org/docs/stable/_modules/torch/optim/adadelta.html#Adadelta
torch.optim.Adadelta,method,step,closure=None,https://pytorch.org/docs/stable/optim.html#torch.optim.Adadelta.step,https://pytorch.org/docs/stable/_modules/torch/optim/adadelta.html#Adadelta.step
torch.optim.Adagrad,class,,"params,lr=0.01,lr_decay=0,weight_decay=0,initial_accumulator_value=0,eps=1e-10",https://pytorch.org/docs/stable/optim.html#torch.optim.Adagrad,https://pytorch.org/docs/stable/_modules/torch/optim/adagrad.html#Adagrad
torch.optim.Adagrad,method,step,closure=None,https://pytorch.org/docs/stable/optim.html#torch.optim.Adagrad.step,https://pytorch.org/docs/stable/_modules/torch/optim/adagrad.html#Adagrad.step
torch.optim.Adam,class,,"params,lr=0.001,betas=(0.9,0.999),eps=1e-08,weight_decay=0,amsgrad=False",https://pytorch.org/docs/stable/optim.html#torch.optim.Adam,https://pytorch.org/docs/stable/_modules/torch/optim/adam.html#Adam
torch.optim.Adam,method,step,closure=None,https://pytorch.org/docs/stable/optim.html#torch.optim.Adam.step,https://pytorch.org/docs/stable/_modules/torch/optim/adam.html#Adam.step
torch.optim.AdamW,class,,"params,lr=0.001,betas=(0.9,0.999),eps=1e-08,weight_decay=0.01,amsgrad=False",https://pytorch.org/docs/stable/optim.html#torch.optim.AdamW,https://pytorch.org/docs/stable/_modules/torch/optim/adamw.html#AdamW
torch.optim.AdamW,method,step,closure=None,https://pytorch.org/docs/stable/optim.html#torch.optim.AdamW.step,https://pytorch.org/docs/stable/_modules/torch/optim/adamw.html#AdamW.step
torch.optim.SparseAdam,class,,"params,lr=0.001,betas=(0.9,0.999),eps=1e-08",https://pytorch.org/docs/stable/optim.html#torch.optim.SparseAdam,https://pytorch.org/docs/stable/_modules/torch/optim/sparse_adam.html#SparseAdam
torch.optim.SparseAdam,method,step,closure=None,https://pytorch.org/docs/stable/optim.html#torch.optim.SparseAdam.step,https://pytorch.org/docs/stable/_modules/torch/optim/sparse_adam.html#SparseAdam.step
torch.optim.Adamax,class,,"params,lr=0.002,betas=(0.9,0.999),eps=1e-08,weight_decay=0",https://pytorch.org/docs/stable/optim.html#torch.optim.Adamax,https://pytorch.org/docs/stable/_modules/torch/optim/adamax.html#Adamax
torch.optim.Adamax,method,step,closure=None,https://pytorch.org/docs/stable/optim.html#torch.optim.Adamax.step,https://pytorch.org/docs/stable/_modules/torch/optim/adamax.html#Adamax.step
torch.optim.ASGD,class,,"params,lr=0.01,lambd=0.0001,alpha=0.75,t0=1000000.0,weight_decay=0",https://pytorch.org/docs/stable/optim.html#torch.optim.ASGD,https://pytorch.org/docs/stable/_modules/torch/optim/asgd.html#ASGD
