class,Type,name,input,link,source_code
,function,torch.quantization.quantize,"model,run_fn,run_args,mapping=None,inplace=False",https://pytorch.org/docs/stable/quantization.html#torch.quantization.quantize,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#quantize
,function,torch.quantization.quantize_dynamic,"model,qconfig_spec=None,dtype=torch.qint8,mapping=None,inplace=False",https://pytorch.org/docs/stable/quantization.html#torch.quantization.quantize_dynamic,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#quantize_dynamic
,function,torch.quantization.quantize_qat,"model,run_fn,run_args,inplace=False",https://pytorch.org/docs/stable/quantization.html#torch.quantization.quantize_qat,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#quantize_qat
,function,torch.quantization.prepare,"model,qconfig_dict=None,inplace=False",https://pytorch.org/docs/stable/quantization.html#torch.quantization.prepare,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#prepare
,function,torch.quantization.prepare_qat,"model,mapping=None,inplace=False",https://pytorch.org/docs/stable/quantization.html#torch.quantization.prepare_qat,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#prepare_qat
,function,torch.quantization.convert,"module,mapping=None,inplace=False",https://pytorch.org/docs/stable/quantization.html#torch.quantization.convert,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#convert
,function,torch.quantization.fuse_modules,"model,modules_to_fuse,inplace=False,fuser_func=<function fuse_known_modules>",https://pytorch.org/docs/stable/quantization.html#torch.quantization.fuse_modules,https://pytorch.org/docs/stable/_modules/torch/quantization/fuse_modules.html#fuse_modules
,function,torch.quantization.add_quant_dequant,module,https://pytorch.org/docs/stable/quantization.html#torch.quantization.add_quant_dequant,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#add_quant_dequant
,function,torch.quantization.add_observer_,module,https://pytorch.org/docs/stable/quantization.html#torch.quantization.add_observer_,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#add_observer_
,function,torch.quantization.swap_module,"mod,mapping",https://pytorch.org/docs/stable/quantization.html#torch.quantization.swap_module,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#swap_module
,function,torch.quantization.propagate_qconfig_,"module,qconfig_dict=None",https://pytorch.org/docs/stable/quantization.html#torch.quantization.propagate_qconfig_,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#propagate_qconfig_
,function,torch.quantization.default_eval_fn,"model,calib_data",https://pytorch.org/docs/stable/quantization.html#torch.quantization.default_eval_fn,https://pytorch.org/docs/stable/_modules/torch/quantization.html#default_eval_fn
,function,torch.quantization.get_observer_dict,"mod,target_dict,prefix=''",https://pytorch.org/docs/stable/quantization.html#torch.quantization.get_observer_dict,https://pytorch.org/docs/stable/_modules/torch/quantization/quantize.html#get_observer_dict
,function,torch.nn.quantized.functional.relu,"input,inplace=False",https://pytorch.org/docs/stable/quantization.html#torch.nn.quantized.functional.relu,https://pytorch.org/docs/stable/_modules/torch/nn/quantized/functional.html#relu
,function,torch.nn.quantized.functional.linear,"input,weight,bias=None,scale=None,zero_point=None",https://pytorch.org/docs/stable/quantization.html#torch.nn.quantized.functional.linear,https://pytorch.org/docs/stable/_modules/torch/nn/quantized/functional.html#linear
,function,torch.nn.quantized.functional.conv2d,"input,weight,bias,stride=1,padding=0,dilation=1,groups=1,padding_mode='zeros',scale=1.0,zero_point=0,dtype=torch.quint8",https://pytorch.org/docs/stable/quantization.html#torch.nn.quantized.functional.conv2d,https://pytorch.org/docs/stable/_modules/torch/nn/quantized/functional.html#conv2d
,function,torch.nn.quantized.functional.conv3d,"input,weight,bias,stride=1,padding=0,dilation=1,groups=1,padding_mode='zeros',scale=1.0,zero_point=0,dtype=torch.quint8",https://pytorch.org/docs/stable/quantization.html#torch.nn.quantized.functional.conv3d,https://pytorch.org/docs/stable/_modules/torch/nn/quantized/functional.html#conv3d
