class,Type,name,input,link,source_code
torch.FloatStorage,class,,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage,https://pytorch.org/docs/stable/_modules/torch.html#FloatStorage
torch.FloatStorage,method,bfloat16,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.bfloat16,
torch.FloatStorage,method,bool,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.bool,
torch.FloatStorage,method,byte,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.byte,
torch.FloatStorage,method,char,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.char,
torch.FloatStorage,method,clone,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.clone,
torch.FloatStorage,method,copy_,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.copy_,
torch.FloatStorage,method,cpu,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.cpu,
torch.FloatStorage,method,cuda,"device=None,non_blocking=False,**kwargs",https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.cuda,
torch.FloatStorage,method,data_ptr,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.data_ptr,
torch.FloatStorage,attribute,device,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.device,
torch.FloatStorage,method,double,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.double,
torch.FloatStorage,attribute,dtype,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.dtype,
torch.FloatStorage,method,element_size,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.element_size,
torch.FloatStorage,method,fill_,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.fill_,
torch.FloatStorage,method,float,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.float,
torch.FloatStorage,method,from_buffer,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.from_buffer,
torch.FloatStorage,method,from_file,"filename,shared=False,size=0",https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.from_file,
torch.FloatStorage,method,half,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.half,
torch.FloatStorage,method,int,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.int,
torch.FloatStorage,attribute,is_cuda,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.is_cuda,
torch.FloatStorage,method,is_pinned,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.is_pinned,
torch.FloatStorage,method,is_shared,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.is_shared,
torch.FloatStorage,attribute,is_sparse,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.is_sparse,
torch.FloatStorage,method,long,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.long,
torch.FloatStorage,method,new,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.new,
torch.FloatStorage,method,pin_memory,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.pin_memory,
torch.FloatStorage,method,resize_,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.resize_,
torch.FloatStorage,method,share_memory_,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.share_memory_,
torch.FloatStorage,method,short,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.short,
torch.FloatStorage,method,size,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.size,
torch.FloatStorage,method,tolist,,https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.tolist,
torch.FloatStorage,method,type,"dtype=None,non_blocking=False,**kwargs",https://pytorch.org/docs/stable/storage.html#torch.FloatStorage.type,
