class,Type,name,input,link,source_code
torch.utils.tensorboard.writer.SummaryWriter,class,,"log_dir=None,comment='',purge_step=None,max_queue=10,flush_secs=120,filename_suffix=''",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter
torch.utils.tensorboard.writer.SummaryWriter,method,__init__,"log_dir=None,comment='',purge_step=None,max_queue=10,flush_secs=120,filename_suffix=''",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.__init__,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.__init__
torch.utils.tensorboard.writer.SummaryWriter,method,add_scalar,"tag,scalar_value,global_step=None,walltime=None",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.add_scalar,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.add_scalar
torch.utils.tensorboard.writer.SummaryWriter,method,add_scalars,"main_tag,tag_scalar_dict,global_step=None,walltime=None",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.add_scalars,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.add_scalars
torch.utils.tensorboard.writer.SummaryWriter,method,add_histogram,"tag,values,global_step=None,bins='tensorflow',walltime=None,max_bins=None",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.add_histogram,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.add_histogram
torch.utils.tensorboard.writer.SummaryWriter,method,add_image,"tag,img_tensor,global_step=None,walltime=None,dataformats='CHW'",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.add_image,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.add_image
torch.utils.tensorboard.writer.SummaryWriter,method,add_images,"tag,img_tensor,global_step=None,walltime=None,dataformats='NCHW'",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.add_images,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.add_images
torch.utils.tensorboard.writer.SummaryWriter,method,add_figure,"tag,figure,global_step=None,close=True,walltime=None",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.add_figure,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.add_figure
torch.utils.tensorboard.writer.SummaryWriter,method,add_video,"tag,vid_tensor,global_step=None,fps=4,walltime=None",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.add_video,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.add_video
torch.utils.tensorboard.writer.SummaryWriter,method,add_audio,"tag,snd_tensor,global_step=None,sample_rate=44100,walltime=None",https://pytorch.org/docs/stable/tensorboard.html#torch.utils.tensorboard.writer.SummaryWriter.add_audio,https://pytorch.org/docs/stable/_modules/torch/utils/tensorboard/writer.html#SummaryWriter.add_audio
