class,Type,name,input,link,source_code
,function,bernoulli_,"p=0.5,*,generator=None",,
,function,bernoulli_,"p_tensor,*,generator=None",,
,function,to,"dtype,non_blocking=False,copy=False",,
,function,to,"device=None,dtype=None,non_blocking=False,copy=False",,
,function,to,"other,non_blocking=False,copy=False",,
,function,all,,,
,function,all,"dim,keepdim=False,out=None",,
,function,any,,,
,function,any,"dim,keepdim=False,out=None",,
torch.Tensor,class,,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor,
torch.Tensor,method,new_tensor,"data,dtype=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.new_tensor,
torch.Tensor,method,new_full,"size,fill_value,dtype=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.new_full,
torch.Tensor,method,new_empty,"size,dtype=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.new_empty,
torch.Tensor,method,new_ones,"size,dtype=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.new_ones,
torch.Tensor,method,new_zeros,"size,dtype=None,device=None,requires_grad=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.new_zeros,
torch.Tensor,attribute,is_cuda,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.is_cuda,
torch.Tensor,attribute,device,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.device,
torch.Tensor,attribute,grad,,,
torch.Tensor,attribute,ndim,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ndim,
torch.Tensor,attribute,T,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.T,
torch.Tensor,method,abs,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.abs,
torch.Tensor,method,abs_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.abs_,
torch.Tensor,method,acos,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.acos,
torch.Tensor,method,acos_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.acos_,
torch.Tensor,method,add,value,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.add,
torch.Tensor,method,add_,value,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.add_,
torch.Tensor,method,addbmm,"beta=1,alpha=1,batch1,batch2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addbmm,
torch.Tensor,method,addbmm_,"beta=1,alpha=1,batch1,batch2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addbmm_,
torch.Tensor,method,addcdiv,"value=1,tensor1,tensor2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addcdiv,
torch.Tensor,method,addcdiv_,"value=1,tensor1,tensor2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addcdiv_,
torch.Tensor,method,addcmul,"value=1,tensor1,tensor2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addcmul,
torch.Tensor,method,addcmul_,"value=1,tensor1,tensor2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addcmul_,
torch.Tensor,method,addmm,"beta=1,alpha=1,mat1,mat2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addmm,
torch.Tensor,method,addmm_,"beta=1,alpha=1,mat1,mat2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addmm_,
torch.Tensor,method,addmv,"beta=1,alpha=1,mat,vec",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addmv,
torch.Tensor,method,addmv_,"beta=1,alpha=1,mat,vec",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addmv_,
torch.Tensor,method,addr,"beta=1,alpha=1,vec1,vec2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addr,
torch.Tensor,method,addr_,"beta=1,alpha=1,vec1,vec2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addr_,
torch.Tensor,method,allclose,"other,rtol=1e-05,atol=1e-08,equal_nan=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.allclose,
torch.Tensor,method,angle,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.angle,
torch.Tensor,method,apply_,callable,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.apply_,
torch.Tensor,method,argmax,"dim=None,keepdim=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.argmax,
torch.Tensor,method,argmin,"dim=None,keepdim=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.argmin,
torch.Tensor,method,argsort,"dim=-1,descending=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.argsort,
torch.Tensor,method,asin,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.asin,
torch.Tensor,method,asin_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.asin_,
torch.Tensor,method,as_strided,"size,stride,storage_offset=0",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.as_strided,
torch.Tensor,method,atan,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.atan,
torch.Tensor,method,atan2,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.atan2,
torch.Tensor,method,atan2_,other,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.atan2_,
torch.Tensor,method,atan_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.atan_,
torch.Tensor,method,backward,"gradient=None,retain_graph=None,create_graph=False",,https://pytorch.org/docs/stable/_modules/torch/tensor.html#Tensor.backward
torch.Tensor,method,baddbmm,"beta=1,alpha=1,batch1,batch2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.baddbmm,
torch.Tensor,method,baddbmm_,"beta=1,alpha=1,batch1,batch2",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.baddbmm_,
torch.Tensor,method,bernoulli,"*,generator=None",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bernoulli,
torch.Tensor,method,bernoulli_,"p=0.5,*,generator=None,p_tensor,*,generator=None",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bernoulli_,
torch.Tensor,method,bfloat16,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bfloat16,
torch.Tensor,method,bincount,"weights=None,minlength=0",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bincount,
torch.Tensor,method,bitwise_not,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bitwise_not,
torch.Tensor,method,bitwise_not_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bitwise_not_,
torch.Tensor,method,bitwise_xor,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bitwise_xor,
torch.Tensor,method,bitwise_xor_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bitwise_xor_,
torch.Tensor,method,bmm,batch2,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bmm,
torch.Tensor,method,bool,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.bool,
torch.Tensor,method,byte,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.byte,
torch.Tensor,method,cauchy_,"median=0,sigma=1,*,generator=None",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cauchy_,
torch.Tensor,method,ceil,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ceil,
torch.Tensor,method,ceil_,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.ceil_,
torch.Tensor,method,char,,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.char,
torch.Tensor,method,cholesky,upper=False,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cholesky,
torch.Tensor,method,cholesky_inverse,upper=False,https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cholesky_inverse,
torch.Tensor,method,cholesky_solve,"input2,upper=False",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.cholesky_solve,
torch.Tensor,method,chunk,"chunks,dim=0",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.chunk,
torch.Tensor,method,clamp,"min,max",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.clamp,
torch.Tensor,method,clamp_,"min,max",https://pytorch.org/docs/stable/tensors.html#torch.Tensor.clamp_,
