C++ doc,url
tensorflow::ops::BatchToSpace,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/batch-to-space.html
tensorflow::ops::BatchToSpaceND,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/batch-to-space-n-d.html
tensorflow::ops::Bitcast,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/bitcast.html
tensorflow::ops::BroadcastDynamicShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/broadcast-dynamic-shape.html
tensorflow::ops::BroadcastTo,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/broadcast-to.html
tensorflow::ops::CheckNumerics,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/check-numerics.html
tensorflow::ops::Concat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/concat.html
tensorflow::ops::ConjugateTranspose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/conjugate-transpose.html
tensorflow::ops::DebugGradientIdentity,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/debug-gradient-identity.html
tensorflow::ops::DebugGradientRefIdentity,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/debug-gradient-ref-identity.html
tensorflow::ops::DeepCopy,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/deep-copy.html
tensorflow::ops::DepthToSpace,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/depth-to-space.html
tensorflow::ops::Dequantize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/dequantize.html
tensorflow::ops::Diag,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/diag.html
tensorflow::ops::DiagPart,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/diag-part.html
tensorflow::ops::EditDistance,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/edit-distance.html
tensorflow::ops::Empty,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/empty.html
tensorflow::ops::EnsureShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ensure-shape.html
tensorflow::ops::ExpandDims,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/expand-dims.html
tensorflow::ops::ExtractImagePatches,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/extract-image-patches.html
tensorflow::ops::ExtractVolumePatches,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/extract-volume-patches.html
tensorflow::ops::FakeQuantWithMinMaxArgs,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-args.html
tensorflow::ops::FakeQuantWithMinMaxArgsGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-args-gradient.html
tensorflow::ops::FakeQuantWithMinMaxVars,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-vars.html
tensorflow::ops::FakeQuantWithMinMaxVarsGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-vars-gradient.html
tensorflow::ops::FakeQuantWithMinMaxVarsPerChannel,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-vars-per-channel.html
tensorflow::ops::FakeQuantWithMinMaxVarsPerChannelGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-vars-per-channel-gradient.html
tensorflow::ops::Fill,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fill.html
tensorflow::ops::Fingerprint,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fingerprint.html
tensorflow::ops::Gather,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/gather.html
tensorflow::ops::GatherNd,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/gather-nd.html
tensorflow::ops::GatherV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/gather-v2.html
tensorflow::ops::GuaranteeConst,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/guarantee-const.html
tensorflow::ops::Identity,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/identity.html
tensorflow::ops::IdentityN,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/identity-n.html
tensorflow::ops::ImmutableConst,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/immutable-const.html
tensorflow::ops::InplaceAdd,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/inplace-add.html
tensorflow::ops::InplaceSub,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/inplace-sub.html
tensorflow::ops::InplaceUpdate,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/inplace-update.html
tensorflow::ops::InvertPermutation,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/invert-permutation.html
tensorflow::ops::MatrixBandPart,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-band-part.html
tensorflow::ops::MatrixDiag,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-diag.html
tensorflow::ops::MatrixDiagPart,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-diag-part.html
tensorflow::ops::MatrixDiagPartV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-diag-part-v2.html
tensorflow::ops::MatrixDiagV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-diag-v2.html
tensorflow::ops::MatrixSetDiag,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-set-diag.html
tensorflow::ops::MatrixSetDiagV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-set-diag-v2.html
tensorflow::ops::MirrorPad,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/mirror-pad.html
tensorflow::ops::OneHot,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/one-hot.html
tensorflow::ops::OnesLike,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ones-like.html
tensorflow::ops::Pad,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/pad.html
tensorflow::ops::PadV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/pad-v2.html
tensorflow::ops::ParallelConcat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/parallel-concat.html
tensorflow::ops::Placeholder,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/placeholder.html
tensorflow::ops::PlaceholderWithDefault,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/placeholder-with-default.html
tensorflow::ops::PreventGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/prevent-gradient.html
tensorflow::ops::QuantizeAndDequantizeV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantize-and-dequantize-v2.html
tensorflow::ops::QuantizeAndDequantizeV3,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantize-and-dequantize-v3.html
tensorflow::ops::QuantizeV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantize-v2.html
tensorflow::ops::QuantizedConcat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantized-concat.html
tensorflow::ops::QuantizedInstanceNorm,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantized-instance-norm.html
tensorflow::ops::SetDiff1D,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/set-diff1-d.html
tensorflow::ops::Stack,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stack.html
tensorflow::ops::Where,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/where.html
tensorflow::ops::ZerosLike,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/zeros-like.html
tensorflow::ops::AllCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/all-candidate-sampler.html
tensorflow::ops::ComputeAccidentalHits,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/compute-accidental-hits.html
tensorflow::ops::FixedUnigramCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fixed-unigram-candidate-sampler.html
tensorflow::ops::LearnedUnigramCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/learned-unigram-candidate-sampler.html
tensorflow::ops::LogUniformCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/log-uniform-candidate-sampler.html
tensorflow::ops::UniformCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/uniform-candidate-sampler.html
tensorflow::ops::Abort,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/abort.html
tensorflow::ops::ControlTrigger,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/control-trigger.html
tensorflow::ops::LoopCond,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/loop-cond.html
tensorflow::ops::Merge,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/merge.html
tensorflow::ops::NextIteration,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/next-iteration.html
tensorflow::ops::RefNextIteration,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-next-iteration.html
tensorflow::ops::RefSelect,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-select.html
tensorflow::ops::RefSwitch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-switch.html
tensorflow::ops::Switch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/switch.html
tensorflow::ClientSession,https://www.tensorflow.org/api_docs/cc/class/tensorflow/client-session.html
tensorflow::Input,https://www.tensorflow.org/api_docs/cc/class/tensorflow/input.html
tensorflow::InputList,https://www.tensorflow.org/api_docs/cc/class/tensorflow/input-list.html
tensorflow::Operation,https://www.tensorflow.org/api_docs/cc/class/tensorflow/operation.html
tensorflow::Output,https://www.tensorflow.org/api_docs/cc/class/tensorflow/output.html
tensorflow::Scope,https://www.tensorflow.org/api_docs/cc/class/tensorflow/scope.html
tensorflow::Status,https://www.tensorflow.org/api_docs/cc/class/tensorflow/status.html
tensorflow::Tensor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/tensor.html
tensorflow::ops::AccumulatorApplyGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-apply-gradient.html
tensorflow::ops::AccumulatorNumAccumulated,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-num-accumulated.html
tensorflow::ops::AccumulatorSetGlobalStep,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-set-global-step.html
tensorflow::ops::AccumulatorTakeGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-take-gradient.html
tensorflow::ops::Barrier,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier.html
tensorflow::ops::BarrierClose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-close.html
tensorflow::ops::BarrierIncompleteSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-incomplete-size.html
