PY_API,URL,ALIASES,CPP_API,CPP_URL
AggregationMethod,https://www.tensorflow.org/api_docs/python/tf/AggregationMethod,"['tf.compat.v1.AggregationMethod', 'tf.compat.v2.AggregationMethod']",,
argsort,https://www.tensorflow.org/api_docs/python/tf/argsort,"['tf.compat.v1.argsort', 'tf.compat.v2.argsort']",,
batch_to_space,https://www.tensorflow.org/api_docs/python/tf/batch_to_space,['tf.compat.v2.batch_to_space'],tensorflow::ops::BatchToSpace,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/batch-to-space.html
bitcast,https://www.tensorflow.org/api_docs/python/tf/bitcast,"['tf.compat.v1.bitcast', 'tf.compat.v2.bitcast']",tensorflow::ops::Bitcast,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/bitcast.html
boolean_mask,https://www.tensorflow.org/api_docs/python/tf/boolean_mask,['tf.compat.v2.boolean_mask'],,
broadcast_dynamic_shape,https://www.tensorflow.org/api_docs/python/tf/broadcast_dynamic_shape,"['tf.compat.v1.broadcast_dynamic_shape', 'tf.compat.v2.broadcast_dynamic_shape']",tensorflow::ops::BroadcastDynamicShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/broadcast-dynamic-shape.html
broadcast_static_shape,https://www.tensorflow.org/api_docs/python/tf/broadcast_static_shape,"['tf.compat.v1.broadcast_static_shape', 'tf.compat.v2.broadcast_static_shape']",,
broadcast_to,https://www.tensorflow.org/api_docs/python/tf/broadcast_to,"['tf.compat.v1.broadcast_to', 'tf.compat.v2.broadcast_to']",tensorflow::ops::BroadcastTo,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/broadcast-to.html
case,https://www.tensorflow.org/api_docs/python/tf/case,['tf.compat.v2.case'],,
cast,https://www.tensorflow.org/api_docs/python/tf/cast,"['tf.compat.v1.cast', 'tf.compat.v1.dtypes.cast', 'tf.compat.v2.cast', 'tf.compat.v2.dtypes.cast']",tensorflow::ops::Cast,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/cast.html
clip_by_global_norm,https://www.tensorflow.org/api_docs/python/tf/clip_by_global_norm,"['tf.compat.v1.clip_by_global_norm', 'tf.compat.v2.clip_by_global_norm']",,
clip_by_norm,https://www.tensorflow.org/api_docs/python/tf/clip_by_norm,"['tf.compat.v1.clip_by_norm', 'tf.compat.v2.clip_by_norm']",,
clip_by_value,https://www.tensorflow.org/api_docs/python/tf/clip_by_value,"['tf.compat.v1.clip_by_value', 'tf.compat.v2.clip_by_value']",tensorflow::ops::ClipByValue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/clip-by-value.html
concat,https://www.tensorflow.org/api_docs/python/tf/concat,"['tf.compat.v1.concat', 'tf.compat.v2.concat']",tensorflow::ops::Concat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/concat.html
cond,https://www.tensorflow.org/api_docs/python/tf/cond,['tf.compat.v2.cond'],,
constant,https://www.tensorflow.org/api_docs/python/tf/constant,['tf.compat.v2.constant'],,
constant_initializer,https://www.tensorflow.org/api_docs/python/tf/constant_initializer,"['tf.compat.v2.constant_initializer', 'tf.compat.v2.initializers.Constant', 'tf.compat.v2.initializers.constant', 'tf.compat.v2.keras.initializers.Constant', 'tf.compat.v2.keras.initializers.constant']",,
control_dependencies,https://www.tensorflow.org/api_docs/python/tf/control_dependencies,"['tf.compat.v1.control_dependencies', 'tf.compat.v2.control_dependencies']",,
convert_to_tensor,https://www.tensorflow.org/api_docs/python/tf/convert_to_tensor,['tf.compat.v2.convert_to_tensor'],,
CriticalSection,https://www.tensorflow.org/api_docs/python/tf/CriticalSection,"['tf.compat.v1.CriticalSection', 'tf.compat.v2.CriticalSection']",,
custom_gradient,https://www.tensorflow.org/api_docs/python/tf/custom_gradient,"['tf.compat.v1.custom_gradient', 'tf.compat.v2.custom_gradient']",,
device,https://www.tensorflow.org/api_docs/python/tf/device,['tf.compat.v2.device'],,
DeviceSpec,https://www.tensorflow.org/api_docs/python/tf/DeviceSpec,['tf.compat.v2.DeviceSpec'],,
dynamic_partition,https://www.tensorflow.org/api_docs/python/tf/dynamic_partition,"['tf.compat.v1.dynamic_partition', 'tf.compat.v2.dynamic_partition']",tensorflow::ops::DynamicPartition,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/dynamic-partition.html
dynamic_stitch,https://www.tensorflow.org/api_docs/python/tf/dynamic_stitch,"['tf.compat.v1.dynamic_stitch', 'tf.compat.v2.dynamic_stitch']",tensorflow::ops::DynamicStitch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/dynamic-stitch.html
edit_distance,https://www.tensorflow.org/api_docs/python/tf/edit_distance,"['tf.compat.v1.edit_distance', 'tf.compat.v2.edit_distance']",tensorflow::ops::EditDistance,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/edit-distance.html
eig,https://www.tensorflow.org/api_docs/python/tf/eig,"['tf.compat.v2.eig', 'tf.compat.v2.linalg.eig']",,
eigvals,https://www.tensorflow.org/api_docs/python/tf/eigvals,"['tf.compat.v2.eigvals', 'tf.compat.v2.linalg.eigvals']",,
einsum,https://www.tensorflow.org/api_docs/python/tf/einsum,"['tf.compat.v1.einsum', 'tf.compat.v1.linalg.einsum', 'tf.compat.v2.einsum', 'tf.compat.v2.linalg.einsum']",,
ensure_shape,https://www.tensorflow.org/api_docs/python/tf/ensure_shape,"['tf.compat.v1.ensure_shape', 'tf.compat.v2.ensure_shape']",tensorflow::ops::EnsureShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ensure-shape.html
executing_eagerly,https://www.tensorflow.org/api_docs/python/tf/executing_eagerly,['tf.compat.v2.executing_eagerly'],,
expand_dims,https://www.tensorflow.org/api_docs/python/tf/expand_dims,['tf.compat.v2.expand_dims'],tensorflow::ops::ExpandDims,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/expand-dims.html
