API,Param,ratio,doc2.1_parsed_rmv1,tfdoc2.2
tf.keras.datasets.reuters.load_data.yaml,num_words,0.14043583535108958,max number of words to include. Words are ranked by how often they occur (in the training set) and only the most frequent words are kept,"integer or None. Words are ranked by how often they occur (in the training set) and only the num_words most frequent words are kept. Any less frequent word will appear as oov_char value in the sequence data. If None, all words are kept. Defaults to None, so all words are kept."
tf.keras.datasets.reuters.load_data.yaml,skip_top,0.6141732283464567,skip the top N most frequently occurring words (which may not be informative).,"skip the top N most frequently occurring words (which may not be informative). These words will appear as oov_char value in the dataset. Defaults to 0, so no words are skipped."
tf.keras.datasets.reuters.load_data.yaml,maxlen,0.25316455696202533,truncate sequences after this length.,"int or None. Maximum sequence length. Any longer sequence will be truncated. Defaults to None, which means no truncation."
tf.keras.datasets.reuters.load_data.yaml,test_split,0.518918918918919,Fraction of the dataset to be used as test data.,"Float between 0 and 1. Fraction of the dataset to be used as test data. Defaults to 0.2, meaning 20% of the dataset is used as test data."
tf.keras.datasets.reuters.load_data.yaml,seed,0.6666666666666666,random seed for sample shuffling.,int. Seed for reproducible data shuffling.
tf.keras.datasets.reuters.load_data.yaml,oov_char,0.8373983739837398,words that were cut out because of the `num_words`or `skip_top` limit will be replaced with this character.,int. The out-of-vocabulary character. Words that were cut out because of the num_words or skip_top limits will be replaced with this character.
tf.keras.estimator.model_to_estimator.yaml,keras_model,0.6617100371747212,A compiled Keras model object. This argument is mutually exclusive with `keras_model_path`.,A compiled Keras model object. This argument is mutually exclusive with keras_model_path. Estimator's model_fn uses the structure of the model to clone the model. Defaults to None.
tf.keras.estimator.model_to_estimator.yaml,custom_objects,0.176056338028169,Dictionary for custom objects.,"Dictionary for cloning customized objects. This is used with classes that is not part of this pip package. For example, if user maintains a relu6 class that inherits from tf.keras.layers.Layer, then pass custom_objects={'relu6': relu6}. Defaults to None."
tf.keras.estimator.model_to_estimator.yaml,model_dir,0.7489361702127659,"Directory to save `Estimator` model parameters, graph, summary files for TensorBoard, etc.","Directory to save Estimator model parameters, graph, summary files for TensorBoard, etc. If unset a directory will be created with tempfile.mkdtemp"
tf.keras.estimator.model_to_estimator.yaml,config,0.2054794520547945,`RunConfig` to config `Estimator`.,"RunConfig to config Estimator. Allows setting up things in model_fn based on configuration such as num_ps_replicas, or model_dir. Defaults to None. If both config.model_dir and the model_dir argument (above) are specified the model_dir argument takes precedence."
tf.debugging.experimental.enable_dump_debug_info.yaml,op_regex,0.857685009487666,"Dump data from only the tensors from op types that matches to the regular expression (through Python's `re.match()`). ""Op type"" refers to the names of the TensorFlow operations (e.g., ""MatMul"", ""LogSoftmax""), which may repeat in a TensorFlow function. It does not refer to the names of nodes (e.g., ""dense/MatMul"", ""dense_1/MatMul_1"") which are unique within a function.<ul><li>Example 1: Dump tensor data from only MatMul and Relu ops`op_regex=""^(MatMul|Relu)$""`.","Dump data from only the tensors from op types that matches to the regular expression (through Python's re.match()). ""Op type"" refers to the names of the TensorFlow operations (e.g., ""MatMul"", ""LogSoftmax""), which may repeat in a TensorFlow function. It does not refer to the names of nodes (e.g., ""dense/MatMul"", ""dense_1/MatMul_1"") which are unique within a function. Example 1: Dump tensor data from only MatMul and Relu ops op_regex=""^(MatMul|Relu)$"". Example 2: Dump tensors from all ops except Relu: op_regex=""(?!^Relu$)"". This filter operates in a logical AND relation with tensor_dtypes."
tf.debugging.experimental.enable_dump_debug_info.yaml,tensor_dtypes,0.5328798185941043,Dump data from only the tensors of which the specified dtypes. This optional argument can be in any of the following format:<ul><li>a list or tuple of `DType` objects or strings that can be converted to `DType` objects via `tf.as_dtype()`. Examples:,"Dump data from only the tensors of which the specified dtypes. This optional argument can be in any of the following format: a list or tuple of DType objects or strings that can be converted to DType objects via tf.as_dtype(). Examples: tensor_dtype=[tf.float32, tf.float64], tensor_dtype=[""float32"", ""float64""], tensor_dtypes=(tf.int32, tf.bool), tensor_dtypes=(""int32"", ""bool"") a callable that takes a single DType argument and returns a Python boolean indicating whether the dtype is to be included in the data dumping. Examples: tensor_dtype=lambda dtype: dtype.is_integer. This filter operates in a logical AND relation with op_regex."
tf.keras.backend.set_image_data_format.yaml,data_format,0.3371647509578544,string. `'channels_first'` or `'channels_last'`. Example: `python from keras import backend as K K.image_data_format() >>> 'channels_first' K.set_image_data_format('channels_last') K.image_data_format() >>> 'channels_last'`,string. 'channels_first' or 'channels_last'.
tf.keras.backend.set_value.yaml,x,0.8,Tensor to set to a new value.,Variable to set to a new value.
tf.extract_volume_patches.yaml,padding,0.658753709198813,"A `string` from: `""SAME"", ""VALID""`. The type of padding algorithm to use.We specify the size-related attributes as:","A string from: ""SAME"", ""VALID"". The type of padding algorithm to use. We specify the size-related attributes as: ksizes = [1, ksize_planes, ksize_rows, ksize_cols, 1] strides = [1, stride_planes, strides_rows, strides_cols, 1]"
tf.keras.layers.add2.yaml,inputs,0.7872340425531915,A list of input tensors (at least 2).,A list of input tensors (at least 2) with the same shape.
tf.image.central_crop.yaml,central_fraction,0.37438423645320196,"float (0, 1], fraction of size to crop Usage Example: `python >> import tensorflow as tf >> x = tf.random.normal(shape=(256, 256, 3)) >> tf.image.central_crop(x, 0.5)`","float (0, 1], fraction of size to crop"
tf.keras.losses.logcosh2.yaml,y_true,0.2631578947368421,tensor of true targets.,"Ground truth values. shape = [batch_size, d0, .. dN]."
tf.keras.losses.logcosh2.yaml,y_pred,0.4146341463414634,tensor of predicted targets.,"The predicted values. shape = [batch_size, d0, .. dN]."
tf.summary.trace_export.yaml,profiler_outdir,0.32432432432432434,"Output directory for profiler. It is required when profiler is enabled when trace was started. Otherwise, it is ignored.","Output directory for profiler. This is only used when the profiler was enabled when the trace was started. In that case, if there is a logdir-based default SummaryWriter, this defaults to the same directory, but otherwise the argument must be passed."
tf.data.experimental.scan.yaml,scan_func,0.8632075471698113,"A function that maps `(old_state, input_element)` to`(new_state, output_element). It must take two arguments and return a pair of nested structures of tensors. The`new_state`must match the structure of`initial_state`.","A function that maps (old_state, input_element) to (new_state, output_element). It must take two arguments and return a pair of nested structures of tensors. The new_state must match the structure of initial_state."
tf.random.stateless_uniform.yaml,minval,0.8740740740740741,A 0-D Tensor or Python value of type `dtype`. The lower bound on the range of random values to generate.  Defaults to 0.,A 0-D Tensor or Python value of type dtype. The lower bound on the range of random values to generate. Pass None for full-range integers. Defaults to 0.
tf.random.stateless_uniform.yaml,maxval,0.8888888888888888,A 0-D Tensor or Python value of type `dtype`. The upper bound on the range of random values to generate.  Defaults to 1 if `dtype` is floating point.,A 0-D Tensor or Python value of type dtype. The upper bound on the range of random values to generate. Defaults to 1 if dtype is floating point. Pass None for full-range integers.
tf.random.stateless_uniform.yaml,dtype,0.6027397260273972,"The type of the output: `float16`, `float32`, `float64`, `int32`, or`int64`.","The type of the output: float16, float32, float64, int32, or int64. For unbounded uniform ints (minval, maxval both None), uint32 and uint64 may be used."
tf.nn.conv3d.yaml,dilations,0.8846153846153846,"An optional list of `ints`. Defaults to `[1, 1, 1, 1, 1]`. 1-D tensor of length 5.  The dilation factor for each dimension of`input`. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of `data_format`, see above for details. Dilations in the batch and depth dimensions must be 1.","An optional list of ints. Defaults to [1, 1, 1, 1, 1]. 1-D tensor of length 5. The dilation factor for each dimension of input. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of data_format, see above for details. Dilations in the batch and depth dimensions must be 1."
tf.strings.substr.yaml,unit,0.8643356643356643,"An optional `string` from: `""BYTE"", ""UTF8_CHAR""`. Defaults to `""BYTE""`. The unit that is used to create the substring.  One of: `""BYTE""` (for defining position and length by bytes) or `""UTF8_CHAR""` (for the UTF-8 encoded Unicode code points).  The default is `""BYTE""`. Results are undefined if`unit=UTF8_CHAR` and the `input` strings do not contain structurally valid UTF-8.","An optional string from: ""BYTE"", ""UTF8_CHAR"". Defaults to ""BYTE"". The unit that is used to create the substring. One of: ""BYTE"" (for defining position and length by bytes) or ""UTF8_CHAR"" (for the UTF-8 encoded Unicode code points). The default is ""BYTE"". Results are undefined if unit=UTF8_CHAR and the input strings do not contain structurally valid UTF-8."
tf.ragged.constant.yaml,ragged_rank,0.42902208201892744,"An integer specifying the ragged rank of the returned`RaggedTensor`.  Must be nonnegative and less than `K`. Defaults to`max(0, K - 1)` if `inner_shape` is not specified.  Defaults to `max(0, K 1 - len(inner_shape))`if`inner_shape` is specified. ","An integer specifying the ragged rank of the returned RaggedTensor. Must be nonnegative and less than K. Defaults to max(0, K - 1) if inner_shape is not specified. Defaults to `max(0, K 1 - len(inner_shape))ifinner_shapeis specified. </td> </tr><tr> <td>inner_shape</td> <td> A tuple of integers specifying the shape for individual inner values in the returnedRaggedTensor. Defaults to()ifragged_rankis not specified. Ifragged_rankis specified, then a default is chosen based on the contents ofpylist. </td> </tr><tr> <td>name</td> <td> A name prefix for the returned tensor (optional). </td> </tr><tr> <td>row_splits_dtype</td> <td> data type for the constructedRaggedTensor`'s row_splits. One of tf.int32 or tf.int64."
tf.ragged.constant.yaml,inner_shape,0.0,"A tuple of integers specifying the shape for individual inner values in the returned `RaggedTensor`.  Defaults to `()` if `ragged_rank`is not specified.  If `ragged_rank` is specified, then a default is chosen based on the contents of `pylist`.",
tf.ragged.constant.yaml,name,0.0,A name prefix for the returned tensor (optional).,
tf.ragged.constant.yaml,row_splits_dtype,0.0,data type for the constructed `RaggedTensor`'s row_splits. One of `tf.int32` or `tf.int64`.,
tf.clip_by_value.yaml,clip_value_min,0.30601092896174864,"A 0-D (scalar) `Tensor`, or a `Tensor` with the same shape as `t`. The minimum value to clip by.",The minimum value to clip to. A scalar Tensor or one that is broadcastable to the shape of t.
tf.clip_by_value.yaml,clip_value_max,0.28415300546448086,"A 0-D (scalar) `Tensor`, or a `Tensor` with the same shape as `t`. The maximum value to clip by.",The minimum value to clip to. A scalar Tensor or one that is broadcastable to the shape of t.
tf.nest.flatten.yaml,structure,0.7619047619047619,"an arbitrarily nested structure or a scalar object. Note, numpy arrays are considered scalars.","an arbitrarily nested structure. Note, numpy arrays are considered atoms and are not flattened."
tf.image.random_crop.yaml,seed,0.8837209302325582,Python integer. Used to create a random seed. See`tf.compat.v1.set_random_seed`for behavior.,Python integer. Used to create a random seed. See tf.random.set_seed for behavior.
tf.image.resize.yaml,method,0.6862745098039216,ResizeMethod.  Defaults to `bilinear`.,"An image.ResizeMethod, or string equivalent. Defaults to bilinear."
tf.foldl.yaml,back_prop,0.6163522012578616,(optional) True enables support for back propagation.,(optional) Deprecated. False disables support for back propagation. Prefer using tf.stop_gradient instead.
tf.math.argmax.yaml,axis,0.3053435114503817,"A `Tensor`. Must be one of the following types: `int32`, `int64`. int32 or int64, must be in the range `-rank(input), rank(input))`. Describes which axis of the input Tensor to reduce across. For vectors, use axis = 0.","An integer, the axis to reduce across. Default to 0."
tf.math.argmax.yaml,output_type,0.8467153284671532,"An optional `tf.DType` from: `tf.int32, tf.int64`. Defaults to`tf.int64`.",An optional output dtype (tf.int32 or tf.int64). Defaults to tf.int64.
tf.math.argmax.yaml,name,0.704225352112676,A name for the operation (optional).,An optional name for the operation.
tf.math.argmax.yaml,input,0.09523809523809523,"A `Tensor`. Must be one of the following types: `float32`, `float64`,`int32`, `uint8`, `int16`, `int8`, `complex64`, `int64`, `qint8`,`quint8`, `qint32`, `bfloat16`, `uint16`, `complex128`, `half`, `uint32`,`uint64`.",A Tensor.
tf.keras.losses.hinge2.yaml,y_true,0.8945686900958466,The ground truth values. `y_true` values are expected to be -1 or 1. If binary (0 or 1) labels are provided they will be converted to -1 or 1.,"The ground truth values. y_true values are expected to be -1 or 1. If binary (0 or 1) labels are provided they will be converted to -1 or 1. shape = [batch_size, d0, .. dN]."
tf.keras.losses.hinge2.yaml,y_pred,0.56,The predicted values.,"The predicted values. shape = [batch_size, d0, .. dN]."
tf.keras.losses.poisson2.yaml,y_true,0.2631578947368421,Tensor of true targets.,"Ground truth values. shape = [batch_size, d0, .. dN]."
tf.keras.losses.poisson2.yaml,y_pred,0.4146341463414634,Tensor of predicted targets.,"The predicted values. shape = [batch_size, d0, .. dN]."
tf.sparse.sparse_dense_matmul.yaml,sp_a,0.7428571428571429,"SparseTensor A, of rank 2.","SparseTensor (or dense Matrix) A, of rank 2."
tf.sparse.sparse_dense_matmul.yaml,b,0.780952380952381,A dense Matrix with the same dtype as sp_a.,"dense Matrix (or SparseTensor) B, with the same dtype as sp_a."
tf.while_loop.yaml,back_prop,0.2597402597402597,Whether backprop is enabled for this while loop.,(optional) Deprecated. False disables support for back propagation. Prefer using tf.stop_gradient instead.
tf.math.sqrt.yaml,x,0.8135593220338984,"A `Tensor`. Must be one of the following types: `bfloat16`, `half`, `float32`, `float64`, `complex64`, `complex128`.","A tf.Tensor of type bfloat16, half, float32, float64, complex64, complex128"
tf.keras.datasets.imdb.load_data.yaml,num_words,0.14043583535108958,max number of words to include. Words are ranked by how often they occur (in the training set) and only the most frequent words are kept,"integer or None. Words are ranked by how often they occur (in the training set) and only the num_words most frequent words are kept. Any less frequent word will appear as oov_char value in the sequence data. If None, all words are kept. Defaults to None, so all words are kept."
tf.keras.datasets.imdb.load_data.yaml,skip_top,0.6141732283464567,skip the top N most frequently occurring words (which may not be informative).,"skip the top N most frequently occurring words (which may not be informative). These words will appear as oov_char value in the dataset. Defaults to 0, so no words are skipped."
tf.keras.datasets.imdb.load_data.yaml,maxlen,0.3905325443786982,sequences longer than this will be filtered out.,"int or None. Maximum sequence length. Any longer sequence will be truncated. Defaults to None, which means no truncation."
tf.keras.datasets.imdb.load_data.yaml,seed,0.6666666666666666,random seed for sample shuffling.,int. Seed for reproducible data shuffling.
tf.keras.datasets.imdb.load_data.yaml,oov_char,0.8373983739837398,words that were cut out because of the `num_words`or `skip_top` limit will be replaced with this character.,int. The out-of-vocabulary character. Words that were cut out because of the num_words or skip_top limits will be replaced with this character.
tf.keras.backend.random_normal.yaml,mean,0.8142857142857143,"A float, mean of the normal distribution to draw samples.","A float, the mean value of the normal distribution to draw samples. Default to 0.0."
tf.keras.backend.random_normal.yaml,stddev,0.8765432098765432,"A float, standard deviation of the normal distribution to draw samples.","A float, the standard deviation of the normal distribution to draw samples. Default to 1.0."
tf.keras.backend.random_normal.yaml,dtype,0.453125,"String, dtype of returned tensor.","tf.dtypes.DType, dtype of returned tensor. Default to use Keras backend dtype which is float32."
tf.keras.backend.random_normal.yaml,seed,0.44680851063829785,"Integer, random seed.","Integer, random seed. Will use a random numpy integer when not specified."
tf.strings.join.yaml,separator,0.47058823529411764,"An optional `string`. Defaults to `""""`. string, an optional join separator.",A string added between each string being joined.
