API,Param,ratio,doc2.1_parsed_rmv1,tfdoc2.2
tf.keras.datasets.reuters.load_data.yaml,start_char,0.9401709401709402,The start of a sequence will be marked with this character. Set to 1 because 0 is usually the padding character.,int. The start of a sequence will be marked with this character. Defaults to 1 because 0 is usually the padding character.
tf.keras.datasets.reuters.load_data.yaml,index_from,0.9484536082474226,index actual words with this index and higher.,int. Index actual words with this index and higher.
tf.image.non_max_suppression_overlaps.yaml,max_output_size,0.9902912621359223,A scalar integer `Tensor` representing the maximum number of boxes to be selected by non max suppression.,A scalar integer Tensor representing the maximum number of boxes to be selected by non-max suppression.
tf.keras.estimator.model_to_estimator.yaml,keras_model_path,0.9521276595744681,"Path to a compiled Keras model saved on disk, in HDF5 format, which can be generated with the `save()` method of a Keras model. This argument is mutually exclusive with `keras_model`.","Path to a compiled Keras model saved on disk, in HDF5 format, which can be generated with the save() method of a Keras model. This argument is mutually exclusive with keras_model. Defaults to None."
tf.keras.estimator.model_to_estimator.yaml,checkpoint_format,0.9699481865284975,"Sets the format of the checkpoint saved by the estimator when training. May be `saver` or `checkpoint`, depending on whether to save checkpoints from `tf.compat.v1.train.Saver` or `tf.train.Checkpoint`. The default is `checkpoint`. Estimators use name-based `tf.train.Saver`checkpoints, while Keras models use object-based checkpoints from`tf.train.Checkpoint`. Currently, saving object-based checkpoints from`model_to_estimator` is only supported by Functional and Sequential models.","Sets the format of the checkpoint saved by the estimator when training. May be saver or checkpoint, depending on whether to save checkpoints from tf.compat.v1.train.Saver or tf.train.Checkpoint. The default is checkpoint. Estimators use name-based tf.train.Saver checkpoints, while Keras models use object-based checkpoints from tf.train.Checkpoint. Currently, saving object-based checkpoints from model_to_estimator is only supported by Functional and Sequential models. Defaults to 'checkpoint'."
tf.image.grayscale_to_rgb.yaml,images,0.9692307692307692,The Grayscale tensor to convert. Last dimension must be size 1.,The Grayscale tensor to convert. The last dimension must be size 1.
tf.argsort.yaml,direction,0.993006993006993,The direction in which to sort the values (`'ASCENDING'` or`'DESCENDING'`).,The direction in which to sort the values ('ASCENDING' or 'DESCENDING').
tf.image.non_max_suppression_padded.yaml,pad_to_max_output_size,0.9934640522875817,"bool.  If True, size of `selected_indices` output is padded to `max_output_size`.","bool. If True, size of selected_indices output is padded to max_output_size."
tf.image.non_max_suppression_padded.yaml,max_output_size,0.9902912621359223,A scalar integer `Tensor` representing the maximum number of boxes to be selected by non max suppression.,A scalar integer Tensor representing the maximum number of boxes to be selected by non-max suppression.
tf.shape.yaml,out_type,0.9945945945945946,(Optional) The specified output type of the operation (`int32` or`int64`). Defaults to `tf.int32`.,(Optional) The specified output type of the operation (int32 or int64). Defaults to tf.int32.
tf.data.experimental.make_csv_dataset.yaml,column_defaults,0.997624703087886,"A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a`Tensor` with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to `0`for numeric values and `""""` for string values. If both this and`select_columns` are specified, these must have the same lengths, and`column_defaults` is assumed to be sorted in order of increasing column index.","A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a Tensor with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to 0 for numeric values and """" for string values. If both this and select_columns are specified, these must have the same lengths, and column_defaults is assumed to be sorted in order of increasing column index."
tf.data.experimental.make_csv_dataset.yaml,select_columns,0.999163179916318,"An optional list of integer indices or string column names, that specifies a subset of columns of CSV data to select. If column names are provided, these must correspond to names provided in`column_names` or inferred from the file header lines. When this argument is specified, only a subset of CSV columns will be parsed and returned, corresponding to the columns specified. Using this results in faster parsing and lower memory usage. If both this and `column_defaults` are specified, these must have the same lengths, and `column_defaults` is assumed to be sorted in order of increasing column index.","An optional list of integer indices or string column names, that specifies a subset of columns of CSV data to select. If column names are provided, these must correspond to names provided in column_names or inferred from the file header lines. When this argument is specified, only a subset of CSV columns will be parsed and returned, corresponding to the columns specified. Using this results in faster parsing and lower memory usage. If both this and column_defaults are specified, these must have the same lengths, and column_defaults is assumed to be sorted in order of increasing column index."
tf.data.experimental.make_csv_dataset.yaml,compression_type,0.9957805907172996,"(Optional.) A `tf.string` scalar evaluating to one of`""""` (no compression), `""ZLIB""`, or `""GZIP""`. Defaults to no compression.","(Optional.) A tf.string scalar evaluating to one of """" (no compression), ""ZLIB"", or ""GZIP"". Defaults to no compression."
tf.debugging.experimental.enable_dump_debug_info.yaml,tensor_debug_mode,0.997979797979798,"Debug mode for tensor values, as a string. The currently supported options are: ""NO_TENSOR"": (Default) Only traces the execution of ops' output tensors, while not dumping the value of the ops' output tensors or any form of concise summary of them. ","Debug mode for tensor values, as a string. The currently supported options are: ""NO_TENSOR"": (Default) Only traces the execution of ops' output tensors, while not dumping the value of the ops' output tensors or any form of concise summary of them."
tf.debugging.experimental.enable_dump_debug_info.yaml,circular_buffer_size,0.9992229992229992,"Size of the circular buffers for execution events. These circular buffers are designed to reduce the overhead of debugging dumping. They hold the most recent debug events concerning eager execution of ops and `tf.function`s and traces of tensor values computed inside`tf.function`s. They are written to the file system only when the proper flushing method is called (see description of return values below). Expected to be an integer. If <= 0, the circular-buffer behavior will be disabled, i.e., the execution debug events will be written to the file writers in the same way as non-execution events such as op creations and source-file snapshots.","Size of the circular buffers for execution events. These circular buffers are designed to reduce the overhead of debugging dumping. They hold the most recent debug events concerning eager execution of ops and tf.functions and traces of tensor values computed inside tf.functions. They are written to the file system only when the proper flushing method is called (see description of return values below). Expected to be an integer. If <= 0, the circular-buffer behavior will be disabled, i.e., the execution debug events will be written to the file writers in the same way as non-execution events such as op creations and source-file snapshots."
tf.linalg.tridiagonal_matmul.yaml,diagonals,0.9970501474926253,"A `Tensor` or tuple of `Tensor`s describing left-hand sides. The shape depends of `diagonals_format`, see description above. Must be`float32`, `float64`, `complex64`, or `complex128`.","A Tensor or tuple of Tensors describing left-hand sides. The shape depends of diagonals_format, see description above. Must be float32, float64, complex64, or complex128."
tf.feature_column.categorical_column_with_vocabulary_list.yaml,dtype,0.9957081545064378,"The type of features. Only string and integer types are supported. If`None`, it will be inferred from `vocabulary_list`.","The type of features. Only string and integer types are supported. If None, it will be inferred from vocabulary_list."
tf.feature_column.categorical_column_with_vocabulary_list.yaml,default_value,0.9964912280701754,"The integer ID value to return for out-of-vocabulary feature values, defaults to `-1`. This can not be specified with a positive`num_oov_buckets`.","The integer ID value to return for out-of-vocabulary feature values, defaults to -1. This can not be specified with a positive num_oov_buckets."
tf.feature_column.categorical_column_with_vocabulary_list.yaml,num_oov_buckets,0.998272884283247,"Non-negative integer, the number of out-of-vocabulary buckets. All out-of-vocabulary inputs will be assigned IDs in the range`[len(vocabulary_list), len(vocabulary_list)+num_oov_buckets)` based on a hash of the input value. A positive `num_oov_buckets` can not be specified with `default_value`.","Non-negative integer, the number of out-of-vocabulary buckets. All out-of-vocabulary inputs will be assigned IDs in the range [len(vocabulary_list), len(vocabulary_list)+num_oov_buckets) based on a hash of the input value. A positive num_oov_buckets can not be specified with default_value."
tf.feature_column.categorical_column_with_vocabulary_list.yaml,key,0.9971014492753624,"A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature `Tensor`objects, and feature columns.","A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature Tensor objects, and feature columns."
tf.no_gradient.yaml,op_type,0.9956331877729258,The string type of an operation. This corresponds to the`OpDef.name` field for the proto that defines the operation.,The string type of an operation. This corresponds to the OpDef.name field for the proto that defines the operation.
tf.random.all_candidate_sampler.yaml,num_true,0.9914529914529915,An `int`.  The number of target classes per training example.,An int. The number of target classes per training example.
tf.random.all_candidate_sampler.yaml,num_sampled,0.9873417721518988,An `int`.  The number of possible classes.,An int. The number of possible classes.
tf.dtypes.as_dtype.yaml,type_value,0.9965870307167235,"A value that can be converted to a `tf.DType` object. This may currently be a `tf.DType` object, a `DataType`enum, a string type name, or a `numpy.dtype`.","A value that can be converted to a tf.DType object. This may currently be a tf.DType object, a DataType enum, a string type name, or a numpy.dtype."
tf.extract_volume_patches.yaml,strides,0.9970845481049563,"A list of `ints` that has length `>= 5`. 1-D of length 5. How far the centers of two consecutive patches are in`input`. Must be: `[1, stride_planes, stride_rows, stride_cols, 1]`.","A list of ints that has length >= 5. 1-D of length 5. How far the centers of two consecutive patches are in input. Must be: [1, stride_planes, stride_rows, stride_cols, 1]."
tf.sparse.segment_sum.yaml,num_segments,0.9923664122137404,An optional int32 scalar. Indicates the size of the output`Tensor`.,An optional int32 scalar. Indicates the size of the output Tensor.
tf.sparse.segment_sum.yaml,indices,0.9923664122137404,A 1-D `Tensor` with indices into `data`. Has same rank as`segment_ids`.,A 1-D Tensor with indices into data. Has same rank as segment_ids.
