API,Param,ratio,tfdoc2.2,tfdoc2.3
tf.random.stateless_truncated_normal.yaml,seed,0.56,A shape [2] integer Tensor of seeds to the random number generator.,"A shape [2] Tensor, the seed to the random number generator. Must have dtype int32 or int64. (When using XLA, only int32 is allowed.)"
tf.nn.embedding_lookup.yaml,params,0.6754221388367729,"A single tensor representing the complete embedding tensor, or a list of P tensors all of same shape except for the first dimension, representing sharded embedding tensors. Alternatively, a PartitionedVariable, created by partitioning along dimension 0. Each element must be appropriately sized for the 'div' partition_strategy.","A single tensor representing the complete embedding tensor, or a list of tensors all of same shape except for the first dimension, representing sharded embedding tensors following ""div"" partition strategy."
tf.raw_ops.loadtpuembeddingproximaladagradparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.retrievetpuembeddingproximaladagradparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.keras.activations.serialize.yaml,activation,0.6666666666666666,Function,Function object.
tf.raw_ops.loadtpuembeddingmomentumparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.math.bincount.yaml,arr,0.27848101265822783,An int32 tensor of non-negative values.,"A Tensor, RaggedTensor, or SparseTensor whose values should be counted. These tensors must have a rank of 2 if axis=-1."
tf.batch_to_space.yaml,name,0.0,,A name for the operation (optional).
tf.batch_to_space.yaml,crops,0.37617745366150107,"A 2-D Tensor with shape [M, 2]. Must be one of the following types: int32, int64. All values must be >= 0. crops[i] = [crop_start, crop_end] specifies the amount to crop from input dimension i + 1, which corresponds to spatial dimension i. It is required that crop_start[i] + crop_end[i] <= block_shape[i] * input_shape[i + 1]. This operation is equivalent to the following steps: Reshape input to reshaped of shape: [block_shape[0], ..., block_shape[M-1], batch / prod(block_shape), input_shape[1], ..., input_shape[N-1]] Permute dimensions of reshaped to produce permuted of shape [batch / prod(block_shape), input_shape[1], block_shape[0], ..., input_shape[M], block_shape[M-1], input_shape[M+1], ..., input_shape[N-1]] Reshape permuted to produce reshaped_permuted of shape [batch / prod(block_shape), input_shape[1] * block_shape[0], ..., input_shape[M] * block_shape[M-1], input_shape[M+1], ..., input_shape[N-1]] Crop the start and end of dimensions [1, ..., M] of reshaped_permuted according to crops to produce the output of shape: [batch / prod(block_shape), input_shape[1] * block_shape[0] - crops[0,0] - crops[0,1], ..., input_shape[M] * block_shape[M-1] - crops[M-1,0] - crops[M-1,1], input_shape[M+1], ..., input_shape[N-1]] Some Examples: (1) For the following input of shape [4, 1, 1, 1], block_shape = [2, 2], and crops = [[0, 0], [0, 0]]: [[[[1]]], [[[2]]], [[[3]]], [[[4]]]] The output tensor has shape [1, 2, 2, 1] and value: [[3], [4]]]] ``` (2) For the following input of shape `[4, 1, 1, 3]`, `block_shape = [2, 2]`, and `crops = [[0, 0], [0, 0]]`: ```python [[[1, 2, 3]], [[4, 5, 6]], [[7, 8, 9]], [[10, 11, 12]]] The output tensor has shape [1, 2, 2, 3] and value: x = [[[[1, 2, 3], [4, 5, 6 ]], [[7, 8, 9], [10, 11, 12]]]] (3) For the following input of shape [4, 2, 2, 1], block_shape = [2, 2], and crops = [[0, 0], [0, 0]]: x = [[[[1], [3]], [[ 9], [11]]], [[[2], [4]], [[10], [12]]], [[[5], [7]], [[13], [15]]], [[[6], [8]], [[14], [16]]]] The output tensor has shape [1, 4, 4, 1] and value: x = [[[1], [2], [ 3], [ 4]], [[5], [6], [ 7], [ 8]], [[9], [10], [11], [12]], [[13], [14], [15], [16]]] (4) For the following input of shape [8, 1, 3, 1], block_shape = [2, 2], and crops = [[0, 0], [2, 0]]: x = [[[[0], [ 1], [ 3]]], [[[0], [ 9], [11]]], [[[0], [ 2], [ 4]]], [[[0], [10], [12]]], [[[0], [ 5], [ 7]]], [[[0], [13], [15]]], [[[0], [ 6], [ 8]]], [[[0], [14], [16]]]] The output tensor has shape [2, 2, 4, 1] and value: x = [[[[ 1], [ 2], [ 3], [ 4]], [[ 5], [ 6], [ 7], [ 8]]], [[[ 9], [10], [11], [12]], [[13], [14], [15], [16]]]] ``` </td> </tr><tr> <td> `name` </td> <td> A name for the operation (optional). </td> </tr> </table> <!-- Tabular view -->  <table class=""responsive fixed orange""> <colgroup><col width=""214px""><col></colgroup> <tr><th colspan=""2""><h2 class=""add-link"">Returns</h2></th></tr> <tr class=""alt""> <td colspan=""2""> A `Tensor`. Has the same type as `input`. </td> </tr> </table>  Except as otherwise noted, the content of this page is licensed under the Creative Commons Attribution 4.0 License, and code samples are licensed under the Apache 2.0 License. For details, see the Google Developers Site Policies. Java is a registered trademark of Oracle and/or its affiliates.  Last updated 2020-10-01 UTC.  Stay connected  Blog  GitHub  Twitter  YouTube  Support  Issue tracker  Release notes  Stack Overflow  Brand guidelines  Cite TensorFlow  Terms  Privacy  Sign up for the TensorFlow monthly newsletter  Subscribe  Language  English  中文 – 简体  [{""gaid"": ""UA-69864048-1"", ""dimensions"": {""dimension4"": ""TensorFlow Core v2.2.0"", ""dimension3"": false, ""dimension12"": false, ""dimension1"": ""Signed out"", ""dimension5"": ""en"", ""dimension6"": ""en"", ""dimension8"": null}, ""metrics"": {""ratings_value"": ""metric1"", ""ratings_count"": ""metric2""}}] {""parameters"": {""freeTrialEligibleUser"": ""False"", ""internalUser"": ""False"", ""language"": {""machineTranslated"": ""False"", ""requested"": ""en"", ""served"": ""en""}, ""pageType"": ""reference"", ""projectName"": ""TensorFlow Core v2.2.0"", ""scriptsafe"": null, ""signedIn"": ""False"", ""tenant"": ""tensorflow""}}  (function(d,e,v,s,i,t,E){d['GoogleDevelopersObject']=i;  t=e.createElement(v);t.async=1;t.src=s;E=e.getElementsByTagName(v)[0];  E.parentNode.insertBefore(t,E);})(window, document, 'script',  'https://www.gstatic.com/devrel-devsite/prod/vf7e3a995d426e05d42b78fc7d21a14329a91016dc065dc22c480cc8f443ef33e/tensorflow/js/app_loader.js', '[15,""en"",null,""/js/devsite_app_module.js"",""https://www.gstatic.com/devrel-devsite/prod/vf7e3a995d426e05d42b78fc7d21a14329a91016dc065dc22c480cc8f443ef33e"",""https://www.gstatic.com/devrel-devsite/prod/vf7e3a995d426e05d42b78fc7d21a14329a91016dc065dc22c480cc8f443ef33e/tensorflow"",""https://tensorflow-dot-devsite-v2-prod-3p.appspot.com"",null,null,[""/_pwa/tensorflow/manifest.json"",""/_static/images/video-placeholder.svg"",""https://www.gstatic.com/devrel-devsite/prod/vf7e3a995d426e05d42b78fc7d21a14329a91016dc065dc22c480cc8f443ef33e/tensorflow/images/favicon.png"",""https://www.gstatic.com/devrel-devsite/prod/vf7e3a995d426e05d42b78fc7d21a14329a91016dc065dc22c480cc8f443ef33e/tensorflow/images/lockup.svg"",""https://fonts.googleapis.com/css?family=Google+Sans:400,500|Roboto:400,400italic,500,500italic,700,700italic|Roboto+Mono:400,500,700|Material+Icons""],1,null,[1,6,8,12,14,17,21,25,40,50,63,70,75,76,80,87,88,91,92,93,97,98,100,101,102,103,105,107,111,115]]')","A 2-D Tensor with shape [M, 2]. Must be one of the following types: int32, int64. All values must be >= 0. crops[i] = [crop_start, crop_end] specifies the amount to crop from input dimension i + 1, which corresponds to spatial dimension i. It is required that crop_start[i] + crop_end[i] <= block_shape[i] * input_shape[i + 1]. This operation is equivalent to the following steps: Reshape input to reshaped of shape: [block_shape[0], ..., block_shape[M-1], batch / prod(block_shape), input_shape[1], ..., input_shape[N-1]] Permute dimensions of reshaped to produce permuted of shape [batch / prod(block_shape), input_shape[1], block_shape[0], ..., input_shape[M], block_shape[M-1], input_shape[M+1], ..., input_shape[N-1]] Reshape permuted to produce reshaped_permuted of shape [batch / prod(block_shape), input_shape[1] * block_shape[0], ..., input_shape[M] * block_shape[M-1], input_shape[M+1], ..., input_shape[N-1]] Crop the start and end of dimensions [1, ..., M] of reshaped_permuted according to crops to produce the output of shape: [batch / prod(block_shape), input_shape[1] * block_shape[0] - crops[0,0] - crops[0,1], ..., input_shape[M] * block_shape[M-1] - crops[M-1,0] - crops[M-1,1], input_shape[M+1], ..., input_shape[N-1]]"
tf.raw_ops.loadtpuembeddingmdladagradlightparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
