API,Param,ratio,tfdoc2.2,tfdoc2.3
tf.math.equal.yaml,x,0.9357798165137615,A tf.Tensor or tf.SparseTensor or tf.IndexedSlices.,A tf.Tensor or tf.sparse.SparseTensor or tf.IndexedSlices.
tf.math.equal.yaml,y,0.9357798165137615,A tf.Tensor or tf.SparseTensor or tf.IndexedSlices.,A tf.Tensor or tf.sparse.SparseTensor or tf.IndexedSlices.
tf.raw_ops.round.yaml,x,0.9469387755102041,"A Tensor. Must be one of the following types: bfloat16, half, float32, float64, int32, int64, complex64, complex128.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64, int8, int16, int32, int64, complex64, complex128."
tf.raw_ops.resizearea.yaml,images,0.9696969696969697,"A Tensor. Must be one of the following types: int8, uint8, int16, uint16, int32, int64, half, float32, float64. 4-D with shape [batch, height, width, channels].","A Tensor. Must be one of the following types: int8, uint8, int16, uint16, int32, int64, half, float32, float64, bfloat16. 4-D with shape [batch, height, width, channels]."
tf.nest.flatten.yaml,expand_composites,0.9711934156378601,"If true, then composite tensors such as tf.SparseTensor and tf.RaggedTensor are expanded into their component tensors.","If true, then composite tensors such as tf.sparse.SparseTensor and tf.RaggedTensor are expanded into their component tensors."
tf.raw_ops.resizebilinear.yaml,images,0.9714285714285714,"A Tensor. Must be one of the following types: int8, uint8, int16, uint16, int32, int64, bfloat16, half, float32, float64. 4-D with shape [batch, height, width, channels].","A Tensor. Must be one of the following types: int8, uint8, int16, uint16, int32, int64, bfloat16, half, float32, float64, bfloat16. 4-D with shape [batch, height, width, channels]."
tf.raw_ops.tan.yaml,x,0.9469387755102041,"A Tensor. Must be one of the following types: bfloat16, half, float32, float64, int32, int64, complex64, complex128.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64, int8, int16, int32, int64, complex64, complex128."
tf.image.non_max_suppression_padded.yaml,max_output_size,0.9902912621359223,A scalar integer Tensor representing the maximum number of boxes to be selected by non-max suppression.,a scalar integer Tensor representing the maximum number of boxes to be selected by non max suppression.
tf.raw_ops.resizebicubic.yaml,images,0.9696969696969697,"A Tensor. Must be one of the following types: int8, uint8, int16, uint16, int32, int64, half, float32, float64. 4-D with shape [batch, height, width, channels].","A Tensor. Must be one of the following types: int8, uint8, int16, uint16, int32, int64, half, float32, float64, bfloat16. 4-D with shape [batch, height, width, channels]."
tf.math.tan.yaml,x,0.9469387755102041,"A Tensor. Must be one of the following types: bfloat16, half, float32, float64, int32, int64, complex64, complex128.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64, int8, int16, int32, int64, complex64, complex128."
tf.custom_gradient.yaml,f,0.9427410417436276,"function f(*x) that returns a tuple (y, grad_fn) where: x is a sequence of Tensor inputs to the function. y is a Tensor or sequence of Tensor outputs of applying TensorFlow operations in f to x. grad_fn is a function with the signature g(*grad_ys) which returns a list of Tensors - the derivatives of Tensors in y with respect to the Tensors in x. grad_ys is a Tensor or sequence of Tensors the same size as y holding the initial value gradients for each Tensor in y. In a pure mathematical sense, a vector-argument vector-valued function f's derivatives should be its Jacobian matrix J. Here we are expressing the Jacobian J as a function grad_fn which defines how J will transform a vector grad_ys when left-multiplied with it (grad_ys * J). This functional representation of a matrix is convenient to use for chain-rule calculation (in e.g. the back-propagation algorithm). If f uses Variables (that are not part of the inputs), i.e. through get_variable, then grad_fn should have signature g(*grad_ys, variables=None), where variables is a list of the Variables, and return a 2-tuple (grad_xs, grad_vars), where grad_xs is the same as above, and grad_vars is a list<Tensor> with the derivatives of Tensors in y with respect to the variables (that is, grad_vars has one Tensor per variable in variables).","function f(*x) that returns a tuple (y, grad_fn) where: x is a sequence of (nested structures of) Tensor inputs to the function. y is a (nested structure of) Tensor outputs of applying TensorFlow operations in f to x. grad_fn is a function with the signature g(*grad_ys) which returns a list of Tensors the same size as (flattened) x - the derivatives of Tensors in y with respect to the Tensors in x. grad_ys is a sequence of Tensors the same size as (flattened) y holding the initial value gradients for each Tensor in y. In a pure mathematical sense, a vector-argument vector-valued function f's derivatives should be its Jacobian matrix J. Here we are expressing the Jacobian J as a function grad_fn which defines how J will transform a vector grad_ys when left-multiplied with it (grad_ys * J, the vector-Jacobian product, or VJP). This functional representation of a matrix is convenient to use for chain-rule calculation (in e.g. the back-propagation algorithm). If f uses Variables (that are not part of the inputs), i.e. through get_variable, then grad_fn should have signature g(*grad_ys, variables=None), where variables is a list of the Variables, and return a 2-tuple (grad_xs, grad_vars), where grad_xs is the same as above, and grad_vars is a list<Tensor> with the derivatives of Tensors in y with respect to the variables (that is, grad_vars has one Tensor per variable in variables)."
tf.raw_ops.argmin.yaml,input,0.9838709677419355,"A Tensor. Must be one of the following types: float32, float64, int32, uint8, int16, int8, complex64, int64, qint8, quint8, qint32, bfloat16, uint16, complex128, half, uint32, uint64.","A Tensor. Must be one of the following types: float32, float64, int32, uint8, int16, int8, complex64, int64, qint8, quint8, qint32, bfloat16, uint16, complex128, half, uint32, uint64, bool."
tf.raw_ops.maximum.yaml,x,0.93,"A Tensor. Must be one of the following types: bfloat16, half, float32, float64, int32, int64.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64, uint8, int16, int32, int64."
