arg,API,url
csr_matrix,mxnet.contrib.ndarray.dgl_csr_neighbor_non_uniform_sample,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.dgl_csr_neighbor_non_uniform_sample
csr_matrix,mxnet.contrib.ndarray.dgl_csr_neighbor_uniform_sample,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.dgl_csr_neighbor_uniform_sample
graph_data,mxnet.contrib.ndarray.dgl_graph_compact,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.dgl_graph_compact
graph,mxnet.contrib.ndarray.dgl_subgraph,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.dgl_subgraph
data,mxnet.contrib.ndarray.quantized_concat,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.quantized_concat
with quantize_model,mxnet.contrib.quantization.quantize_model_mkldnn,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/quantization/index.html#mxnet.contrib.quantization.quantize_model_mkldnn
csr_matrix,mxnet.contrib.symbol.dgl_csr_neighbor_non_uniform_sample,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/symbol/index.html#mxnet.contrib.symbol.dgl_csr_neighbor_non_uniform_sample
csr_matrix,mxnet.contrib.symbol.dgl_csr_neighbor_uniform_sample,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/symbol/index.html#mxnet.contrib.symbol.dgl_csr_neighbor_uniform_sample
graph_data,mxnet.contrib.symbol.dgl_graph_compact,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/symbol/index.html#mxnet.contrib.symbol.dgl_graph_compact
graph,mxnet.contrib.symbol.dgl_subgraph,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/symbol/index.html#mxnet.contrib.symbol.dgl_subgraph
data,mxnet.contrib.symbol.quantized_concat,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/symbol/index.html#mxnet.contrib.symbol.quantized_concat
pretrained,mxnet.gluon.model_zoo.vision.get_model,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.get_model
pretrained,mxnet.gluon.model_zoo.vision.densenet121,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.densenet121
pretrained,mxnet.gluon.model_zoo.vision.densenet161,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.densenet161
pretrained,mxnet.gluon.model_zoo.vision.densenet169,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.densenet169
pretrained,mxnet.gluon.model_zoo.vision.densenet201,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.densenet201
pretrained,mxnet.gluon.model_zoo.vision.get_model,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.get_model
pretrained,mxnet.gluon.model_zoo.vision.mobilenet0_25,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.mobilenet0_25
pretrained,mxnet.gluon.model_zoo.vision.mobilenet0_5,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.mobilenet0_5
pretrained,mxnet.gluon.model_zoo.vision.mobilenet0_75,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.mobilenet0_75
pretrained,mxnet.gluon.model_zoo.vision.mobilenet1_0,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.mobilenet1_0
pretrained,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25
pretrained,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_5,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.mobilenet_v2_0_5
pretrained,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_75,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.mobilenet_v2_0_75
pretrained,mxnet.gluon.model_zoo.vision.mobilenet_v2_1_0,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.mobilenet_v2_1_0
pretrained,mxnet.gluon.model_zoo.vision.resnet101_v1,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet101_v1
pretrained,mxnet.gluon.model_zoo.vision.resnet101_v2,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet101_v2
pretrained,mxnet.gluon.model_zoo.vision.resnet152_v1,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet152_v1
pretrained,mxnet.gluon.model_zoo.vision.resnet152_v2,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet152_v2
pretrained,mxnet.gluon.model_zoo.vision.resnet18_v1,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet18_v1
pretrained,mxnet.gluon.model_zoo.vision.resnet18_v2,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet18_v2
pretrained,mxnet.gluon.model_zoo.vision.resnet34_v1,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet34_v1
pretrained,mxnet.gluon.model_zoo.vision.resnet34_v2,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet34_v2
pretrained,mxnet.gluon.model_zoo.vision.resnet50_v1,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet50_v1
pretrained,mxnet.gluon.model_zoo.vision.resnet50_v2,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.resnet50_v2
pretrained,mxnet.gluon.model_zoo.vision.squeezenet1_0,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.squeezenet1_0
pretrained,mxnet.gluon.model_zoo.vision.squeezenet1_1,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.squeezenet1_1
pretrained,mxnet.gluon.model_zoo.vision.vgg11,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.vgg11
pretrained,mxnet.gluon.model_zoo.vision.vgg11_bn,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.vgg11_bn
pretrained,mxnet.gluon.model_zoo.vision.vgg13,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.vgg13
pretrained,mxnet.gluon.model_zoo.vision.vgg13_bn,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.vgg13_bn
pretrained,mxnet.gluon.model_zoo.vision.vgg16,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.vgg16
pretrained,mxnet.gluon.model_zoo.vision.vgg16_bn,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.vgg16_bn
pretrained,mxnet.gluon.model_zoo.vision.vgg19,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.vgg19
pretrained,mxnet.gluon.model_zoo.vision.vgg19_bn,https://mxnet.apache.org/versions/1.6/api/python/docs/api/gluon/model_zoo/index.html#mxnet.gluon.model_zoo.vision.vgg19_bn
