API,url,arg,optional?,descp,doc_dtype
mxnet.ndarray.contrib.dequantize,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/contrib/index.html#mxnet.ndarray.contrib.dequantize,data,optional,A ndarray/symbol of type uint8,
mxnet.contrib.ndarray.calibrate_entropy,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.calibrate_entropy,hist,optional,A ndarray/symbol of type float32,
mxnet.contrib.ndarray.calibrate_entropy,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.calibrate_entropy,hist_edges,optional,A ndarray/symbol of type float32,
mxnet.ndarray.contrib.quantize_v2,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/contrib/index.html#mxnet.ndarray.contrib.quantize_v2,data,optional,A ndarray/symbol of type float32,
mxnet.test_utils.check_symbolic_forward,https://mxnet.apache.org/versions/1.6/api/python/docs/api/mxnet/test_utils/index.html#mxnet.test_utils.check_symbolic_forward,sym,required,output symbol,
mxnet.contrib.ndarray.requantize,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.requantize,data,optional,A ndarray/symbol of type int32,
mxnet.test_utils.check_symbolic_backward,https://mxnet.apache.org/versions/1.6/api/python/docs/api/mxnet/test_utils/index.html#mxnet.test_utils.check_symbolic_backward,sym,required,output symbol,
mxnet.ndarray.contrib.requantize,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/contrib/index.html#mxnet.ndarray.contrib.requantize,data,optional,A ndarray/symbol of type int32,
mxnet.contrib.ndarray.dequantize,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.dequantize,data,optional,A ndarray/symbol of type uint8,
mxnet.ndarray.contrib.calibrate_entropy,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/contrib/index.html#mxnet.ndarray.contrib.calibrate_entropy,hist,optional,A ndarray/symbol of type float32,
mxnet.ndarray.contrib.calibrate_entropy,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/contrib/index.html#mxnet.ndarray.contrib.calibrate_entropy,hist_edges,optional,A ndarray/symbol of type float32,
mxnet.contrib.quantization.quantize_model,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/quantization/index.html#mxnet.contrib.quantization.quantize_model,excluded_sym_names,optional,A list of strings representing the names of the symbols that users want to excluding from being quantized.,
mxnet.contrib.quantization.quantize_net,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/quantization/index.html#mxnet.contrib.quantization.quantize_net,exclude_layers,optional,A list of strings representing the names of the symbols that users want to excluding,
mxnet.contrib.quantization.quantize_net,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/quantization/index.html#mxnet.contrib.quantization.quantize_net,exclude_layers_match,optional,A list of strings wildcard matching the names of the symbols that users want to excluding from being quantized.,
mxnet.contrib.onnx.export_model,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/onnx/index.html#mxnet.contrib.onnx.export_model,params,required,,"['str', 'symbol object']"
mxnet.contrib.onnx.export_model,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/onnx/index.html#mxnet.contrib.onnx.export_model,sym,required,,"['str', 'symbol object']"
mxnet.contrib.ndarray.quantize_v2,https://mxnet.apache.org/versions/1.6/api/python/docs/api/contrib/ndarray/index.html#mxnet.contrib.ndarray.quantize_v2,data,optional,A ndarray/symbol of type float32,
mxnet.profiler.set_config,https://mxnet.apache.org/versions/1.6/api/python/docs/api/mxnet/profiler/index.html#mxnet.profiler.set_config,profile_symbolic,optional,whether to profile symbolic operators,
mxnet.ndarray.RNN,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.RNN,state_outputs,optional,Whether to have the states as symbol outputs.,
mxnet.ndarray.contrib.quantize,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/contrib/index.html#mxnet.ndarray.contrib.quantize,data,optional,A ndarray/symbol of type float32,
mxnet.ndarray.op.RNN,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.RNN,state_outputs,optional,Whether to have the states as symbol outputs.,
mxnet.test_utils.download_model,https://mxnet.apache.org/versions/1.6/api/python/docs/api/mxnet/test_utils/index.html#mxnet.test_utils.download_model,meta_info,optional,"Mapping from model_name to dict of the following structure: {'symbol': url, 'params': url}",
mxnet.ndarray.contrib.quantized_flatten,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/contrib/index.html#mxnet.ndarray.contrib.quantized_flatten,data,optional,A ndarray/symbol of type float32,
mxnet.visualization.plot_network,https://mxnet.apache.org/versions/1.6/api/python/docs/api/mxnet/visualization/index.html#mxnet.visualization.plot_network,dtype,optional,"Specifies the type of the input tensors. If specified, the visualization will include the type of the tensors between the nodes. dtype is a dictionary mapping input symbol names (str) to the corresponding tensor type (e.g. numpy.float32).",
