API,arg,obj,descp
declare_key_flag,flag_values,flagvalues," FlagValues, the FlagValues instance in which the flag will be declared as a key flag. This should almost never need to be overridden."
DEFINE_multi_enum,flag_values,flagvalues," FlagValues, the FlagValues instance with which the flag will be registered. This should almost never need to be overridden."
add_to_collection,name,graphkeys," The key for the collection. For example, the `GraphKeys` class contains many standard names for collections."
DEFINE_flag,flag_values,flagvalues," FlagValues, the FlagValues instance with which the flag will be registered. This should almost never need to be overridden."
get_local_variable,initializer,initializer," Initializer for the variable if one is created. Can either be an initializer object or a Tensor. If it's a Tensor, its shape must be known unless validate_shape is False."
img_to_array,img,image, PIL Image instance.
dimension_value,dimension,dimension," Either a `Dimension` instance, an integer, or None."
as_bytes,bytes_or_text,unicode," A `bytearray`, `bytes`, `str`, or `unicode` object."
while_loop,loop_vars,tensorarray," A (possibly nested) tuple, namedtuple or list of numpy array, `Tensor`, and `TensorArray` objects."
mark_bool_flags_as_mutual_exclusive,flag_values,flagvalues," flags.FlagValues, optional FlagValues instance where the flags are defined."
set_global_generator,generator,generator, the new `Generator` object.
stop_if_higher_hook,estimator,tf.estimator.estimator, A `tf.estimator.Estimator` instance.
get_collection_ref,key,graphkeys," The key for the collection. For example, the `GraphKeys` class contains many standard names for collections."
get_variable,initializer,initializer," Initializer for the variable if one is created. Can either be an initializer object or a Tensor. If it's a Tensor, its shape must be known unless validate_shape is False."
DEFINE,flag_values,flagvalues," FlagValues, the FlagValues instance with which the flag will be registered. This should almost never need to be overridden."
DEFINE,serializer,serializer," ArgumentSerializer, the flag serializer instance."
adopt_module_key_flags,flag_values,flagvalues," FlagValues, the FlagValues instance in which the flags will be declared as key flags. This should almost never need to be overridden."
adopt_module_key_flags,module,module," module, the module object from which all key flags will be declared as key flags to the current module."
add_to_collections,names,graphkeys, The key for the collections. The `GraphKeys` class contains many standard names for collections.
experimental_set_strategy,strategy,tf.distribute.strategy, A `tf.distribute.Strategy` object or None.
assert_variables_initialized,var_list,variable, List of `Variable` objects to check. Defaults to the value of `global_variables().`
model_to_dot,model,model, A Keras model instance.
model_to_dot,subgraph,pydot.cluster, whether to return a `pydot.Cluster` instance.
raw_rnn,cell,rnncell., An instance of RNNCell.
