IDX,API,URL,V1,NOTE,VALID_MAP
1,batch_to_space,https://www.tensorflow.org/api_docs/python/tf/batch_to_space,,,
1,batch_to_space,https://www.tensorflow.org/api_docs/python/tf/compat/v1/batch_to_space,Y,,valid
2,boolean_mask,https://www.tensorflow.org/api_docs/python/tf/boolean_mask,,,
2,boolean_mask,https://www.tensorflow.org/api_docs/python/tf/compat/v1/boolean_mask,Y,,
2,boolean_mask,https://www.tensorflow.org/api_docs/python/tf/ragged/boolean_mask,,,valid
3,case,https://www.tensorflow.org/api_docs/python/tf/case,,,
3,case,https://www.tensorflow.org/api_docs/python/tf/compat/v1/case,Y,,valid
4,cast,https://www.tensorflow.org/api_docs/python/tf/cast,,,
4,cast,https://www.tensorflow.org/api_docs/python/tf/keras/backend/cast,,,
5,concat,https://www.tensorflow.org/api_docs/python/tf/concat,,,
5,concat,https://www.tensorflow.org/api_docs/python/tf/sparse/concat,,,
6,cond,https://www.tensorflow.org/api_docs/python/tf/cond,,,
6,cond,https://www.tensorflow.org/api_docs/python/tf/compat/v1/cond,Y,,valid
7,constant,https://www.tensorflow.org/api_docs/python/tf/constant,,,
7,constant,https://www.tensorflow.org/api_docs/python/tf/compat/v1/constant,Y,,
7,constant,https://www.tensorflow.org/api_docs/python/tf/keras/backend/constant,,,
7,constant,https://www.tensorflow.org/api_docs/python/tf/ragged/constant,,,valid
8,convert_to_tensor,https://www.tensorflow.org/api_docs/python/tf/convert_to_tensor,,,
8,convert_to_tensor,https://www.tensorflow.org/api_docs/python/tf/compat/v1/convert_to_tensor,Y,,valid
9,device,https://www.tensorflow.org/api_docs/python/tf/device,,,
9,device,https://www.tensorflow.org/api_docs/python/tf/compat/v1/device,Y,,valid
10,DeviceSpec,https://www.tensorflow.org/api_docs/python/tf/DeviceSpec,,,
10,DeviceSpec,https://www.tensorflow.org/api_docs/python/tf/compat/v1/DeviceSpec,Y,,valid
11,executing_eagerly,https://www.tensorflow.org/api_docs/python/tf/executing_eagerly,,,
11,executing_eagerly,https://www.tensorflow.org/api_docs/python/tf/compat/v1/executing_eagerly,Y,,valid
12,expand_dims,https://www.tensorflow.org/api_docs/python/tf/expand_dims,,,
12,expand_dims,https://www.tensorflow.org/api_docs/python/tf/compat/v1/expand_dims,Y,,
12,expand_dims,https://www.tensorflow.org/api_docs/python/tf/keras/backend/expand_dims,,,
12,expand_dims,https://www.tensorflow.org/api_docs/python/tf/sparse/expand_dims,,,valid
13,eye,https://www.tensorflow.org/api_docs/python/tf/eye,,,
13,eye,https://www.tensorflow.org/api_docs/python/tf/keras/backend/eye,,,
