File,Arg,Type,Constr,Descp
mxnet.ndarray.Embedding,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8', 'numpy.uint8']",Data type of weight.
mxnet.ndarray.Embedding,output_dim,nonprim_dtype,['list'],Dimension of the embedding vectors.
mxnet.ndarray.sparse.Embedding,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8', 'numpy.uint8']",Data type of weight.
mxnet.ndarray.sparse.Embedding,output_dim,nonprim_dtype,['list'],Dimension of the embedding vectors.
mxnet.contrib.ndarray.dgl_graph_compact,graph_sizes,nonprim_dtype,['tuple'],the number of vertices in each graph.
mxnet.ndarray.op.scatter_nd,shape,nonprim_dtype,['tuple'],Shape of output.
mxnet.gluon.model_zoo.vision.vgg19_bn,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.flip,axis,nonprim_dtype,['tuple'],The axis which to reverse elements.
mxnet.ndarray.op.broadcast_axes,axis,nonprim_dtype,['tuple'],The axes to perform the broadcasting.
mxnet.ndarray.op.broadcast_axes,size,nonprim_dtype,['tuple'],Target sizes of the broadcasting axes.
mxnet.ndarray.op.softmin,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to the same as input's dtype if not defined (dtype=None).
mxnet.gluon.model_zoo.vision.vgg16,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.arange,infer_range,nonprim_dtype,['tensor'],"Infer the stop position from the start, step, repeat, and output tensor size. Deprecated. Only False is supported."
mxnet.test_utils.assert_almost_equal_ignore_nan,a,nonprim_dtype,['ndarray'],
mxnet.test_utils.assert_almost_equal_ignore_nan,b,nonprim_dtype,['ndarray'],
mxnet.ndarray.multi_mp_sgd_update,lrs,prim_dtype,['float'],Learning rates.
mxnet.ndarray.multi_mp_sgd_update,lrs,nonprim_dtype,['tuple'],Learning rates.
mxnet.ndarray.multi_mp_sgd_update,wds,prim_dtype,['float'],Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.
mxnet.ndarray.multi_mp_sgd_update,wds,nonprim_dtype,['tuple'],Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.
mxnet.ndarray.contrib.CTCLoss,use_data_lengths,nonprim_dtype,['list'],"Whether the data lenghts are decided by data_lengths. If false, the lengths are equal to the max sequence length."
mxnet.gluon.model_zoo.vision.densenet169,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.SequenceReverse,axis,nonprim_dtype,['list'],The sequence axis. Only 0 is currently supported.
mxnet.ndarray.SequenceReverse,use_sequence_length,nonprim_dtype,['list'],"If set to true, this layer takes in an extra input parameter sequence_length to specify variable length sequence"
mxnet.gluon.model_zoo.vision.get_mobilenet,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.gluon.nn.MaxPool2D,ceil_mode,prim_dtype,['boolean'],"When True, will use ceil instead of floor to compute the output shape."
mxnet.ndarray.RNN,state_size,prim_dtype,['int'],size of the state for each layer
mxnet.ndarray.RNN,use_sequence_length,nonprim_dtype,['list'],"If set to true, this layer takes in an extra input parameter sequence_length to specify variable length sequence"
mxnet.ndarray.contrib.count_sketch,processing_batch_size,nonprim_dtype,['list'],How many sketch vectors to process at one time.
mxnet.ndarray.GridGenerator,target_shape,nonprim_dtype,['tuple'],"Specifies the output shape (H, W). This is required if transformation type is affine. If transformation type is warp, this parameter is ignored."
mxnet.ndarray.op.reshape,shape,nonprim_dtype,['tuple'],The target shape
mxnet.ndarray.op.reshape,target_shape,nonprim_dtype,['tuple'],"(Deprecated! Use `shape` instead.) Target new shape. One and only one dim can be 0, in which case it will be inferred from the rest of dims"
