File,Arg,Type,Constr_src,Constr_cmp,Descp
mxnet.test_utils.set_env_var,key,prim_dtype,"['boolean', 'string']",['string'],Env var to set
mxnet.ndarray.linalg_extracttrian,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of square matrices
mxnet.ndarray.op.tile,reps,nonprim_dtype,['tensor'],"['tensor', 'tuple']","The number of times for repeating the tensor a. Each dim size of reps must be a positive integer. If reps has length d, the result will have dimension of max(d, a.ndim); If a.ndim < d, a is promoted to be d-dimensional by prepending new axes. If a.ndim > d, reps is promoted to a.ndim by pre-pending 1's to it."
mxnet.ndarray.arange,dtype,prim_dtype,"['numpy.dtype', 'string']","['numpy.dtype', 'numpy.float32', 'string']",The data type of the NDArray. The default datatype is np.float32.
mxnet.test_utils.assert_almost_equal_ignore_nan,atol,prim_dtype,['boolean'],['float'],The absolute threshold. Default threshold will be used if set to `None`.
mxnet.test_utils.assert_almost_equal_ignore_nan,rtol,prim_dtype,['boolean'],['float'],The relative threshold. Default threshold will be used if set to `None`.
mxnet.ndarray.sparse.mean,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  "
mxnet.ndarray.SequenceReverse,sequence_length,nonprim_dtype,['ndarray'],"['list', 'ndarray']",vector of sequence lengths of the form [batch_size]
mxnet.gluon.model_zoo.vision.get_mobilenet,multiplier,prim_dtype,"['float', 'int']",['float'],The width multiplier for controling the model size. Only multipliers that are no less than 0.25 are supported. The actual number of channels is equal to the original channel size multiplied by this multiplier.
mxnet.ndarray.linalg_slogdet,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of square matrix
mxnet.ndarray.RNN,parameters,nonprim_dtype,['ndarray'],"['list', 'ndarray']",Vector of all RNN trainable parameters concatenated
mxnet.ndarray.RNN,sequence_length,nonprim_dtype,['ndarray'],"['list', 'ndarray']",Vector of valid sequence lengths for each element in batch. (Only used if use_sequence_length kwarg is True)
mxnet.ndarray.contrib.count_sketch,h,nonprim_dtype,['ndarray'],"['list', 'ndarray']",The index vector
mxnet.ndarray.contrib.count_sketch,s,nonprim_dtype,['ndarray'],"['list', 'ndarray']",The sign vector
mxnet.ndarray.linalg.makediag,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of diagonal entries
mxnet.gluon.rnn.LSTM,layout,nonprim_dtype,['tensor'],"['list', 'tensor']","The format of input and output tensors. T, N and C stand for sequence length, batch size, and feature dimensions respectively."
mxnet.contrib.ndarray.count_sketch,h,nonprim_dtype,['ndarray'],"['list', 'ndarray']",The index vector
mxnet.contrib.ndarray.count_sketch,s,nonprim_dtype,['ndarray'],"['list', 'ndarray']",The sign vector
mxnet.ndarray.utils.empty,dtype,prim_dtype,"['numpy.dtype', 'string']","['numpy.dtype', 'numpy.float32', 'string']",An optional value type (default is float32).
mxnet.gluon.rnn.GRU,layout,nonprim_dtype,['tensor'],"['list', 'tensor']","The format of input and output tensors. T, N and C stand for sequence length, batch size, and feature dimensions respectively."
mxnet.ndarray.linalg.det,A,nonprim_dtype,['ndarray'],"['ndarray', 'tensor']",Tensor of square matrix
mxnet.gluon.nn.Conv3D,weight_initializer,prim_dtype,"['boolean', 'string']",['string'],Initializer for the weight weights matrix.
mxnet.contrib.quantization.quantize_net,calib_mode,prim_dtype,['string'],"['numpy.float32', 'string']","If calib_mode='none', no calibration will be used and the thresholds for requantization after the corresponding layers will be calculated at runtime by calling min and max operators. The quantized models generated in this mode are normally 10-20% slower than those with calibrations during inference. If calib_mode='naive', the min and max values of the layer outputs from a calibration dataset will be directly taken as the thresholds for quantization. If calib_mode='entropy' (default mode), the thresholds for quantization will be derived such that the KL divergence between the distributions of FP32 layer outputs and quantized layer outputs is minimized based upon the calibration dataset."
mxnet.contrib.quantization.quantize_net,quantized_dtype,prim_dtype,['string'],"['numpy.int8', 'numpy.uint8', 'string']","The quantized destination type for input data. Currently support 'int8' , 'uint8' and 'auto'. 'auto' means automatically select output type according to calibration result. Default value is 'int8'."
mxnet.ndarray.max,axis,nonprim_dtype,['tuple'],"['ndarray', 'tuple']","The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  "
mxnet.ndarray.op.SequenceMask,sequence_length,nonprim_dtype,['ndarray'],"['list', 'ndarray']",vector of sequence lengths of the form [batch_size]
mxnet.contrib.quantization.quantize_model,calib_mode,prim_dtype,['string'],"['numpy.float32', 'string']","If calib_mode='none', no calibration will be used and the thresholds for requantization after the corresponding layers will be calculated at runtime by calling min and max operators. The quantized models generated in this mode are normally 10-20% slower than those with calibrations during inference. If calib_mode='naive', the min and max values of the layer outputs from a calibration dataset will be directly taken as the thresholds for quantization. If calib_mode='entropy' (default mode), the thresholds for quantization will be derived such that the KL divergence between the distributions of FP32 layer outputs and quantized layer outputs is minimized based upon the calibration dataset."
mxnet.contrib.quantization.quantize_model,quantized_dtype,prim_dtype,['string'],"['numpy.int8', 'numpy.uint8', 'string']","The quantized destination type for input data. Currently support 'int8', 'uint8' and 'auto'. 'auto' means automatically select output type according to calibration result. Default value is 'int8'."
mxnet.contrib.quantization.quantize_model,sym,prim_dtype,['string'],"['numpy.float32', 'string']",Defines the structure of a neural network for FP32 data types.
