File,Arg,Type,Constr,Descp
mxnet.contrib.ndarray.dgl_graph_compact,graph_sizes,prim_dtype,['int'],the number of vertices in each graph.
mxnet.gluon.model_zoo.vision.vgg19_bn,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.ndarray.flip,axis,prim_dtype,['int'],The axis which to reverse elements.
mxnet.ndarray.op.broadcast_axes,axis,prim_dtype,['int'],The axes to perform the broadcasting.
mxnet.ndarray.op.broadcast_axes,size,prim_dtype,['int'],Target sizes of the broadcasting axes.
mxnet.gluon.model_zoo.vision.vgg16,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.gluon.model_zoo.vision.densenet169,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.gluon.model_zoo.vision.get_mobilenet,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.ndarray.op.reshape,shape,prim_dtype,['int'],The target shape
mxnet.ndarray.op.reshape,target_shape,prim_dtype,['int'],"(Deprecated! Use `shape` instead.) Target new shape. One and only one dim can be 0, in which case it will be inferred from the rest of dims"
mxnet.gluon.model_zoo.vision.resnet18_v1,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.ndarray.op.random_gamma,shape,prim_dtype,['int'],Shape of the output.
mxnet.ndarray.sample_multinomial,shape,prim_dtype,['int'],Shape to be sampled from each random distribution.
mxnet.ndarray.sample_gamma,shape,prim_dtype,['int'],Shape to be sampled from each random distribution.
mxnet.gluon.model_zoo.vision.mobilenet_v2_0_5,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.ndarray.broadcast_axes,axis,prim_dtype,['int'],The axes to perform the broadcasting.
mxnet.ndarray.broadcast_axes,size,prim_dtype,['int'],Target sizes of the broadcasting axes.
mxnet.ndarray.random_negative_binomial,shape,prim_dtype,['int'],Shape of the output.
mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.test_utils.verify_generator,buckets,prim_dtype,['int'],"The buckets to run the chi-square the test. Make sure that the buckets coverthe whole range of the distribution. Also, the buckets must be in ascending order and have no intersection   "
mxnet.ndarray.Convolution,dilate,prim_dtype,['int'],"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.Convolution,pad,prim_dtype,['int'],"Zero pad for convolution: (w,), (h, w) or (d, h, w). Defaults to no padding."
mxnet.ndarray.Convolution,stride,prim_dtype,['int'],"Convolution stride: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.op.Convolution,dilate,prim_dtype,['int'],"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.op.Convolution,pad,prim_dtype,['int'],"Zero pad for convolution: (w,), (h, w) or (d, h, w). Defaults to no padding."
mxnet.ndarray.op.Convolution,stride,prim_dtype,['int'],"Convolution stride: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.gluon.model_zoo.vision.alexnet,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.gluon.model_zoo.vision.densenet121,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.ndarray.random_exponential,shape,prim_dtype,['int'],Shape of the output.
mxnet.ndarray.op.broadcast_like,lhs_axes,prim_dtype,['int'],Axes to perform broadcast on in the first input array
mxnet.ndarray.op.broadcast_like,rhs_axes,prim_dtype,['int'],Axes to copy from the second input array
mxnet.ndarray.broadcast_to,shape,prim_dtype,"['boolean', 'int']","The shape of the desired array. We can set the dim to zero if it's same as the original. E.g A = broadcast_to(B, shape=(10, 0, 0)) has the same meaning as A = broadcast_axis(B, axis=0, size=10)."
mxnet.gluon.model_zoo.vision.vgg11_bn,ctx,prim_dtype,['boolean'],The context in which to load the pretrained weights.
mxnet.ndarray.sample_exponential,shape,prim_dtype,['int'],Shape to be sampled from each random distribution.
mxnet.ndarray.op.slice,step,prim_dtype,['int'],"step for the slice operation, supports negative values."
mxnet.ndarray.sample_poisson,shape,prim_dtype,['int'],Shape to be sampled from each random distribution.
mxnet.ndarray.transpose,axes,prim_dtype,['int'],Target axis order. By default the axes will be inverted.
mxnet.ndarray.contrib.quantized_batch_norm,max_data,prim_dtype,['numeric'],Maximum value of data.
mxnet.ndarray.contrib.quantized_batch_norm,min_data,prim_dtype,['numeric'],Minimum value of data.
mxnet.contrib.ndarray.quantized_conv,dilate,prim_dtype,['int'],"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.contrib.ndarray.quantized_conv,max_bias,prim_dtype,['numeric'],Maximum value of bias.
mxnet.contrib.ndarray.quantized_conv,max_data,prim_dtype,['numeric'],Maximum value of data.
mxnet.contrib.ndarray.quantized_conv,max_weight,prim_dtype,['numeric'],Maximum value of weight.
mxnet.contrib.ndarray.quantized_conv,min_bias,prim_dtype,['numeric'],Minimum value of bias.
mxnet.contrib.ndarray.quantized_conv,min_data,prim_dtype,['numeric'],Minimum value of data.
mxnet.contrib.ndarray.quantized_conv,min_weight,prim_dtype,['numeric'],Minimum value of weight.
mxnet.contrib.ndarray.quantized_conv,pad,prim_dtype,['int'],"Zero pad for convolution: (w,), (h, w) or (d, h, w). Defaults to no padding."
mxnet.contrib.ndarray.quantized_conv,stride,prim_dtype,['int'],"Convolution stride: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.random.seed,ctx,prim_dtype,['string'],"The device context of the generator. The default is ""all"" which means seeding random number generators of all devices."
mxnet.ndarray.contrib.dgl_graph_compact,graph_sizes,prim_dtype,['int'],the number of vertices in each graph.
mxnet.ndarray.linspace,num,prim_dtype,['int'],Number of samples to generate. Must be non-negative.
