,API,Arg,Descp,Normalized_descp,dtype,structure,shape,ndim,range,enum,tensor_t
0,mxnet.contrib.ndarray.box_encode,matches,"(B, N) value range [0, M)",BSTR value range BSTR,,matrix,BSTR,CONSTANT_VAL,BSTR,,
1,mxnet.contrib.ndarray.box_encode,matches,"(B, N) value range [0, M)",bstr value range bstr,,,BSTR,,BSTR,,
2,,,,,,,,,,,
3,mxnet.image.CreateDetAugmenter,rand_pad,"[0, 1], probability to apply random padding",BSTR probability to apply random padding,numeric,,,,"[0,1]",,
4,mxnet.image.CreateDetAugmenter,rand_pad,"[0, 1], probability to apply random padding",bstr probability to apply random padding,float,,,0,"[0,1]",,
5,,,,,,,,,,,
6,mxnet.test_utils.np_reduce,numpy_reduce_func,A NumPy reducing function like `np.sum` or `np.max`.,A NumPy reducing function like np sum QSTR np max,,,,,,QSTR,
7,mxnet.test_utils.np_reduce,numpy_reduce_func,A NumPy reducing function like `np.sum` or `np.max`.,a numpy reducing function like np sum qstr np max,,,,,,,
8,,,,,,,,,,,
9,mxnet.ndarray.Activation,act_type,Activation function to be applied.,Activation function to be applied,,,,,,,
10,mxnet.ndarray.Activation,act_type,Activation function to be applied.,activation function to be applied,,,,,,QSTR,
11,,,,,,,,,,,
12,mxnet.gluon.nn.Dense,activation,"Activation function to use. See help on Activation layer. If you don't specify anything, no activation is applied (ie. ""linear"" activation: a(x) = x).",Activation function to use,string,,,0,,,
13,mxnet.gluon.nn.Dense,activation,"Activation function to use. See help on Activation layer. If you don't specify anything, no activation is applied (ie. ""linear"" activation: a(x) = x).",activation function to use,,,,,,,
14,,,,,,,,,,,
15,mxnet.io.ImageRecordIter,saturation,"Add a random value in `[-saturation, saturation]` to the saturation of image.",Add a random value in BSTR to the saturation of image,numeric,,,,BSTR,,
16,mxnet.io.ImageRecordIter,saturation,"Add a random value in `[-saturation, saturation]` to the saturation of image.",add a random value in bstr to the saturation of image,,,,,,,
17,,,,,,,,,,,
18,mxnet.ndarray.op.random_generalized_negative_binomial,alpha,Alpha (dispersion) parameter of the negative binomial distribution.,Alpha BSTR parameter of the negative binomial distribution,numeric,,,0,,,
19,mxnet.ndarray.op.random_generalized_negative_binomial,alpha,Alpha (dispersion) parameter of the negative binomial distribution.,alpha bstr parameter of the negative binomial distribution,,,,,,,
20,,,,,,,,,,,
21,mxnet.ndarray.random_pdf_gamma,alpha,Alpha (shape) parameters of the distributions.,Alpha BSTR parameters of the distributions,numeric,,,0,,,
22,mxnet.ndarray.random_pdf_gamma,alpha,Alpha (shape) parameters of the distributions.,alpha bstr parameters of the distributions,,,,,,,
23,,,,,,,,,,,
24,mxnet.ndarray.zeros,dtype,An optional value type (default is float32),An optional value type BSTR,dtype,,,0,,,
25,mxnet.ndarray.zeros,dtype,An optional value type (default is float32),an optional value type bstr,numpy.dtype,,,0,,,
26,,,,,,,,,,,
27,mxnet.contrib.ndarray.box_nms,topk,"Apply nms to topk boxes with descending scores, -1 to no restriction.",Apply nms to topk boxes with descending scores CONSTANT_NUM to no restriction,,,,,,CONSTANT_NUM,
28,mxnet.contrib.ndarray.box_nms,topk,"Apply nms to topk boxes with descending scores, -1 to no restriction.",apply nms to topk boxes with descending scores constant_num to no restriction,,,,,,,
29,,,,,,,,,,,
30,mxnet.io.ImageDetRecordIter,resize_mode,"Augmentation Param: How image data fit in data_shape. force: force reshape to data_shape regardless of aspect ratio; shrink: ensure each side fit in data_shape, preserve aspect ratio; fit: fit image to data_shape, preserve ratio, will upscale if applicable.",force force reshape to PARAM regardless of aspect ratio shrink ensure each side fit in PARAM preserve aspect ratio fit fit image to PARAM preserve ratio will upscale if applicable,,,,,,"force'; 'shrink', 'fit'",
31,mxnet.io.ImageDetRecordIter,resize_mode,"Augmentation Param: How image data fit in data_shape. force: force reshape to data_shape regardless of aspect ratio; shrink: ensure each side fit in data_shape, preserve aspect ratio; fit: fit image to data_shape, preserve ratio, will upscale if applicable.",force force reshape to param regardless of aspect ratio shrink ensure each side fit in param preserve aspect ratio fit fit image to param preserve ratio will upscale if applicable,,,,,,,
32,,,,,,,,,,,
33,mxnet.io.ImageDetRecordIter,max_random_contrast,Augmentation Param: Maximum random value of delta contrast.,Augmentation Param Maximum random value of delta contrast,numeric,,,0,,,
34,mxnet.io.ImageDetRecordIter,max_random_contrast,Augmentation Param: Maximum random value of delta contrast.,augmentation param maximum random value of delta contrast,numeric,,,,,,
35,,,,,,,,,,,
36,mxnet.io.ImageDetRecordIter,random_illumination_prob,Augmentation Param: Probability to apply random illumination.,Augmentation Param Probability to apply random illumination,numeric,,,0,"[0,1]",,
37,mxnet.io.ImageDetRecordIter,random_illumination_prob,Augmentation Param: Probability to apply random illumination.,augmentation param probability to apply random illumination,float,,,,"[0,1]",,
38,,,,,,,,,,,
39,mxnet.io.ImageDetRecordIter,scale,Augmentation Param: Scale in color space.,Augmentation Param Scale in color space,numeric,,,0,,,
40,mxnet.io.ImageDetRecordIter,scale,Augmentation Param: Scale in color space.,augmentation param scale in color space,,,,,,,
41,,,,,,,,,,,
42,mxnet.io.ImageDetRecordIter,aug_seq,"Augmentation Param: the augmenter names to represent sequence of augmenters to be applied, seperated by comma. Additional keyword parameters will be seen by these augmenters. Make sure you don't use normal augmenters for detection tasks.",Augmentation Param the augmenter names to represent D_STRUCTURE of augmenters to be applied seperated by comma,,,,,,,
43,mxnet.io.ImageDetRecordIter,aug_seq,"Augmentation Param: the augmenter names to represent sequence of augmenters to be applied, seperated by comma. Additional keyword parameters will be seen by these augmenters. Make sure you don't use normal augmenters for detection tasks.",augmentation param the augmenter names to represent d_structure of augmenters to be applied seperated by comma,string,,,0,,,
44,,,,,,,,,,,
45,mxnet.ndarray.op.cumsum,axis,Axis along which the cumulative sum is computed. The default (None) is to compute the cumsum over the flattened array.,Axis along which the cumulative sum is computed,int,,,0,,,
46,mxnet.ndarray.op.cumsum,axis,Axis along which the cumulative sum is computed. The default (None) is to compute the cumsum over the flattened array.,axis along which the cumulative sum is computed,int,,,,"[0,inf)",,
47,,,,,,,,,,,
48,mxnet.io.MNISTIter,batch_size,Batch Param: Batch Size.,Batch Param Batch Size,int,,,"[0,inf)",,,
49,mxnet.io.MNISTIter,batch_size,Batch Param: Batch Size.,batch param batch size,int,,,,"[0,inf)",,
50,,,,,,,,,,,
51,mxnet.io.ImageDetRecordIter,batch_size,Batch size.,Batch size,int,,,"[0,inf)",,,
52,mxnet.io.ImageDetRecordIter,batch_size,Batch size.,batch size,int,,,,"[0,inf)",,
53,,,,,,,,,,,
54,mxnet.ndarray.ROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]], where (x1, y1) and (x2, y2) are top left and bottom right corners of designated region of interest. batch_index indicates the index of corresponding image in the input array",batch_index indicates the index of corresponding image in the input D_STRUCTURE,,,,,,,
55,mxnet.ndarray.ROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]], where (x1, y1) and (x2, y2) are top left and bottom right corners of designated region of interest. batch_index indicates the index of corresponding image in the input array",batch_index indicates the index of corresponding image in the input d_structure,int,,,0,,,
56,,,,,,,,,,,
57,mxnet.ndarray.ROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]], where (x1, y1) and (x2, y2) are top left and bottom right corners of designated region of interest. batch_index indicates the index of corresponding image in the input array",Bounding box coordinates a CONSTANT_NUM D D_STRUCTURE of BSTR where BSTR are top left and bottom right corners of designated region of interest,,D_STRUCTURE,,CONSTANT_NUM,,,
