,API,Arg,Descp,Normalized_descp,dtype,structure,shape,ndim,range,enum,tensor_t,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,tf.keras.backend.conv2d_transpose,output_shape,1D int tensor for the output shape.,CONSTANT_NUM D D_TYPE D_STRUCTURE for the output shape,D_TYPE,D_STRUCTURE,,CONSTANT_NUM,,,,,,,,,,,,,,
1,tf.keras.backend.conv2d_transpose,output_shape,1D int tensor for the output shape.,constant_num d d_type d_structure for the output shape,,,,CONSTANT_NUM,,,D_STRUCTURE,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,tf.nn.bias_add,bias,"A 1-D `Tensor` with size matching the channel dimension of `value`. Must be the same type as `value` unless `value` is a quantized type, in which case a different quantized type may be used.",Must be the same type as PARAM unless PARAM is a quantized type in which case a different quantized type may be used,&PARAM ,,,,,,,,,,,,,,,,,
4,tf.nn.bias_add,bias,"A 1-D `Tensor` with size matching the channel dimension of `value`. Must be the same type as `value` unless `value` is a quantized type, in which case a different quantized type may be used.",must be the same type as param unless param is a quantized type in which case a different quantized type may be used,&PARAM,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,tf.keras.layers.experimental.preprocessing.Normalization,reset_state,"Optional argument specifying whether to clear the state of the layer at the start of the call to `adapt`, or whether to start from the existing state. Subclasses may choose to throw if reset_state is set to 'False'.",Optional argument specifying whether to clear the state of the layer at the start of the call to QSTR or whether to start from the existing state,,,,,,,,,,,,,,,,,,
7,tf.keras.layers.experimental.preprocessing.Normalization,reset_state,"Optional argument specifying whether to clear the state of the layer at the start of the call to `adapt`, or whether to start from the existing state. Subclasses may choose to throw if reset_state is set to 'False'.",optional argument specifying whether to clear the state of the layer at the start of the call to qstr or whether to start from the existing state,bool,,,0,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,tf.keras.layers.experimental.preprocessing.Normalization,reset_state,"Optional argument specifying whether to clear the state of the layer at the start of the call to `adapt`, or whether to start from the existing state. Subclasses may choose to throw if reset_state is set to 'False'.",Subclasses may choose to throw if reset_state is set to CONSTANT_BOOL,bool,,,0,,,,,,,,,,,,,,
10,tf.keras.layers.experimental.preprocessing.Normalization,reset_state,"Optional argument specifying whether to clear the state of the layer at the start of the call to `adapt`, or whether to start from the existing state. Subclasses may choose to throw if reset_state is set to 'False'.",subclasses may choose to throw if reset_state is set to constant_bool,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,tf.data.experimental.make_batched_features_dataset,sloppy_ordering,"If `True`, reading performance will be improved at the cost of non-deterministic ordering. If `False`, the order of elements produced is deterministic prior to shuffling (elements are still randomized if `shuffle=True`. Note that if the seed is set, then order of elements after shuffling is deterministic). Defaults to `False`.",Defaults to CONSTANT_BOOL,bool,,,0,,,,,,,,,,,,,,
13,tf.data.experimental.make_batched_features_dataset,sloppy_ordering,"If `True`, reading performance will be improved at the cost of non-deterministic ordering. If `False`, the order of elements produced is deterministic prior to shuffling (elements are still randomized if `shuffle=True`. Note that if the seed is set, then order of elements after shuffling is deterministic). Defaults to `False`.",defaults to constant_bool,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,
15,tf.keras.backend.reshape,shape,Target shape tuple.,Target shape D_STRUCTURE,,D_STRUCTURE,,,,,,,,,,,,,,,,
16,tf.keras.backend.reshape,shape,Target shape tuple.,target shape d_structure,int,D_STRUCTURE,,1,"[0,inf)",,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
18,tf.data.experimental.make_batched_features_dataset,shuffle,"A boolean, indicates whether the input should be shuffled. Defaults to `True`.",Defaults to CONSTANT_BOOL,bool,,,0,,,,,,,,,,,,,,
19,tf.data.experimental.make_batched_features_dataset,shuffle,"A boolean, indicates whether the input should be shuffled. Defaults to `True`.",defaults to constant_bool,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
21,tf.sparse.eye,num_columns,Optional non-negative integer or `int32` scalar `tensor` giving the number of columns in the resulting matrix. Defaults to `num_rows`.,Defaults to PARAM,,,,,,&PARAM,,,,,,,,,,,,
22,tf.sparse.eye,num_columns,Optional non-negative integer or `int32` scalar `tensor` giving the number of columns in the resulting matrix. Defaults to `num_rows`.,defaults to param,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,
24,tf.sparse.eye,num_columns,DF: None,DEFAULT None,,,,,,&PARAM,,,,,,,,,,,,
25,tf.sparse.eye,num_columns,DF: None,default none,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,
27,tf.keras.layers.SimpleRNNCell,recurrent_dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the recurrent state. Default: 0.,D_TYPE between CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,,,,,,,,,,,,
28,tf.keras.layers.SimpleRNNCell,recurrent_dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the recurrent state. Default: 0.,d_type between constant_num,D_TYPE,,,,CONSTANT_NUM,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,
30,tf.keras.layers.SimpleRNNCell,recurrent_dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the recurrent state. Default: 0.,Fraction of the PARAM to drop for the linear transformation of the recurrent state,,,,,,,,,,,,,,,,,,
31,tf.keras.layers.SimpleRNNCell,recurrent_dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the recurrent state. Default: 0.,fraction of the param to drop for the linear transformation of the recurrent state,,,,,"[0,1]",,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
33,tf.keras.layers.SimpleRNNCell,recurrent_dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the recurrent state. Default: 0.,Default CONSTANT_NUM,,,,0,,CONSTANT_NUM,,,,,,,,,,,,
34,tf.keras.layers.SimpleRNNCell,recurrent_dropout,Float between 0 and 1. Fraction of the units to drop for the linear transformation of the recurrent state. Default: 0.,default constant_num,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,
36,tf.keras.layers.SimpleRNNCell,recurrent_dropout,DF: 0.0,DEFAULT CONSTANT_FLOAT,,,,0,,CONSTANT_FLOAT,,,,,,,,,,,,
37,tf.keras.layers.SimpleRNNCell,recurrent_dropout,DF: 0.0,default constant_float,float,,,0,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,
39,tf.keras.preprocessing.image.load_img,interpolation,"Interpolation method used to resample the image if the     target size is different from that of the loaded image.     Supported methods are ""nearest"", ""bilinear"", and ""bicubic"".     If PIL version 1.1.3 or newer is installed, ""lanczos"" is also     supported. If PIL version 3.4.0 or newer is installed, ""box"" and     ""hamming"" are also supported. By default, ""nearest"" is used.`",If PIL version CONSTANT_NUM CONSTANT_NUM or newer is installed QSTR are also supported,,,,,,QSTR,,,,,,,,,,,,
