API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
mxnet.ndarray.diag,axis1,The first axis of the sub-arrays of interest. Ignored when the input is a 1-D array.,The first axis of the sub D_STRUCTURE of interest,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.diag,axis1,The first axis of the sub-arrays of interest. Ignored when the input is a 1-D array.,Ignored when the input is a CONSTANT_NUM D D_STRUCTURE,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.diag,axis1,"DD: int, optional, default='0'",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.diag,axis1,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.Softmax,ignore_label,"The instances whose labels == ignore_label will be ignored during backward, if use_ignore is set to `true`).",The instances whose labels ignore_label will be ignored during backward if PARAM is set to CONSTANT_BOOL,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.Softmax,ignore_label,"DD: float, optional, default=-1",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.Softmax,ignore_label,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,,
mxnet.contrib.ndarray.MultiBoxPrior,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
mxnet.contrib.ndarray.MultiBoxPrior,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.contrib.ndarray.MultiBoxPrior,out,DF: None,DEFAULT None,,,D_STRUCTURE,,,,
mxnet.image.CreateDetAugmenter,min_object_covered,"The cropped area of the image must contain at least this fraction of any bounding box supplied. The value of this parameter should be non-negative. In the case of 0, the cropped area does not need to overlap any of the bounding boxes supplied.",The cropped area of the image must contain at least this fraction of any bounding box supplied,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.image.CreateDetAugmenter,min_object_covered,"The cropped area of the image must contain at least this fraction of any bounding box supplied. The value of this parameter should be non-negative. In the case of 0, the cropped area does not need to overlap any of the bounding boxes supplied.",The value of this parameter should be non negative,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.image.CreateDetAugmenter,min_object_covered,"The cropped area of the image must contain at least this fraction of any bounding box supplied. The value of this parameter should be non-negative. In the case of 0, the cropped area does not need to overlap any of the bounding boxes supplied.",In the case of CONSTANT_NUM the cropped area does not need to overlap any of the bounding boxes supplied,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.image.CreateDetAugmenter,min_object_covered,DD: float,ONE_WORD D_TYPE,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.image.CreateDetAugmenter,min_object_covered,DF: 0.1,DEFAULT CONSTANT_FLOAT,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.op.reshape_like,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
mxnet.ndarray.op.reshape_like,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.op.reshape_like,out,DF: None,DEFAULT None,,,D_STRUCTURE,,,,
mxnet.ndarray.GroupNorm,num_groups,Total number of groups.,Total number of groups,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.GroupNorm,num_groups,"DD: int, optional, default='1'",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.GroupNorm,num_groups,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.linalg_trmm,transpose,Use transposed of the triangular matrix,Use transposed of the triangular matrix,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.linalg_trmm,transpose,"DD: boolean, optional, default=0",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.linalg_trmm,transpose,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.trunc,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
mxnet.ndarray.op.trunc,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.op.trunc,out,DF: None,DEFAULT None,,,D_STRUCTURE,,,,
mxnet.ndarray.random_normal,shape,Shape of the output.,Shape of the output,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.random_normal,shape,"DD: Shape(tuple), optional, default=None",Shape BSTR optional default None,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.random_normal,shape,DF: _Null,DEFAULT Null,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,"[0,inf)",
mxnet.contrib.ndarray.SyncBatchNorm,ndev,The count of GPU devices,The count of GPU devices,D_TYPE,,,,CONSTANT_VAL,,
mxnet.contrib.ndarray.SyncBatchNorm,ndev,"DD: int, optional, default='1'",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.contrib.ndarray.SyncBatchNorm,ndev,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.random_negative_binomial,p,Failure probability in each experiment.,Failure probability in each experiment,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.random_negative_binomial,p,"DD: float, optional, default=1",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.random_negative_binomial,p,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.sample_negative_binomial,p,Failure probabilities in each experiment.,Failure probabilities in each experiment,D_TYPE,,D_STRUCTURE,,,"[0,1]",
mxnet.ndarray.op.sample_negative_binomial,p,DD: NDArray,ONE_WORD D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,"[0,1]",
mxnet.ndarray.op.sample_negative_binomial,p,DF: None,DEFAULT None,D_TYPE,,D_STRUCTURE,,,"[0,1]",
mxnet.contrib.ndarray.quantized_conv,max_bias,Maximum value of bias.,Maximum value of PARAM,D_TYPE,,D_STRUCTURE,,,,
mxnet.contrib.ndarray.quantized_conv,max_bias,DD: NDArray,ONE_WORD D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
mxnet.contrib.ndarray.quantized_conv,max_bias,DF: None,DEFAULT None,D_TYPE,,D_STRUCTURE,,,,
mxnet.gluon.nn.MaxPool3D,ceil_mode,"When True, will use ceil instead of floor to compute the output shape.",When CONSTANT_BOOL will use ceil instead of floor to compute the output shape,D_TYPE,,,,CONSTANT_VAL,,
mxnet.gluon.nn.MaxPool3D,ceil_mode,"DD: bool, default False",D_TYPE default CONSTANT_BOOL,D_TYPE,,,,CONSTANT_VAL,,
mxnet.gluon.nn.MaxPool3D,ceil_mode,DF: False,DEFAULT CONSTANT_BOOL,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.broadcast_axes,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
mxnet.ndarray.op.broadcast_axes,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.op.broadcast_axes,out,DF: None,DEFAULT None,,,D_STRUCTURE,,,,
mxnet.ndarray.rmspropalex_update,lr,Learning rate,Learning rate,D_TYPE,,,,CONSTANT_VAL,"[0,1]",
mxnet.ndarray.rmspropalex_update,lr,"DD: float, required",D_TYPE required,D_TYPE,,,,CONSTANT_VAL,"[0,1]",
mxnet.ndarray.rmspropalex_update,lr,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,"[0,1]",
mxnet.ndarray.op.random_pdf_uniform,is_log,"If set, compute the density of the log-probability instead of the probability.",If set compute the density of the log probability instead of the probability,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.random_pdf_uniform,is_log,"DD: boolean, optional, default=0",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.random_pdf_uniform,is_log,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,,
mxnet.gluon.utils.split_data,data,A batch of data.,A batch of data,,,D_STRUCTURE,,,,
mxnet.gluon.utils.split_data,data,DD: NDArray,ONE_WORD D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.ndarray.op.reverse,axis,The axis which to reverse elements.,The axis which to reverse elements,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,,
mxnet.ndarray.op.reverse,axis,"DD: Shape(tuple), required",Shape BSTR required,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,,
mxnet.ndarray.op.reverse,axis,DF: _Null,DEFAULT Null,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,,
mxnet.contrib.ndarray.Proposal,threshold,"NMS value, below which to suppress.",NMS value below which to suppress,D_TYPE,,,,CONSTANT_VAL,,
mxnet.contrib.ndarray.Proposal,threshold,"DD: float, optional, default=0.699999988",D_TYPE optional default CONSTANT_FLOAT,D_TYPE,,,,CONSTANT_VAL,,
mxnet.contrib.ndarray.Proposal,threshold,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,,
mxnet.test_utils.verify_generator,nrepeat,The times to repeat the test,The times to repeat the test,D_TYPE,,,,CONSTANT_VAL,,
mxnet.test_utils.verify_generator,nrepeat,DD: int,ONE_WORD D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
mxnet.test_utils.verify_generator,nrepeat,DF: 5,DEFAULT CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.mp_lamb_update_phase1,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.mp_lamb_update_phase1,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",PARAM max BSTR,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.mp_lamb_update_phase1,clip_gradient,"DD: float, optional, default=-1",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.mp_lamb_update_phase1,clip_gradient,DF: _Null,DEFAULT Null,D_TYPE,,,,CONSTANT_VAL,,
