API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
torch.linspace,steps,DD: int,D_TYPE,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
torch.nn.TripletMarginLoss,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,,QSTR
torch.clamp,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addcdiv,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.logical_and,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.sum,dim,DD: int or tuple of python:ints,D_TYPE or D_STRUCTURE of python D_TYPE,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,,
torch.numel,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.is_tensor,obj,DD: Object,Object,,,,,,,
torch.nn.utils.spectral_norm,name,"DD: str, optional",D_TYPE optional,D_TYPE,,,,,,
torch.lobpcg,method,"DD: str, optional",D_TYPE optional,D_TYPE,,,,,,
torch.round,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.nn.CTCLoss,zero_infinity,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.utils.prune.random_unstructured,amount,DD: int or float,D_TYPE,D_TYPE,,,,CONSTANT_VAL,"int:[0,inf);torch.float32:[0,1]",
torch.rand,layout,"DD: `torch.layout`, optional",torch layout optional,,,,,,,
torch.nn.functional.nll_loss,ignore_index,"DD: int, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.addr,beta,"DD: Number, optional",Number optional,D_TYPE,,,,CONSTANT_VAL,,
torch.multinomial,generator,"DD: `torch.Generator`, optional",torch Generator optional,,,,,,,
torch.distributed.send,dst,DD: int,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.masked_select,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.cuda.set_rng_state,new_state,DD: torch.ByteTensor,D_TYPE,D_TYPE,,,,,,
torch.symeig,out,"DD: tuple, optional",D_STRUCTURE optional,,,D_STRUCTURE,BSTR,,,
torch.floor_divide,other,DD: Tensor or Scalar,D_STRUCTURE or Scalar,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
torch.addmm,mat1,DD: Tensor,D_STRUCTURE,D_TYPE,D_STRUCTURE,,,,,
torch.eye,requires_grad,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.MaxUnpool2d,padding,DD: int or tuple,D_TYPE or D_STRUCTURE,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,,
torch.autograd.functional.jacobian,strict,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.triu,diagonal,"DD: int, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.MultiLabelMarginLoss,reduce,"DD: bool, optional",D_TYPE optional,,,,,,,
torch.sigmoid,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.nn.ConvTranspose2d,groups,"DD: int, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
torch.triu_indices,row,DD: `int`,D_TYPE,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
torch.distributed.get_world_size,group,"DD: ProcessGroup, optional",ProcessGroup optional,,,,,,,
torch.nn.CrossEntropyLoss,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,,QSTR
torch.nn.utils.prune.remove,name,DD: str,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.pca_lowrank,niter,"DD: int, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
torch.nn.KLDivLoss,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,,QSTR
torch.empty_like,device,"DD: `torch.device`, optional",torch device optional,,,,,,,
torch.distributions.kl.kl_divergence,p,DD: Distribution,Distribution,,,,,,,
torch.nn.BCELoss,reduce,"DD: bool, optional",D_TYPE optional,,,,,,,
torch.narrow,start,DD: int,D_TYPE,D_TYPE,,,,,,
torch.logical_and,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.nn.MaxUnpool1d,stride,DD: int or tuple,D_TYPE or D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
torch.hub.download_url_to_file,url,DD: string,D_TYPE,D_TYPE,,,,,,
torch.distributed.all_gather,async_op,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.AdaptiveLogSoftmaxWithLoss,div_value,"DD: float, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.mode,out,"DD: tuple, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
torch.mm,input,DD: Tensor,D_STRUCTURE,D_TYPE,D_STRUCTURE,,,,,
torch.ne,other,DD: Tensor or float,D_STRUCTURE or D_TYPE,D_TYPE,D_STRUCTURE,,,,,
torch.nn.ConstantPad3d,padding,"DD: int, tuple",D_TYPE D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
torch.lu,get_infos,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.functional.embedding,padding_idx,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,,
torch.gt,out,"DD: Tensor, optional",D_STRUCTURE optional,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
torch.nn.utils.rnn.pack_padded_sequence,batch_first,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
