API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
tf.image.hsv_to_rgb,images,"A `Tensor`. Must be one of the following types: `half`, `bfloat16`, `float32`, `float64`. 1-D or higher rank. HSV data to convert. Last dimension must be size 3.",A D_STRUCTURE,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
tf.image.hsv_to_rgb,images,"A `Tensor`. Must be one of the following types: `half`, `bfloat16`, `float32`, `float64`. 1-D or higher rank. HSV data to convert. Last dimension must be size 3.",Must be one of the following types D_TYPE,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
tf.image.hsv_to_rgb,images,"A `Tensor`. Must be one of the following types: `half`, `bfloat16`, `float32`, `float64`. 1-D or higher rank. HSV data to convert. Last dimension must be size 3.",CONSTANT_NUM D or higher rank,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
tf.image.hsv_to_rgb,images,"A `Tensor`. Must be one of the following types: `half`, `bfloat16`, `float32`, `float64`. 1-D or higher rank. HSV data to convert. Last dimension must be size 3.",HSV data to convert,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
tf.image.hsv_to_rgb,images,"A `Tensor`. Must be one of the following types: `half`, `bfloat16`, `float32`, `float64`. 1-D or higher rank. HSV data to convert. Last dimension must be size 3.",Last dimension must be size CONSTANT_NUM,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
tf.debugging.assert_greater,x,Numeric `Tensor`.,D_TYPE D_STRUCTURE,D_TYPE,D_STRUCTURE,,,,,
tf.summary.write,name,Optional string name for this op.,Optional D_TYPE name for this op,D_TYPE,,,,CONSTANT_VAL,,
tf.summary.write,name,DF: None,DEFAULT None,D_TYPE,,,,CONSTANT_VAL,,
tf.nn.pool,name,Optional. Name of the op.,ONE_WORD Optional,D_TYPE,,,,CONSTANT_VAL,,
tf.nn.pool,name,Optional. Name of the op.,Name of the op,D_TYPE,,,,CONSTANT_VAL,,
tf.nn.pool,name,DF: None,DEFAULT None,D_TYPE,,,,CONSTANT_VAL,,
tf.keras.layers.Lambda,arguments,"Optional dictionary of keyword arguments to be passed to the function. Input shape: Arbitrary. Use the keyword argument input_shape (tuple of integers, does not include the samples axis) when using this layer as the first layer in a model. Output shape: Specified by `output_shape` argument",Optional D_STRUCTURE of keyword arguments to be passed to the PARAM,D_TYPE,,D_STRUCTURE,BSTR,CONSTANT_VAL,,
tf.keras.layers.Lambda,arguments,"Optional dictionary of keyword arguments to be passed to the function. Input shape: Arbitrary. Use the keyword argument input_shape (tuple of integers, does not include the samples axis) when using this layer as the first layer in a model. Output shape: Specified by `output_shape` argument",Input shape Arbitrary,D_TYPE,,D_STRUCTURE,BSTR,CONSTANT_VAL,,
tf.keras.layers.Lambda,arguments,"Optional dictionary of keyword arguments to be passed to the function. Input shape: Arbitrary. Use the keyword argument input_shape (tuple of integers, does not include the samples axis) when using this layer as the first layer in a model. Output shape: Specified by `output_shape` argument",Use the keyword argument input_shape BSTR when using this layer as the first layer in a model,D_TYPE,,D_STRUCTURE,BSTR,CONSTANT_VAL,,
tf.keras.layers.Lambda,arguments,"Optional dictionary of keyword arguments to be passed to the function. Input shape: Arbitrary. Use the keyword argument input_shape (tuple of integers, does not include the samples axis) when using this layer as the first layer in a model. Output shape: Specified by `output_shape` argument",Output shape Specified by PARAM argument,D_TYPE,,D_STRUCTURE,BSTR,CONSTANT_VAL,,
tf.keras.layers.Lambda,arguments,DF: None,DEFAULT None,D_TYPE,,D_STRUCTURE,BSTR,CONSTANT_VAL,,
tf.keras.layers.AveragePooling2D,pool_size,"integer or tuple of 2 integers, factors by which to downscale (vertical, horizontal).`(2, 2)` will halve the input in both spatial dimension. If only one integer is specified, the same window length will be used for both dimensions.",D_TYPE or D_STRUCTURE of CONSTANT_NUM D_TYPE factors by which to downscale BSTR BSTR will halve the input in both spatial dimension,D_TYPE,,D_STRUCTURE,BSTR,CONSTANT_VAL,"[0,inf)",
tf.keras.layers.AveragePooling2D,pool_size,"integer or tuple of 2 integers, factors by which to downscale (vertical, horizontal).`(2, 2)` will halve the input in both spatial dimension. If only one integer is specified, the same window length will be used for both dimensions.",If only one D_TYPE is specified the same window length will be used for both dimensions,D_TYPE,,D_STRUCTURE,BSTR,CONSTANT_VAL,"[0,inf)",
tf.keras.layers.AveragePooling2D,pool_size,"DF: (2, 2)",DEFAULT CONSTANT_NUM,D_TYPE,,D_STRUCTURE,BSTR,CONSTANT_VAL,"[0,inf)",
tf.ragged.constant,name,A name prefix for the returned tensor (optional).,A name prefix for the returned D_STRUCTURE BSTR,D_TYPE,,,,CONSTANT_VAL,,
tf.ragged.constant,name,DF: None,DEFAULT None,D_TYPE,,,,CONSTANT_VAL,,
tf.nn.sufficient_statistics,keepdims,produce statistics with the same dimensionality as the input.,produce statistics with the same dimensionality as the input,D_TYPE,,,,CONSTANT_VAL,,
tf.nn.sufficient_statistics,keepdims,DF: False,DEFAULT CONSTANT_BOOL,D_TYPE,,,,CONSTANT_VAL,,
tf.keras.layers.Conv2D,bias_regularizer,Regularizer function applied to the bias vector.,Regularizer function applied to the bias vector,,,,,,,
tf.keras.layers.Conv2D,bias_regularizer,DF: None,DEFAULT None,,,,,,,
tf.keras.layers.MaxPool1D,padding,"One of `""valid""` or `""same""` (case-insensitive).",One of QSTR BSTR,D_TYPE,,,,,,QSTR
tf.keras.layers.MaxPool1D,padding,DF: valid,DEFAULT DF_STR,D_TYPE,,,,,,QSTR
tf.image.non_max_suppression_overlaps,overlaps,"A 2-D float `Tensor` of shape `[num_boxes, num_boxes]`.",A CONSTANT_NUM D D_TYPE D_STRUCTURE of shape BSTR,D_TYPE,D_STRUCTURE,,BSTR,CONSTANT_VAL,,
tf.keras.utils.plot_model,model,A Keras model instance,A Keras model instance,,,,,,,
tf.image.non_max_suppression,score_threshold,A float representing the threshold for deciding when to remove boxes based on score.,A D_TYPE representing the threshold for deciding when to remove PARAM based on score,D_TYPE,,,,CONSTANT_VAL,,
tf.image.non_max_suppression,score_threshold,DF: float(-inf),D_TYPE BSTR,D_TYPE,,,,CONSTANT_VAL,,
tf.keras.layers.LSTM,time_major,"The shape format of the `inputs` and `outputs` tensors. If True, the inputs and outputs will be in shape`[timesteps, batch, feature]`, whereas in the False case, it will be`[batch, timesteps, feature]`. Using `time_major = True` is a bit more efficient because it avoids transposes at the beginning and end of the RNN calculation. However, most TensorFlow data is batch-major, so by default this function accepts input and emits output in batch-major form.",The shape format of the QSTR D_STRUCTURE,D_TYPE,,,BSTR,CONSTANT_VAL,"[0,inf)",
tf.keras.layers.LSTM,time_major,"The shape format of the `inputs` and `outputs` tensors. If True, the inputs and outputs will be in shape`[timesteps, batch, feature]`, whereas in the False case, it will be`[batch, timesteps, feature]`. Using `time_major = True` is a bit more efficient because it avoids transposes at the beginning and end of the RNN calculation. However, most TensorFlow data is batch-major, so by default this function accepts input and emits output in batch-major form.",If CONSTANT_BOOL the inputs and outputs will be in shape BSTR whereas in the CONSTANT_BOOL case it will be BSTR,D_TYPE,,,BSTR,CONSTANT_VAL,"[0,inf)",
tf.keras.layers.LSTM,time_major,"The shape format of the `inputs` and `outputs` tensors. If True, the inputs and outputs will be in shape`[timesteps, batch, feature]`, whereas in the False case, it will be`[batch, timesteps, feature]`. Using `time_major = True` is a bit more efficient because it avoids transposes at the beginning and end of the RNN calculation. However, most TensorFlow data is batch-major, so by default this function accepts input and emits output in batch-major form.",Using time_major CONSTANT_BOOL is a bit more efficient because it avoids transposes at the beginning and end of the RNN calculation,D_TYPE,,,BSTR,CONSTANT_VAL,"[0,inf)",
tf.keras.layers.LSTM,time_major,"The shape format of the `inputs` and `outputs` tensors. If True, the inputs and outputs will be in shape`[timesteps, batch, feature]`, whereas in the False case, it will be`[batch, timesteps, feature]`. Using `time_major = True` is a bit more efficient because it avoids transposes at the beginning and end of the RNN calculation. However, most TensorFlow data is batch-major, so by default this function accepts input and emits output in batch-major form.",However most TensorFlow data is batch major so by default this function accepts input and emits output in batch major form,D_TYPE,,,BSTR,CONSTANT_VAL,"[0,inf)",
tf.keras.layers.LSTM,time_major,DF: False,DEFAULT CONSTANT_BOOL,D_TYPE,,,BSTR,CONSTANT_VAL,"[0,inf)",
tf.numpy_function,func,"A Python function, which accepts `numpy.ndarray` objects as arguments and returns a list of `numpy.ndarray` objects (or a single`numpy.ndarray`). This function must accept as many arguments as there are tensors in `inp`, and these argument types will match the corresponding`tf.Tensor` objects in `inp`. The returns `numpy.ndarray`s must match the number and types defined `Tout`. Important Note: Input and output `numpy.ndarray`s of `func` are not guaranteed to be copies. In some cases their underlying memory will be shared with the corresponding TensorFlow tensors. In-place modification or storing `func` input or return values in python datastructures without explicit (np.)copy can have non-deterministic consequences.",A Python function which accepts numpy D_STRUCTURE objects as arguments and returns a D_STRUCTURE of numpy D_STRUCTURE objects or a single numpy D_STRUCTURE,,,,,,,
