API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
mxnet.gluon.utils.split_data,data,A batch of data.,A batch of data,,,,,,,
mxnet.contrib.quantization.quantize_model,excluded_sym_names,A list of strings representing the names of the symbols that users want to excluding from being quantized.,A D_STRUCTURE of D_TYPE representing the names of the symbols that users want to excluding from being quantized,D_TYPE,,D_STRUCTURE,,,,
mxnet.ndarray.contrib.quantized_flatten,data,A ndarray/symbol of type float32,A D_STRUCTURE symbol of type D_TYPE,D_TYPE,,D_STRUCTURE,,,,
mxnet.ndarray.contrib.quantize_v2,data,A ndarray/symbol of type float32,A D_STRUCTURE symbol of type D_TYPE,D_TYPE,,D_STRUCTURE,,,,
mxnet.contrib.quantization.quantize_model,calib_data,A data iterator initialized by the calibration dataset.,A data iterator initialized by the calibration dataset,,,,,,,
mxnet.test_utils.verify_generator,generator,A function that is assumed to generate i.i.d samples from a specific distribution.generator(N) should generate N random samples.,A function that is assumed to generate i i d samples from a specific distribution generator BSTR should generate N random samples,,,,,,,
mxnet.ndarray.op.lamb_update_phase1,epsilon,A small constant for numerical stability.,A small constant for numerical stability,numeric,,,,0,,
mxnet.ndarray.op.InstanceNorm,beta,"A vector of length 'channel', which is added to the product of the normalized input and the weight.",A D_STRUCTURE of length QSTR which is added to the product of the normalized input and the weight,,,D_STRUCTURE,[BSTR],1,,
mxnet.test_utils.get_zip_data,data_dir,Absolute or relative path of the directory name to store zip files,Absolute or relative path of the directory name to store zip files,string,,,,0,,
mxnet.ndarray.contrib.allclose,atol,Absolute tolerance.,Absolute tolerance,,,,,,"[0,inf)",
mxnet.gluon.nn.Conv3DTranspose,activation,"Activation function to use. See `Activation()`. If you don't specify anything, no activation is applied (ie. ""linear"" activation: a(x) = x).",Activation function to use,,,,,,,
mxnet.ndarray.contrib.Proposal,output_score,Add score to outputs,Add score to outputs,,,,,,,
mxnet.ndarray.random.multinomial,data,"An n dimensional array whose last dimension has length k, where k is the number of possible outcomes of each multinomial distribution. For example, data with shape (m, n, k) specifies m*n multinomial distributions each with k possible outcomes.",An n dimensional D_STRUCTURE whose last dimension has length k where k is the number of possible outcomes of each multinomial distribution,,,D_STRUCTURE,,,,
mxnet.ndarray.ones,ctx,An optional device context. Defaults to the current default context (`mxnet.context.current_context()`).,An optional device context,,,,,,,
mxnet.ndarray.empty,ctx,An optional device context (default is the current default context).,An optional device context BSTR,,,,,,,
mxnet.gluon.nn.Conv2DTranspose,groups,"Controls the connections between inputs and outputs. At groups=1, all inputs are convolved to all outputs. At groups=2, the operation becomes equivalent to having two conv layers side by side, each seeing half the input channels, and producing half the output channels, and both subsequently concatenated.",At groups CONSTANT_NUM all inputs are convolved to all outputs,,,,,,,CONSTANT_NUM
mxnet.gluon.nn.Conv2DTranspose,groups,"Controls the connections between inputs and outputs. At groups=1, all inputs are convolved to all outputs. At groups=2, the operation becomes equivalent to having two conv layers side by side, each seeing half the input channels, and producing half the output channels, and both subsequently concatenated.",At groups CONSTANT_NUM the operation becomes equivalent to having two conv layers side by side each seeing half the input PARAM and producing half the output PARAM and both subsequently concatenated,,,,,,,CONSTANT_NUM
mxnet.io.ImageDetRecordIter,mean_img,Augmentation Param: Mean Image to be subtracted.,Augmentation Param Mean Image to be subtracted,numeric,,,,,,
mxnet.io.ImageDetRecordIter,min_crop_overlaps,Augmentation Param: Minimum crop IOU between crop_box and ground-truths.,Augmentation Param Minimum crop IOU between crop_box and ground truths,numeric,,,,,,
mxnet.io.ImageDetRecordIter,min_crop_object_coverages,Augmentation Param: Minimum ratio of intersect/gt_area between crop box and ground-truths.,Augmentation Param Minimum ratio of intersect gt_area between crop box and ground truths,numeric,,,,,,
mxnet.io.ImageDetRecordIter,std_b,Augmentation Param: Standard deviation on B channel.,Augmentation Param Standard deviation on B channel,numeric,,,,,,
mxnet.io.ImageDetRecordIter,std_r,Augmentation Param: Standard deviation on R channel.,Augmentation Param Standard deviation on R channel,numeric,,,,,,
mxnet.io.CSVIter,batch_size,Batch size.,Batch size,int,,,,,"[0,inf)",
mxnet.ndarray.sparse.FullyConnected,bias,Bias parameter.,Bias parameter,,,,,,,
mxnet.image.imdecode,buf,Binary image data as string or numpy ndarray.,Binary image data as D_TYPE or numpy D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
mxnet.ndarray.space_to_depth,block_size,Blocks of [block_size. block_size] are moved,block_size are moved,,,,,,,
mxnet.ndarray.space_to_depth,block_size,Blocks of [block_size. block_size] are moved,Blocks of block_size,,,,,,,
mxnet.image.CreateAugmenter,rand_gray,"[0, 1], probability to convert to grayscale for all channels, the number of channels will not be reduced to 1",BSTR probability to convert to grayscale for all channels the number of channels will not be reduced to CONSTANT_NUM,numeric,,,,CONSTANT_NUM,"[0,1];BSTR",
mxnet.ndarray.contrib.box_encode,matches,"(B, N) value range [0, M)",BSTR value range BSTR,,,,BSTR,,BSTR,
mxnet.ndarray.load_frombuffer,buf,Buffer containing contents of a file as a string or bytes.,Buffer containing contents of a file as a D_TYPE or bytes,D_TYPE,,,,,,
mxnet.image.CreateAugmenter,inter_method,"Interpolation method for all resizing operations Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). ",But when the image is zoomed it is similar to the Nearest Neighbors method,,,,,,,
mxnet.ndarray.op.repeat,axis,"The axis along which to repeat values. The negative numbers are interpreted counting from the backward. By default, use the flattened input array, and return a flat output array.",By default use the flattened input D_STRUCTURE and return a flat output D_STRUCTURE,,,,,,,
mxnet.ndarray.slice_like,axes,List of axes on which input data will be sliced according to the corresponding size of the second input. By default will slice on all axes. Negative axes are supported.,By default will slice on all axes,,,,,,,
mxnet.ndarray.moveaxis,source,Original position of the axes to move. Can be negative but must be unique.,Can be negative but must be unique,,,,,,,
mxnet.gluon.rnn.BidirectionalCell,r_cell,Cell for backward unrolling,Cell for backward unrolling,,,,,,,
mxnet.io.ImageRecordIter,max_random_area,"Change the area (namely width * height) to a random value in `[min_random_area, max_random_area]`. Ignored if `random_resized_crop` is False.",Change the area BSTR to a random value in BSTR,,,,,,,
mxnet.io.ImageRecordIter,max_aspect_ratio,"Change the aspect (namely width/height) to a random value. If min_aspect_ratio is None then the aspect ratio ins sampled from [1 - max_aspect_ratio, 1 + max_aspect_ratio], else it is in `[min_aspect_ratio, max_aspect_ratio]`",Change the aspect BSTR to a random value,,,,,,,
mxnet.ndarray.op.multi_mp_sgd_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,,,0,,
mxnet.ndarray.multi_sgd_mom_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,,,0,,
mxnet.ndarray.contrib.quadratic,b,Coefficient of the linear term in the quadratic function.,Coefficient of the linear term in the quadratic function,numeric,,,,,,
mxnet.ndarray.Embedding,sparse_grad,"Compute row sparse gradient in the backward calculation. If set to True, the grad's storage type is row_sparse.",Compute row sparse gradient in the backward calculation,,,,,,,
