API,Arg,Descp,Normalized_descp,dtype,structure,shape,ndim,range,enum
torch.linspace,steps,number of points to sample between `start` and `end`. Default: `100`.,number of points to sample between PARAM and PARAM,D_TYPE,,CONSTANT_VAL,"[0,inf)",
torch.linspace,steps,number of points to sample between `start` and `end`. Default: `100`.,Default CONSTANT_NUM,D_TYPE,,CONSTANT_VAL,"[0,inf)",
torch.linspace,steps,DD: int,ONE_WORD D_TYPE,D_TYPE,,CONSTANT_VAL,"[0,inf)",
torch.linspace,steps,DF: 100,DEFAULT CONSTANT_NUM,D_TYPE,,CONSTANT_VAL,"[0,inf)",
torch.nn.functional.adaptive_avg_pool1d,output_size,the target output size (single integer),the target output size BSTR,D_TYPE,,CONSTANT_VAL,"[0,inf)",
torch.nn.TripletMarginLoss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Specifies the reduction to apply to the output QSTR QSTR QSTR,D_TYPE,,,,QSTR
torch.nn.TripletMarginLoss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",QSTR no reduction will be applied QSTR the sum of the output will be divided by the number of elements in the output QSTR the output will be summed,D_TYPE,,,,QSTR
torch.nn.TripletMarginLoss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Note PARAM and PARAM are in the process of being deprecated and in the meantime specifying either of those two args will override QSTR,D_TYPE,,,,QSTR
torch.nn.TripletMarginLoss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Default QSTR,D_TYPE,,,,QSTR
torch.nn.TripletMarginLoss,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,QSTR
torch.nn.TripletMarginLoss,reduction,DF: mean,DEFAULT DF_STR,D_TYPE,,,,QSTR
torch.clamp,input,the input tensor.,the input D_STRUCTURE,,D_STRUCTURE,,,,
torch.clamp,input,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,
torch.addcdiv,input,the tensor to be added,the D_STRUCTURE to be added,,D_STRUCTURE,,,,
torch.addcdiv,input,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,
torch.logical_and,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,
