,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
0,tf.keras.backend.function,**kwargs,Passed to `tf.Session.run`.,Passed to tf Session run,,,,,,,
1,tf.keras.layers.DenseFeatures,**kwargs,Keyword arguments to construct a layer.,Keyword arguments to construct a layer,,,,,,,
2,tf.keras.layers.dot,**kwargs,Standard layer keyword arguments.,Standard layer keyword arguments,,,,,,,
3,tf.keras.preprocessing.image.save_img,**kwargs,Additional keyword arguments passed to `PIL.Image.save()`.,Additional keyword arguments passed to PIL Image save,,,,,,,
4,tf.nn.RNNCellDropoutWrapper,**kwargs,dict of keyword arguments for base layer.,D_STRUCTURE of keyword arguments for base layer,,,D_STRUCTURE,,,,
5,tf.linalg.matrix_rank,a,(Batch of) `float`-like matrix-shaped `Tensor`(s) which are to be pseudo-inverted.,BSTR which are to be pseudo inverted,float,tensor,,,,,
6,tf.sets.difference,a,"`Tensor` or `SparseTensor` of the same type as `b`. If sparse, indices must be sorted in row-major order.",D_STRUCTURE of the same type as QSTR,&QSTR,D_STRUCTURE,,,,,
7,tf.sets.difference,a,"`Tensor` or `SparseTensor` of the same type as `b`. If sparse, indices must be sorted in row-major order.",If sparse indices must be sorted in row major order,,,,,,,
8,tf.sets.intersection,a,"`Tensor` or `SparseTensor` of the same type as `b`. If sparse, indices must be sorted in row-major order.",D_STRUCTURE of the same type as QSTR,&QSTR,D_STRUCTURE,,,,,
9,tf.sets.intersection,a,"`Tensor` or `SparseTensor` of the same type as `b`. If sparse, indices must be sorted in row-major order.",If sparse indices must be sorted in row major order,,,,,,,
10,tf.sets.size,a,"`SparseTensor`, with indices sorted in row-major order.",D_STRUCTURE with indices sorted in row major order,,D_STRUCTURE,,,,,
11,tf.linalg.matvec,a_is_sparse,"If `True`, `a` is treated as a sparse matrix.",If CONSTANT_BOOL QSTR is treated as a sparse matrix,bool,,,,0,,
12,tf.keras.layers.LocallyConnected2D,activation,"Activation function to use. If you don't specify anything, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",If you don t specify anything no activation is applied ie,,,,,,,
13,tf.keras.layers.LocallyConnected2D,activation,"Activation function to use. If you don't specify anything, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",QSTR activation a BSTR x,,,,,,,
14,tf.keras.layers.LocallyConnected2D,activation,"Activation function to use. If you don't specify anything, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",activation function to use,,,,,,,
15,tf.keras.layers.LSTMCell,activation,"Activation function to use. Default: hyperbolic tangent (`tanh`). If you pass `None`, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",Default hyperbolic tangent QSTR,,,,,,,
