API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
tf.keras.layers.LocallyConnected1D,implementation,"implementation mode, either `1`, `2`, or `3`.`1` loops over input spatial locations to perform the forward pass. It is memory-efficient but performs a lot of (small) ops.`2` stores layer weights in a dense but sparsely-populated 2D matrix and implements the forward pass as a single matrix-multiply. It uses a lot of RAM but performs few (large) ops.`3` stores layer weights in a sparse tensor and implements the forward pass as a single sparse matrix-multiply.How to choose:`1`: large, dense models,`2`: small models,`3`: large, sparse models,where ""large"" stands for large input/output activations (i.e. many `filters`, `input_filters`, large `input_size`,`output_size`), and ""sparse"" stands for few connections between inputs and outputs, i.e. small ratio`filters * input_filters * kernel_size / (input_size * strides)`, where inputs to and outputs of the layer are assumed to have shapes`(input_size, input_filters)`, `(output_size, filters)`respectively.It is recommended to benchmark each in the setting of interest to pick the most efficient one (in terms of speed and memory usage). Correct choice of implementation can lead to dramatic speed improvements (e.g. 50X), potentially at the expense of RAM.Also, only `padding=""valid""` is supported by `implementation=1`.",50X potentially at the expense of RAM Also only PARAM QSTR is supported by implementation CONSTANT_NUM,,,,,,,
tf.range,limit,"A 0-D `Tensor` (scalar). Upper limit of sequence, exclusive. If None, defaults to the value of `start` while the first entry of the range defaults to 0.",A CONSTANT_NUM D D_STRUCTURE BSTR,,D_STRUCTURE,,,CONSTANT_NUM,,
tf.nn.conv1d_transpose,input,"A 3-D `Tensor` of type `float` and shape`[batch, in_width, in_channels]` for `NWC` data format or`[batch, in_channels, in_width]` for `NCW` data format.",A CONSTANT_NUM D D_STRUCTURE of type D_TYPE and shape BSTR for QSTR data format or BSTR for QSTR data format,D_TYPE,D_STRUCTURE,,BSTR,CONSTANT_NUM,,
tf.random.stateless_truncated_normal,stddev,"A 0-D Tensor or Python value of type `dtype`. The standard deviation of the normal distribution, before truncation.",A CONSTANT_NUM D D_STRUCTURE or Python value of type PARAM,PARAM,D_STRUCTURE,,,CONSTANT_NUM,,
tf.math.segment_min,segment_ids,"A `Tensor`. Must be one of the following types: `int32`, `int64`. A 1-D tensor whose size is equal to the size of `data`'s first dimension.  Values should be sorted and can be repeated.",A CONSTANT_NUM D D_STRUCTURE whose size is equal to the size of PARAMs first dimension,,D_STRUCTURE,,&PARAM,CONSTANT_NUM,,
tf.sparse.segment_sqrt_n,indices,A 1-D `Tensor` with indices into `data`. Has same rank as`segment_ids`.,A CONSTANT_NUM D D_STRUCTURE with indices into PARAM,,D_STRUCTURE,,,CONSTANT_NUM,,
tf.nn.atrous_conv2d_transpose,filters,"A 4-D `Tensor` with the same type as `value` and shape`[filter_height, filter_width, out_channels, in_channels]`. `filters`'`in_channels` dimension must match that of `value`. Atrous convolution is equivalent to standard convolution with upsampled filters with effective height `filter_height + (filter_height - 1) * (rate - 1)` and effective width `filter_width + (filter_width - 1) * (rate - 1)`, produced by inserting `rate - 1` zeros along consecutive elements across the`filters`' spatial dimensions.",A CONSTANT_NUM D D_STRUCTURE with the same type as PARAM and shape BSTR,&PARAM,D_STRUCTURE,,BSTR,CONSTANT_NUM,,
tf.image.non_max_suppression_overlaps,overlaps,"A 2-D float `Tensor` of shape `[num_boxes, num_boxes]`.",A CONSTANT_NUM D D_TYPE D_STRUCTURE of shape BSTR,,D_STRUCTURE,,BSTR,CONSTANT_NUM,,
tf.image.non_max_suppression_overlaps,scores,A 1-D float `Tensor` of shape `[num_boxes]` representing a single score corresponding to each box (each row of boxes).,A CONSTANT_NUM D D_TYPE D_STRUCTURE of shape BSTR representing a single score corresponding to each box BSTR,,D_STRUCTURE,,BSTR,CONSTANT_NUM,,
tf.nn.batch_norm_with_global_normalization,mean,"A 1D mean Tensor with size matching the last dimension of t. This is the first output from tf.nn.moments, or a saved moving average thereof.",A CONSTANT_NUM D mean D_STRUCTURE with size matching the last dimension of t This is the first output from tf nn moments or a saved moving average thereof,,D_STRUCTURE,,,CONSTANT_NUM,,
tf.zeros_like,input,A `Tensor`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.expand_dims,input,A `Tensor`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.math.l2_normalize,x,A `Tensor`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.bitcast,input,"A `Tensor`. Must be one of the following types: `bfloat16`, `half`, `float32`, `float64`, `int64`, `int32`, `uint8`, `uint16`, `uint32`, `uint64`, `int8`, `int16`, `complex64`, `complex128`, `qint8`, `quint8`, `qint16`, `quint16`, `qint32`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.debugging.check_numerics,tensor,"A `Tensor`. Must be one of the following types: `bfloat16`, `half`, `float32`, `float64`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.math.betainc,a,"A `Tensor`. Must be one of the following types: `float32`, `float64`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.nn.selu,features,"A `Tensor`. Must be one of the following types: `half`, `bfloat16`, `float32`, `float64`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.linspace,num,"A `Tensor`. Must be one of the following types: `int32`, `int64`. 0-D tensor. Number of values to generate.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.space_to_batch_nd,paddings,"A `Tensor`. Must be one of the following types: `int32`, `int64`. 2-D with shape `[M, 2]`, all values must be >= 0.`paddings[i] = [pad_start, pad_end]` specifies the padding for input dimension`i + 1`, which corresponds to spatial dimension `i`.  It is required that`block_shape[i]` divides `input_shape[i + 1] + pad_start + pad_end`.This operation is equivalent to the following steps: Zero-pad the start and end of dimensions `[1, ..., M]` of the input according to `paddings` to produce `padded` of shape `padded_shape`.Reshape `padded` to `reshaped_padded` of shape:[batch] + [padded_shape[1] / block_shape[0],  block_shape[0], ..., padded_shape[M] / block_shape[M-1], block_shape[M-1]] + remaining_shapePermute dimensions of `reshaped_padded` to produce`permuted_reshaped_padded` of shape:block_shape + [batch] + [padded_shape[1] / block_shape[0], ..., padded_shape[M] / block_shape[M-1]] + remaining_shapeReshape `permuted_reshaped_padded` to flatten `block_shape` into the batch dimension, producing an output tensor of shape:[batch * prod(block_shape)] + [padded_shape[1] / block_shape[0], ..., padded_shape[M] / block_shape[M-1]] + remaining_shape Some examples:(1) For the following input of shape `[1, 2, 2, 1]`, `block_shape = [2, 2]`, and   `paddings = [[0, 0], [0, 0]]`:",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.math.segment_min,segment_ids,"A `Tensor`. Must be one of the following types: `int32`, `int64`. A 1-D tensor whose size is equal to the size of `data`'s first dimension.  Values should be sorted and can be repeated.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.image.sample_distorted_bounding_box,image_size,"A `Tensor`. Must be one of the following types: `uint8`, `int8`,`int16`, `int32`, `int64`. 1-D, containing `[height, width, channels]`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.math.polygamma,x,A `Tensor`. Must have the same type as `a`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.linalg.cross,b,"A `Tensor`. Must have the same type as `a`. Another tensor, of same type and shape as `a`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.linalg.triangular_solve,rhs,"A `Tensor`. Must have the same type as `matrix`. Shape is `[..., M, K]`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.dtypes.complex,imag,A `Tensor`. Must have the same type as `real`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.linspace,stop,A `Tensor`. Must have the same type as `start`. 0-D tensor. Last entry in the range.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.bitwise.right_shift,y,A `Tensor`. Must have the same type as `x`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.math.greater,y,A `Tensor`. Must have the same type as `x`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.space_to_batch,input,"A `Tensor`. N-D with shape `input_shape = [batch] + spatial_shape + remaining_shape`, where spatial_shape has `M` dimensions.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.tensor_scatter_nd_add,tensor,A `Tensor`. Tensor to copy/update.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.keras.backend.binary_crossentropy,output,A tensor.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.keras.backend.local_conv1d,kernel_size,"a tuple of a single integer, specifying the length of the 1D convolution window.",a D_STRUCTURE of a single D_TYPE specifying the length of the CONSTANT_NUM D convolution window,D_TYPE,,D_STRUCTURE,[1],1,"[0,inf)",
tf.gradients,stop_gradients,Optional. A `Tensor` or list of tensors not to differentiate through.,A D_STRUCTURE of D_STRUCTURE not to differentiate through,,D_STRUCTURE,D_STRUCTURE,,,,
tf.parallel_stack,values,A list of `Tensor` objects with the same shape and type.,A D_STRUCTURE of D_STRUCTURE objects with the same shape and type,,D_STRUCTURE,D_STRUCTURE,,,,
tf.io.decode_proto,field_names,"A list of `strings`. List of strings containing proto field names. An extension field can be decoded by using its full name, e.g. EXT_PACKAGE.EXT_FIELD_NAME.",A D_STRUCTURE of D_TYPE,D_TYPE,,D_STRUCTURE,,,,
tf.graph_util.import_graph_def,return_elements,A list of strings containing operation names in`graph_def` that will be returned as `Operation` objects; and/or tensor names in `graph_def` that will be returned as `Tensor` objects.,A D_STRUCTURE of D_TYPE containing operation names in PARAM that will be returned as QSTR objects and or D_STRUCTURE names in PARAM that will be returned as D_STRUCTURE objects,D_TYPE,,D_STRUCTURE,,,,
tf.nn.fractional_avg_pool,pooling_ratio,"A list of `floats` that has length >= 4.  Pooling ratio for each dimension of `value`, currently only supports row and col dimension and should be >= 1.0. For example, a valid pooling ratio looks like [1.0, 1.44, 1.73, 1.0]. The first and last elements must be 1.0 because we don't allow pooling on batch and channels dimensions.  1.44 and 1.73 are pooling ratio on height and width dimensions respectively.",A D_STRUCTURE of D_TYPE that has length REXPR,D_TYPE,,D_STRUCTURE,[REXPR],1,,
tf.nn.erosion2d,dilations,"A list of `ints` that has length `>= 4`. 1-D of length 4. The input stride for atrous morphological dilation. Must be: `[1, rate_height, rate_width, 1]`.",A D_STRUCTURE of D_TYPE that has length REXPR,D_TYPE,,D_STRUCTURE,[REXPR],1,,
tf.extract_volume_patches,strides,"A list of `ints` that has length `>= 5`. 1-D of length 5. How far the centers of two consecutive patches are in`input`. Must be: `[1, stride_planes, stride_rows, stride_cols, 1]`.",A D_STRUCTURE of D_TYPE that has length REXPR,D_TYPE,,D_STRUCTURE,[REXPR],1,,
tf.keras.layers.average,inputs,A list of input tensors (at least 2).,A D_STRUCTURE of input D_STRUCTURE BSTR,,D_STRUCTURE,D_STRUCTURE,,,,
tf.control_dependencies,control_inputs,"A list of `Operation` or `Tensor` objects which must be executed or computed before running the operations defined in the context. Can also be `None` to clear the control dependencies. If eager execution is enabled, any callable object in the `control_inputs` list will be called.",A D_STRUCTURE of QSTR or D_STRUCTURE objects which must be executed or computed before running the operations defined in the context,,D_STRUCTURE,D_STRUCTURE,,,,
tf.nn.nce_loss,weights,"A `Tensor` of shape `[num_classes, dim]`, or a list of `Tensor`objects whose concatenation along dimension 0 has shape [num_classes, dim].  The (possibly-partitioned) class embeddings.",A D_STRUCTURE of shape BSTR or a D_STRUCTURE of D_STRUCTUREobjects whose concatenation along dimension CONSTANT_NUM has shape BSTR,,D_STRUCTURE,D_STRUCTURE,BSTR,,,
