API,Type,Count,Input,Unnamed: 4
mxnet.contrib.autograd.mark_variables,Segmentation_Fault,442,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.contrib.autograd.mark_variables.yaml_workdir/Segmentation_Fault_script_record,mx9
mxnet.contrib.ndarray.arange_like,Abort,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.contrib.ndarray.arange_like.yaml_workdir/Abort_script_record,
mxnet.gluon.contrib.nn.pixelshuffle1d,Floating_Point_Exception,19,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.contrib.nn.pixelshuffle1d.yaml_workdir/Floating_Point_Exception_script_record,mx16
mxnet.gluon.contrib.nn.pixelshuffle1d,Abort,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.contrib.nn.pixelshuffle1d.yaml_workdir/Abort_script_record,
mxnet.gluon.contrib.nn.pixelshuffle2d,Floating_Point_Exception,15,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.contrib.nn.pixelshuffle2d.yaml_workdir/Floating_Point_Exception_script_record,mx16
mxnet.gluon.contrib.nn.pixelshuffle1d,Segmentation_Fault,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.contrib.nn.pixelshuffle1d.yaml_workdir/Segmentation_Fault_script_record,cannot reproduce
mxnet.gluon.contrib.nn.pixelshuffle1d,timeout,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.contrib.nn.pixelshuffle1d.yaml_workdir/timeout_script_record,
mxnet.gluon.contrib.nn.pixelshuffle3d,Floating_Point_Exception,21,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.contrib.nn.pixelshuffle3d.yaml_workdir/Floating_Point_Exception_script_record,mx16
mxnet.gluon.contrib.nn.pixelshuffle2d,timeout,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.contrib.nn.pixelshuffle2d.yaml_workdir/timeout_script_record,
mxnet.gluon.nn.elu,Floating_Point_Exception,24,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.nn.elu.yaml_workdir/Floating_Point_Exception_script_record,mx17
mxnet.gluon.model_zoo.vision.alexnet,timeout,8,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.model_zoo.vision.alexnet.yaml_workdir/timeout_script_record,
mxnet.gluon.model_zoo.vision.vgg11_bn,timeout,125,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.model_zoo.vision.vgg11_bn.yaml_workdir/timeout_script_record,
mxnet.gluon.model_zoo.vision.vgg11,timeout,111,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.model_zoo.vision.vgg11.yaml_workdir/timeout_script_record,
mxnet.gluon.model_zoo.vision.vgg13_bn,timeout,125,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.model_zoo.vision.vgg13_bn.yaml_workdir/timeout_script_record,
mxnet.gluon.model_zoo.vision.vgg13,timeout,112,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.gluon.model_zoo.vision.vgg13.yaml_workdir/timeout_script_record,
