API,Type,Count,Input,Unnamed: 4,Unnamed: 5
torch.abs,timeout,64,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.abs.yaml_workdir/timeout_script_record,,
torch.acos,timeout,26,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.acos.yaml_workdir/timeout_script_record,,
torch.add,timeout,29,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.add.yaml_workdir/timeout_script_record,,
torch.allclose,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.allclose.yaml_workdir/timeout_script_record,,
torch.angle,timeout,66,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.angle.yaml_workdir/timeout_script_record,,
torch.argmax,timeout,138,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.argmax.yaml_workdir/timeout_script_record,,
torch.argmin,timeout,128,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.argmin.yaml_workdir/timeout_script_record,,
torch.argsort,timeout,16,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.argsort.yaml_workdir/timeout_script_record,,
torch.asin,timeout,23,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.asin.yaml_workdir/timeout_script_record,,
torch.atan2,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.atan2.yaml_workdir/timeout_script_record,,
torch.atan,timeout,43,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.atan.yaml_workdir/timeout_script_record,,
torch.bincount,timeout,14,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bincount.yaml_workdir/timeout_script_record,,
torch.bitwise_and,timeout,14,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bitwise_and.yaml_workdir/timeout_script_record,,
torch.bitwise_not,timeout,43,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bitwise_not.yaml_workdir/timeout_script_record,,
torch.bitwise_or,timeout,15,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bitwise_or.yaml_workdir/timeout_script_record,,
torch.bitwise_xor,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bitwise_xor.yaml_workdir/timeout_script_record,,
torch.cdist,timeout,17,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cdist.yaml_workdir/timeout_script_record,,
torch.ceil,timeout,70,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.ceil.yaml_workdir/timeout_script_record,,
torch.cholesky_solve,timeout,45,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cholesky_solve.yaml_workdir/timeout_script_record,,
torch.cholesky,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cholesky.yaml_workdir/timeout_script_record,,
torch.combinations,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.combinations.yaml_workdir/timeout_script_record,,
torch.conj,timeout,65,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.conj.yaml_workdir/timeout_script_record,,
torch.cosh,timeout,21,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cosh.yaml_workdir/timeout_script_record,,
torch.cos,timeout,40,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cos.yaml_workdir/timeout_script_record,,
torch.cuda.comm.broadcast_coalesced,timeout,57,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.comm.broadcast_coalesced.yaml_workdir/timeout_script_record,,
torch.cuda.comm.broadcast,timeout,49,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.comm.broadcast.yaml_workdir/timeout_script_record,,
torch.cuda.comm.gather,timeout,49,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.comm.gather.yaml_workdir/timeout_script_record,,
torch.cuda.comm.scatter,timeout,78,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.comm.scatter.yaml_workdir/timeout_script_record,,
torch.cuda.nvtx.mark,timeout,24,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.nvtx.mark.yaml_workdir/timeout_script_record,,
torch.cuda.nvtx.range_push,timeout,23,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.nvtx.range_push.yaml_workdir/timeout_script_record,,
torch.cuda.set_rng_state,timeout,190,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.set_rng_state.yaml_workdir/timeout_script_record,,
torch.cumprod,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cumprod.yaml_workdir/timeout_script_record,,
torch.cumsum,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cumsum.yaml_workdir/timeout_script_record,,
torch.det,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.det.yaml_workdir/timeout_script_record,,
torch.diag_embed,timeout,26,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.diag_embed.yaml_workdir/timeout_script_record,,
torch.diagflat,Kill,15,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.diagflat.yaml_workdir/Kill_script_record,,
torch.diagflat,timeout,236,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.diagflat.yaml_workdir/timeout_script_record,,
torch.diag,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.diag.yaml_workdir/timeout_script_record,,
torch.digamma,timeout,20,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.digamma.yaml_workdir/timeout_script_record,,
torch.distributed.all_reduce,timeout,11,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.distributed.all_reduce.yaml_workdir/timeout_script_record,,
