API,Type,Count,Input,BugID
tf.constant,Kill,2,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.constant.yaml_workdir/Kill_script_record,
tf.unstack,Abort,21,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.unstack.yaml_workdir/Abort_script_record,tf11
tf.keras.layers.upsampling2d,Abort,6,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.upsampling2d.yaml_workdir/Abort_script_record,tf18
tf.keras.backend.depthwise_conv2d,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.backend.depthwise_conv2d.yaml_workdir/timeout_script_record,
tf.keras.backend.pool2d,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.backend.pool2d.yaml_workdir/Kill_script_record,
tf.linalg.tridiagonal_matmul,Segmentation_Fault,122,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.linalg.tridiagonal_matmul.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.keras.backend.pool3d,timeout,3,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.backend.pool3d.yaml_workdir/timeout_script_record,
tf.keras.layers.AveragePooling1D,Nan,5,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.AveragePooling1D.yaml_workdir/Nan_script_record,
tf.keras.layers.AveragePooling2D,Nan,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.AveragePooling2D.yaml_workdir/Nan_script_record,
tf.quantization.quantize_and_dequantize,Segmentation_Fault,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.quantization.quantize_and_dequantize.yaml_workdir/Segmentation_Fault_script_record,tf27
tf.keras.layers.AveragePooling3D,Nan,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.AveragePooling3D.yaml_workdir/Nan_script_record,
tf.keras.layers.experimental.preprocessing.textvectorization,Kill,4,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.experimental.preprocessing.textvectorization.yaml_workdir/Kill_script_record,
tf.keras.layers.GlobalAveragePooling1D,Nan,44,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.GlobalAveragePooling1D.yaml_workdir/Nan_script_record,
tf.nn.avg_pool3d,Floating_Point_Exception,5,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.nn.avg_pool3d.yaml_workdir/Floating_Point_Exception_script_record,tf32
tf.keras.layers.prelu,Nan,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.prelu.yaml_workdir/Nan_script_record,
tf.nn.max_pool3d,Floating_Point_Exception,15,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.nn.max_pool3d.yaml_workdir/Floating_Point_Exception_script_record,tf32
tf.keras.layers.upsampling2d,Nan,3,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.upsampling2d.yaml_workdir/Nan_script_record,
tf.keras.layers.upsampling2d,timeout,2,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.upsampling2d.yaml_workdir/timeout_script_record,
tf.keras.preprocessing.sequence.pad_sequences,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.preprocessing.sequence.pad_sequences.yaml_workdir/Kill_script_record,
tf.fingerprint,Floating_Point_Exception,31,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.fingerprint.yaml_workdir/Floating_Point_Exception_script_record,tf34
tf.nn.avg_pool1d,Nan,2,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.nn.avg_pool1d.yaml_workdir/Nan_script_record,
tf.nn.avg_pool2d,Nan,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.nn.avg_pool2d.yaml_workdir/Nan_script_record,
tf.keras.layers.AveragePooling3D,Floating_Point_Exception,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.AveragePooling3D.yaml_workdir/Floating_Point_Exception_script_record,tf39
tf.keras.layers.GlobalMaxPool1D,Abort,23,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.keras.layers.GlobalMaxPool1D.yaml_workdir/Abort_script_record,tf52
tf.nn.avg_pool3d,Nan,1,/local1/xdanning/docter/expr/tensorflow/TF7-2_e3ddcef_eo/workdir/expect_ok_constr/tf.nn.avg_pool3d.yaml_workdir/Nan_script_record,
