API,Type,Count,Input,BugID
tf.random.gamma,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.random.gamma.yaml_workdir/Abort_script_record,closed
tf.broadcast_to,Kill,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.broadcast_to.yaml_workdir/Kill_script_record,
tf.dynamic_partition,Kill,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.dynamic_partition.yaml_workdir/Kill_script_record,
tf.unravel_index,Floating_Point_Exception,56,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.unravel_index.yaml_workdir/Floating_Point_Exception_script_record,tf1
tf.eye,Kill,11,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.eye.yaml_workdir/Kill_script_record,
tf.feature_column.numeric_column,timeout,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.feature_column.numeric_column.yaml_workdir/timeout_script_record,
tf.fill,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.fill.yaml_workdir/Kill_script_record,
tf.image.adjust_hue,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.image.adjust_hue.yaml_workdir/timeout_script_record,
tf.image.non_max_suppression_overlaps,timeout,10,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.image.non_max_suppression_overlaps.yaml_workdir/timeout_script_record,
tf.nn.ctc_beam_search_decoder,Abort,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.ctc_beam_search_decoder.yaml_workdir/Abort_script_record,tf11
tf.image.non_max_suppression_padded,Kill,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.image.non_max_suppression_padded.yaml_workdir/Kill_script_record,
tf.image.non_max_suppression_padded,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.image.non_max_suppression_padded.yaml_workdir/timeout_script_record,
tf.image.non_max_suppression_with_scores,timeout,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.image.non_max_suppression_with_scores.yaml_workdir/timeout_script_record,
tf.summary.flush,Segmentation_Fault,354,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.summary.flush.yaml_workdir/Segmentation_Fault_script_record,tf12
tf.nn.fractional_max_pool,Floating_Point_Exception,17,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.fractional_max_pool.yaml_workdir/Floating_Point_Exception_script_record,tf13
tf.random.learned_unigram_candidate_sampler,Segmentation_Fault,4,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.random.learned_unigram_candidate_sampler.yaml_workdir/Segmentation_Fault_script_record,tf14
tf.nn.fractional_max_pool,Abort,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.fractional_max_pool.yaml_workdir/Abort_script_record,tf15
tf.keras.backend.categorical_crossentropy,Kill,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.categorical_crossentropy.yaml_workdir/Kill_script_record,
tf.keras.backend.eye,Kill,12,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.eye.yaml_workdir/Kill_script_record,
tf.nest.flatten,Abort,276,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nest.flatten.yaml_workdir/Abort_script_record,tf16
tf.keras.backend.max,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.max.yaml_workdir/timeout_script_record,
tf.eye,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.eye.yaml_workdir/Abort_script_record,tf17
tf.keras.backend.one_hot,Kill,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.one_hot.yaml_workdir/Kill_script_record,
tf.signal.frame,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.signal.frame.yaml_workdir/Abort_script_record,tf17
tf.signal.overlap_and_add,Abort,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.signal.overlap_and_add.yaml_workdir/Abort_script_record,tf17
tf.linalg.cholesky,Abort,113,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.cholesky.yaml_workdir/Abort_script_record,tf18
tf.keras.datasets.imdb.load_data,Kill,33,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.datasets.imdb.load_data.yaml_workdir/Kill_script_record,
tf.keras.datasets.imdb.load_data,timeout,42,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.datasets.imdb.load_data.yaml_workdir/timeout_script_record,
tf.keras.datasets.reuters.load_data,Kill,36,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.datasets.reuters.load_data.yaml_workdir/Kill_script_record,
tf.keras.datasets.reuters.load_data,timeout,7,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.datasets.reuters.load_data.yaml_workdir/timeout_script_record,
tf.linalg.cholesky,Segmentation_Fault,10,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.cholesky.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.eigh,Abort,158,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.eigh.yaml_workdir/Abort_script_record,tf18
tf.linalg.eigh,Segmentation_Fault,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.eigh.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.eigvalsh,Abort,131,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.eigvalsh.yaml_workdir/Abort_script_record,tf18
tf.linalg.eigvalsh,Segmentation_Fault,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.eigvalsh.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.keras.layers.upsampling1d,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.layers.upsampling1d.yaml_workdir/timeout_script_record,
tf.keras.layers.upsampling3d,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.layers.upsampling3d.yaml_workdir/Kill_script_record,
tf.keras.layers.upsampling3d,timeout,7,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.layers.upsampling3d.yaml_workdir/timeout_script_record,
tf.keras.preprocessing.sequence.make_sampling_table,Kill,61,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.preprocessing.sequence.make_sampling_table.yaml_workdir/Kill_script_record,
tf.keras.preprocessing.sequence.skipgrams,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.preprocessing.sequence.skipgrams.yaml_workdir/timeout_script_record,
tf.linalg.inv,Abort,76,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.inv.yaml_workdir/Abort_script_record,tf18
tf.linalg.inv,Segmentation_Fault,19,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.inv.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.logdet,Abort,113,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.logdet.yaml_workdir/Abort_script_record,tf18
tf.linalg.logdet,Segmentation_Fault,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.logdet.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.logm,Abort,158,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.logm.yaml_workdir/Abort_script_record,tf18
tf.linalg.logm,Segmentation_Fault,26,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.logm.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.lstsq,Abort,12,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.lstsq.yaml_workdir/Abort_script_record,tf18
