API,Arg,default,doc_dtype,enum_constr,descp
mxnet.ndarray.dot,forward_stype,_Null,"[""{None, 'csr', 'default', 'row_sparse'}"", 'optional', ""default='None'""]","['None', 'csr', 'default', 'row_sparse']","The desired storage type of the forward output given by user, if thecombination of input storage types and this hint does not matchany implemented ones, the dot operator will perform fallback operationand still produce an output of the desired storage type."
mxnet.ndarray.op.ctc_loss,blank_label,_Null,"[""{'first', 'last'}"", 'optional', ""default='first'""]","['first', 'last']","Set the label that is reserved for blank label.If ""first"", 0-th label is reserved, and label values for tokens in the vocabulary are between `1` and `alphabet_size-1`, and the padding mask is `-1`. If ""last"", last label value `alphabet_size-1` is reserved for blank label instead, and label values for tokens in the vocabulary are between `0` and `alphabet_size-2`, and the padding mask is `0`."
mxnet.ndarray.random_uniform,dtype,_Null,"[""{'None', 'float16', 'float32', 'float64'}"", 'optional', ""default='None'""]","['None', 'float16', 'float32', 'float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.contrib.quantized_conv,cudnn_tune,_Null,"[""{None, 'fastest', 'limited_workspace', 'off'}"", 'optional', ""default='None'""]","['None', 'fastest', 'limited_workspace', 'off']",Whether to pick convolution algo by running performance test.
mxnet.ndarray.contrib.quantized_conv,layout,_Null,"[""{None, 'NCDHW', 'NCHW', 'NCW', 'NDHWC', 'NHWC'}"", 'optional', ""default='None'""]","['NCDHW', 'NCHW', 'NCW', 'NDHWC', 'NHWC', 'None']","Set layout for input, output and weight. Empty for default layout: NCW for 1d, NCHW for 2d and NCDHW for 3d.NHWC and NDHWC are only supported on GPU."
mxnet.ndarray.contrib.dequantize,out_type,_Null,"[""{'float32'}"", 'optional', ""default='float32'""]",['float32'],Output data type.
mxnet.ndarray.op.l2normalization,mode,_Null,"[""{'channel', 'instance', 'spatial'}"", 'optional', ""default='instance'""]","['channel', 'instance', 'spatial']",Specify the dimension along which to compute L2 norm.
mxnet.ndarray.op.sequencereverse,axis,_Null,"['int', 'optional', ""default='0'""]",['0'],The sequence axis. Only 0 is currently supported.
mxnet.ndarray.contrib.box_non_maximum_suppression,in_format,_Null,"[""{'center', 'corner'}"", 'optional', ""default='corner'""]","['center', 'corner']","The input box encoding type. ""corner"" means boxes are encoded as [xmin, ymin, xmax, ymax], ""center"" means boxes are encodes as [x, y, width, height]."
mxnet.ndarray.contrib.box_non_maximum_suppression,out_format,_Null,"[""{'center', 'corner'}"", 'optional', ""default='corner'""]","['center', 'corner']","The output box encoding type. ""corner"" means boxes are encoded as [xmin, ymin, xmax, ymax], ""center"" means boxes are encodes as [x, y, width, height]."
mxnet.ndarray.random_exponential,dtype,_Null,"[""{'None', 'float16', 'float32', 'float64'}"", 'optional', ""default='None'""]","['None', 'float16', 'float32', 'float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.random_gamma,dtype,_Null,"[""{'None', 'float16', 'float32', 'float64'}"", 'optional', ""default='None'""]","['None', 'float16', 'float32', 'float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.op.sequencemask,axis,_Null,"['int', 'optional', ""default='0'""]","['0', '1']",The sequence axis. Only values of 0 and 1 are currently supported.
mxnet.image.resize_short,interp,2,"['int', 'optional', 'default=2']","['0', '1', '10', '2', '3', '4', '9']","Interpolation method used for resizing the image. Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). More details can be found in the documentation of OpenCV, please refer to http://docs.opencv.org/master/da/d54/group__imgproc__transform.html."
mxnet.ndarray.op.sample_normal,dtype,_Null,"[""{'None', 'float16', 'float32', 'float64'}"", 'optional', ""default='None'""]","['None', 'float16', 'float32', 'float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.sample_poisson,dtype,_Null,"[""{'None', 'float16', 'float32', 'float64'}"", 'optional', ""default='None'""]","['None', 'float16', 'float32', 'float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.contrib.quantize_v2,out_type,_Null,"[""{'auto', 'int8', 'uint8'}"", 'optional', ""default='int8'""]","['auto', 'int8', 'uint8']",Output data type. auto can be specified to automatically determine output type according to min_calib_range.
mxnet.contrib.ndarray.ctc_loss,blank_label,_Null,"[""{'first', 'last'}"", 'optional', ""default='first'""]","['first', 'last']","Set the label that is reserved for blank label.If ""first"", 0-th label is reserved, and label values for tokens in the vocabulary are between `1` and `alphabet_size-1`, and the padding mask is `-1`. If ""last"", last label value `alphabet_size-1` is reserved for blank label instead, and label values for tokens in the vocabulary are between `0` and `alphabet_size-2`, and the padding mask is `0`."
mxnet.ndarray.gridgenerator,transform_type,_Null,"[""{'affine', 'warp'}"", 'required']","['affine', 'warp']","The type of transformation. For affine, input data should be an affine matrix of size (batch, 6). For warp, input data should be an optical flow of size (batch, 2, h, w)."
mxnet.contrib.ndarray.requantize,out_type,_Null,"[""{'auto', 'int8', 'uint8'}"", 'optional', ""default='int8'""]","['auto', 'int8', 'uint8']",Output data type. auto can be specified to automatically determine output type according to min_calib_range.
mxnet.kvstore.create,name,local,"[""{'local', 'device', 'nccl', 'dist_sync', 'dist_device_sync', 'dist_async'}""]","['device', 'dist_async', 'dist_device_sync', 'dist_sync', 'local', 'nccl']",The type of KVStore.
mxnet.ndarray.sequencelast,axis,_Null,"['int', 'optional', ""default='0'""]","['0', '1']",The sequence axis. Only values of 0 and 1 are currently supported.
mxnet.contrib.ndarray.box_decode,format,_Null,"[""{'center', 'corner'}"", 'optional', ""default='center'""]","['center', 'corner']","The box encoding type. ""corner"" means boxes are encoded as [xmin, ymin, xmax, ymax], ""center"" means boxes are encodes as [x, y, width, height]."
mxnet.ndarray.sample_exponential,dtype,_Null,"[""{'None', 'float16', 'float32', 'float64'}"", 'optional', ""default='None'""]","['None', 'float16', 'float32', 'float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
